latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.02785,19.64429,302.4,0.34,0.56,2017-02-16,2352,N,VIIRS,n,1,270.8,0.8,
42.8058,19.8387,334.8,0.46,0.39,2017-03-05,1116,N,VIIRS,n,1,281.6,4.2,
42.58036,18.98254,329.2,0.4,0.37,2017-03-15,1128,N,VIIRS,n,1,291.7,2.2,
42.97913,18.62706,325.6,0.39,0.44,2017-03-16,1109,N,VIIRS,n,1,284.3,1.3,
43.13878,19.69412,337.9,0.49,0.48,2017-03-22,1057,N,VIIRS,n,1,298.7,13.6,
43.02328,18.76103,353.1,0.52,0.67,2017-03-22,1238,N,VIIRS,n,1,293.5,10.6,
42.71709,19.39077,345.2,0.39,0.36,2017-03-25,1141,N,VIIRS,n,1,300.6,6.6,
42.7457,18.6679,300.1,0.32,0.55,2017-03-25,2358,N,VIIRS,n,1,275.2,0.7,
42.56718,18.86501,336.1,0.41,0.45,2017-03-29,1206,N,VIIRS,n,1,301.6,4.1,
42.79602,19.54825,297.5,0.45,0.39,2017-03-30,0023,N,VIIRS,n,1,273.3,0.5,
42.35814,19.37824,296.1,0.43,0.62,2017-03-31,2345,N,VIIRS,n,1,280.1,0.2,
42.54425,19.272,335.1,0.63,0.54,2017-04-02,1050,N,VIIRS,n,1,295.1,3.1,
43.01354,19.85176,355.8,0.57,0.52,2017-04-02,1051,N,VIIRS,n,1,298.2,17.3,
42.41873,19.19532,308.6,0.46,0.39,2017-07-04,0023,N,VIIRS,n,1,290.7,1.1,
42.41944,19.18927,305.5,0.46,0.39,2017-07-04,0023,N,VIIRS,n,1,290.6,1.2,
42.51803,18.98136,317.7,0.42,0.38,2017-07-09,0029,N,VIIRS,n,1,289.9,2,
42.50637,18.98909,301.5,0.42,0.38,2017-07-09,0029,N,VIIRS,n,1,288.2,0.7,
42.45097,19.18272,344.8,0.74,0.76,2017-07-14,1019,N,VIIRS,n,1,301.2,9,
42.51071,19.04728,343,0.53,0.42,2017-07-14,1159,N,VIIRS,n,1,304.3,6,
42.54831,19.38096,347.9,0.55,0.43,2017-07-14,1159,N,VIIRS,n,1,310.9,15.8,
42.50375,19.05355,316.7,0.54,0.42,2017-07-15,0017,N,VIIRS,n,1,291.9,1.8,
42.4983,19.22701,337.1,0.39,0.36,2017-07-15,1141,N,VIIRS,l,1,310.3,21.3,
42.50296,19.23562,352.7,0.39,0.36,2017-07-15,1141,N,VIIRS,n,1,310.1,6.9,
42.49387,19.06251,296.2,0.61,0.54,2017-07-15,2358,N,VIIRS,n,1,280,1.9,
42.48786,19.03189,339.1,0.44,0.38,2017-07-16,1122,N,VIIRS,n,1,298.2,10.1,
42.55592,18.97137,335.6,0.46,0.47,2017-07-17,1103,N,VIIRS,n,1,295.2,4.8,
42.38162,18.62954,350.1,0.6,0.71,2017-07-17,1244,N,VIIRS,n,1,298.1,110.1,
42.43277,19.34778,344.8,0.66,0.73,2017-07-17,1244,N,VIIRS,n,1,298.7,12.9,
42.58145,19.382,308.5,0.5,0.41,2017-07-18,0101,N,VIIRS,n,1,287.5,1.7,
42.47701,19.02058,306.8,0.49,0.4,2017-07-18,0101,N,VIIRS,n,1,286.1,1.2,
42.53403,19.28453,367,0.38,0.58,2017-07-18,1044,N,VIIRS,h,1,300.3,21,
42.53371,19.27384,329.6,0.39,0.36,2017-07-19,0042,N,VIIRS,n,1,292.3,4.3,
42.52975,19.27383,349.4,0.43,0.46,2017-07-19,1206,N,VIIRS,n,1,303.9,9.4,
42.42219,18.57471,338.2,0.49,0.4,2017-07-20,0023,N,VIIRS,n,1,299.7,15.6,
42.56799,18.99554,308.8,0.52,0.5,2017-07-21,0004,N,VIIRS,n,1,288.3,2,
42.44411,19.05465,348.9,0.32,0.55,2017-07-23,1051,N,VIIRS,n,1,304.5,4.3,
42.47973,19.04976,305.6,0.4,0.37,2017-07-24,0048,N,VIIRS,n,1,289.4,0.4,
42.13581,19.21856,322.3,0.4,0.37,2017-07-24,0048,N,VIIRS,n,1,289.3,2.5,
42.55318,18.95231,300.5,0.42,0.38,2017-07-25,0029,N,VIIRS,n,1,288.8,0.8,
42.62573,19.37224,333.7,0.66,0.73,2017-08-02,1244,N,VIIRS,n,1,306,12.2,
42.60357,18.71502,346.8,0.41,0.45,2017-08-04,1206,N,VIIRS,n,1,306.3,6.2,
42.40064,18.64237,346.9,0.41,0.37,2017-08-06,1128,N,VIIRS,n,1,310.6,12,
42.57964,19.34044,311.5,0.33,0.55,2017-08-07,0126,N,VIIRS,n,1,293.3,1.7,
42.60117,19.32798,304.3,0.39,0.44,2017-08-08,0107,N,VIIRS,n,1,290.6,0.4,
42.77322,18.74695,331,0.43,0.62,2017-08-08,1231,N,VIIRS,n,1,300.9,10.1,
42.11738,19.19689,317.4,0.41,0.37,2017-08-09,0049,N,VIIRS,n,1,295.9,1.1,
42.27908,18.99736,334.4,0.5,0.49,2017-08-09,1212,N,VIIRS,l,1,306.5,7.5,
42.59025,19.30252,319,0.41,0.37,2017-08-10,0030,N,VIIRS,n,1,293.9,1.1,
42.57065,19.30012,326.6,0.41,0.37,2017-08-10,0030,N,VIIRS,n,1,295.6,3.2,
42.62901,18.70759,338.8,0.45,0.39,2017-08-10,1153,N,VIIRS,n,1,304.8,6.1,
42.63027,19.37273,312.8,0.41,0.45,2017-08-11,0011,N,VIIRS,n,1,295.3,2.1,
42.2905,18.99408,330.2,0.42,0.46,2017-08-11,0011,N,VIIRS,n,1,298.1,3.6,
42.2867,18.98894,332.2,0.42,0.46,2017-08-11,0011,N,VIIRS,n,1,296.6,6.4,
42.15138,19.16916,356.7,0.38,0.36,2017-08-11,1134,N,VIIRS,n,1,311.6,11.5,
42.65336,19.32091,303.5,0.36,0.57,2017-08-11,2352,N,VIIRS,n,1,288.8,1.8,
42.10136,19.17961,317.9,0.36,0.57,2017-08-11,2352,N,VIIRS,n,1,289.6,1.9,
43.19836,19.24396,336.3,0.48,0.4,2017-08-12,1116,N,VIIRS,n,1,303.7,6.4,
42.1618,19.15907,338.6,0.54,0.51,2017-08-13,1057,N,VIIRS,n,1,296.5,6.7,
42.38784,18.85502,295.7,0.43,0.38,2017-08-14,0055,N,VIIRS,n,1,283.9,1,
42.27417,19.18187,351.5,0.61,0.54,2017-08-14,1219,N,VIIRS,n,1,296.9,17.2,
42.61048,19.28167,345,0.63,0.54,2017-08-14,1219,N,VIIRS,n,1,300.2,10.8,
42.60506,19.2991,338,0.53,0.42,2017-08-16,0017,N,VIIRS,n,1,291.2,2.5,
42.38823,18.84387,350.2,0.39,0.36,2017-08-16,1141,N,VIIRS,n,1,310,18.7,
42.18481,18.98779,312.4,0.46,0.63,2017-08-17,0139,N,VIIRS,n,1,290.9,4.6,
42.62146,19.33764,312.6,0.51,0.41,2017-08-19,0101,N,VIIRS,n,1,289.3,1.4,
42.61629,19.34167,331.7,0.37,0.58,2017-08-19,1045,N,VIIRS,n,1,298.7,8.6,
