latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.33443,18.97022,307.8,0.6,0.6,2017-09-01,2354,N,VIIRS,n,1.0NRT,287.3,3.2,N
42.9211,18.80022,354.8,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,304.2,30.9,D
42.35734,18.82471,346.7,0.5,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,290.2,3.8,N
42.35143,18.81481,298.8,0.5,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,287.3,0.8,N
42.32202,18.95832,296.7,0.7,0.8,2017-09-01,0154,N,VIIRS,n,1.0NRT,285.4,1.7,N
42.35261,18.83318,333.8,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,297.7,3.1,D
43.26238,19.44312,338.6,0.5,0.5,2017-10-16,1054,N,VIIRS,n,1.0NRT,292.3,5.1,D
43.12321,18.69845,298.4,0.6,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.2,1.4,N
42.82658,18.97031,334.2,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,299.6,2.3,D
42.92987,18.80087,306.2,0.4,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,284.7,1.1,N
42.54069,18.54099,313.1,0.4,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,285.5,3.4,N
42.53844,18.53919,307.4,0.4,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,285.4,2.1,N
42.93118,18.7981,328.8,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,298.4,2.7,D
43.11927,18.6975,307.1,0.6,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,282.4,1.4,N
42.35345,18.82368,303.4,0.5,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.9,3.8,N
42.31412,18.98011,334.5,0.5,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,292.2,6.4,N
42.30371,18.88811,330.9,0.4,0.4,2017-09-01,1136,N,VIIRS,l,1.0NRT,302.8,6.8,D
42.46165,18.83575,333.8,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,291.1,2.6,D
42.527,19.24515,367,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,305.8,8.7,D
42.54027,19.24162,335.3,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,302.3,2.8,D
