latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.34172,3.77318,299.6,0.52,0.5,2017-04-29,0239,N,VIIRS,n,1,278.5,1.5,
51.34378,3.77586,327.8,0.49,0.49,2017-05-09,0112,N,VIIRS,n,1,281.9,2.9,
51.43973,3.72671,302.4,0.58,0.52,2017-05-20,0105,N,VIIRS,n,1,278.7,1.5,
51.87537,4.29761,302.3,0.39,0.36,2017-02-16,0150,N,VIIRS,n,1,279,0.6,
51.94886,4.2624,328.5,0.45,0.39,2017-04-09,1203,N,VIIRS,n,1,295.6,21.5,
51.94758,4.25599,367,0.46,0.39,2017-04-09,1203,N,VIIRS,l,1,297,21.5,
51.95667,4.24414,345.5,0.46,0.39,2017-04-09,1203,N,VIIRS,n,1,296.4,38,
52.00874,4.30836,339.4,0.45,0.39,2017-04-09,1203,N,VIIRS,n,1,297.3,38.5,
52.0033,4.20517,343.7,0.46,0.39,2017-04-09,1203,N,VIIRS,n,1,298.7,8.3,
52.00072,4.19232,349.9,0.46,0.39,2017-04-09,1203,N,VIIRS,n,1,295.6,17.3,
52.01921,4.24641,367,0.45,0.39,2017-04-09,1203,N,VIIRS,l,1,293.8,12.2,
52.02316,4.20892,333.3,0.46,0.39,2017-04-09,1203,N,VIIRS,n,1,297.3,2.3,
52.03479,4.20988,350.2,0.45,0.39,2017-04-09,1203,N,VIIRS,n,1,296.9,18.9,
52.03697,4.20164,326.4,0.46,0.39,2017-04-09,1203,N,VIIRS,n,1,295.6,18.9,
52.04298,4.21268,337.2,0.45,0.39,2017-04-09,1203,N,VIIRS,n,1,295.8,1.7,
52.05372,4.22829,332.4,0.45,0.39,2017-04-09,1203,N,VIIRS,n,1,297.7,3,
52.00303,4.21552,334.2,0.41,0.37,2017-05-20,1234,N,VIIRS,n,1,297.6,22.8,
51.92543,4.19801,296.7,0.43,0.38,2017-05-22,0208,N,VIIRS,n,1,282.8,0.8,
51.87287,4.29722,297.1,0.43,0.38,2017-05-22,0208,N,VIIRS,n,1,286.8,1.1,
52.01191,4.25706,334,0.5,0.41,2017-05-22,1156,N,VIIRS,n,1,298,3,
51.87322,4.29217,298.1,0.39,0.36,2017-05-23,0149,N,VIIRS,n,1,286.6,0.7,
52.00048,4.19384,333.8,0.44,0.39,2017-05-25,1240,N,VIIRS,n,1,296.3,5.1,
51.87337,4.29738,303.6,0.39,0.36,2017-05-28,0155,N,VIIRS,n,1,289.8,0.9,
52.00302,4.22073,338.5,0.41,0.37,2017-06-05,1234,N,VIIRS,n,1,299,5.8,
52.01022,4.24923,346.1,0.41,0.37,2017-06-05,1234,N,VIIRS,n,1,295.6,8.4,
51.87277,4.29674,297.3,0.35,0.57,2017-06-10,0252,N,VIIRS,n,1,285.5,1.2,
51.96745,4.21529,341.5,0.44,0.39,2017-06-10,1240,N,VIIRS,n,1,295.1,2.5,
52.02761,4.2306,331.3,0.44,0.39,2017-06-10,1240,N,VIIRS,n,1,297,7,
52.00994,4.2072,338.3,0.41,0.37,2017-06-21,1234,N,VIIRS,n,1,296.8,1.8,
51.94397,4.10899,297.8,0.43,0.38,2017-01-05,0137,N,VIIRS,n,1,280.8,1.4,
51.94602,4.10673,297.7,0.43,0.38,2017-02-15,0208,N,VIIRS,n,1,278,1.7,
51.94221,4.10722,298.2,0.39,0.36,2017-02-16,0150,N,VIIRS,n,1,281.3,1,
51.94205,4.10884,295.9,0.43,0.38,2017-03-10,0137,N,VIIRS,n,1,279.4,1.5,
51.94256,4.10623,295.2,0.54,0.42,2017-03-16,0124,N,VIIRS,n,1,281.2,1.3,
51.8959,4.09238,329.1,0.46,0.39,2017-03-24,1203,N,VIIRS,n,1,282.3,2.6,
51.89937,4.09056,330.3,0.46,0.39,2017-03-24,1203,N,VIIRS,n,1,283.2,2.6,
51.94358,4.10889,300.8,0.33,0.55,2017-03-28,0059,N,VIIRS,n,1,285.2,1.5,
51.94377,4.10531,295.8,0.46,0.39,2017-04-09,0214,N,VIIRS,n,1,283,1.8,
51.94123,4.10861,295.9,0.42,0.38,2017-04-20,0208,N,VIIRS,n,1,277.8,1.7,
51.94379,4.10811,296.8,0.39,0.36,2017-05-07,0149,N,VIIRS,n,1,278,1.1,
51.94615,4.10963,296.2,0.42,0.38,2017-05-22,0208,N,VIIRS,n,1,284.2,0.8,
51.94569,4.10937,299.1,0.39,0.36,2017-05-23,0149,N,VIIRS,n,1,287.5,1,
51.94242,4.10809,305.5,0.39,0.36,2017-05-23,0149,N,VIIRS,n,1,290.4,1,
51.94191,4.10834,296.3,0.48,0.4,2017-05-24,0130,N,VIIRS,n,1,282.2,1.1,
51.94501,4.10594,295.6,0.48,0.48,2017-05-25,0111,N,VIIRS,n,1,285.3,1.4,
51.94238,4.10861,302.3,0.45,0.47,2017-05-26,0233,N,VIIRS,n,1,289,1.3,
51.94256,4.10932,305.7,0.39,0.36,2017-05-28,0155,N,VIIRS,n,1,290.5,1.2,
51.94315,4.10889,303.7,0.42,0.45,2017-05-30,0118,N,VIIRS,n,1,289.1,1.4,
51.94466,4.10995,297.5,0.52,0.5,2017-05-31,0239,N,VIIRS,n,1,286.9,1.8,
51.94113,4.10673,295.7,0.52,0.42,2017-06-01,0220,N,VIIRS,n,1,285.3,1.2,
51.94223,4.10865,300.5,0.52,0.42,2017-06-01,0221,N,VIIRS,n,1,287,1.7,
51.9427,4.10658,303.3,0.4,0.37,2017-06-02,0202,N,VIIRS,n,1,290.2,1.9,
51.94505,4.10902,295.9,0.42,0.38,2017-06-07,0208,N,VIIRS,n,1,285.1,1.2,
51.94189,4.10965,297.8,0.49,0.48,2017-06-10,0111,N,VIIRS,n,1,286.6,1.2,
51.94237,4.10781,303.5,0.38,0.36,2017-06-13,0155,N,VIIRS,n,1,288.9,0.8,
51.94223,4.10884,299.9,0.34,0.56,2017-06-26,0252,N,VIIRS,n,1,285.5,1.3,
51.94199,4.10872,304.7,0.4,0.37,2017-07-20,0202,N,VIIRS,n,1,290.7,2.7,
52.49062,4.61315,326.9,0.66,0.73,2017-01-10,0323,N,VIIRS,n,1,276.6,4.6,
52.49326,4.61211,301.7,0.67,0.74,2017-01-14,0028,N,VIIRS,n,1,274,1.6,
52.49167,4.61101,307.4,0.38,0.36,2017-01-15,0150,N,VIIRS,n,1,268.3,1.5,
52.49454,4.61345,317.3,0.47,0.39,2017-01-16,0131,N,VIIRS,n,1,275,2.7,
52.4925,4.6143,331.8,0.46,0.47,2017-01-17,0112,N,VIIRS,n,1,272.7,4.4,
52.49308,4.61098,328.7,0.46,0.39,2017-01-17,1241,N,VIIRS,n,1,276.6,3.9,
52.49163,4.61172,334.3,0.47,0.4,2017-01-19,0215,N,VIIRS,n,1,274.2,5.3,
52.49184,4.61239,309.9,0.53,0.5,2017-01-23,0240,N,VIIRS,n,1,273.4,2.5,
52.49301,4.61439,301.4,0.54,0.51,2017-02-13,0105,N,VIIRS,n,1,273.1,2.5,
52.49248,4.61097,342,0.43,0.38,2017-02-15,0208,N,VIIRS,n,1,281,4.1,
52.49221,4.61429,320.1,0.43,0.38,2017-03-03,0208,N,VIIRS,n,1,276.9,2.6,
52.49281,4.61091,313.5,0.34,0.56,2017-03-06,0252,N,VIIRS,n,1,274.9,2.7,
52.49229,4.61114,336.5,0.4,0.37,2017-03-14,0202,N,VIIRS,n,1,279.9,5.2,
52.48985,4.61162,336.1,0.42,0.61,2017-03-25,1325,N,VIIRS,n,1,290.2,8.1,
52.49258,4.6124,311.4,0.43,0.38,2017-03-26,0136,N,VIIRS,n,1,260.5,1.6,
52.49218,4.61407,328.5,0.68,0.74,2017-03-28,1048,N,VIIRS,n,1,291.2,3.7,
52.49368,4.61088,348.6,0.39,0.37,2017-03-28,1228,N,VIIRS,n,1,299.9,5.5,
52.49365,4.61029,326.7,0.6,0.7,2017-04-02,1054,N,VIIRS,n,1,287.2,3.4,
52.49392,4.61241,332.5,0.46,0.39,2017-04-07,1240,N,VIIRS,n,1,294.4,4.7,
