latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
52.49459,4.61197,318.4,0.4,0.6,2017-09-10,0042,N,VIIRS,n,1.0NRT,281.1,2.6,N
52.49432,4.61448,330.6,0.4,0.4,2017-09-11,0206,N,VIIRS,n,1.0NRT,287.2,3.2,N
52.49454,4.61278,314.1,0.4,0.6,2017-09-19,0254,N,VIIRS,n,1.0NRT,281,2.3,N
52.49352,4.61058,330,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,277.3,3.1,N
52.49237,4.60895,310.5,0.4,0.4,2017-09-23,0142,N,VIIRS,n,1.0NRT,263,1.3,N
52.49463,4.60931,336.8,0.4,0.6,2017-09-24,1112,N,VIIRS,n,1.0NRT,289.9,4.9,D
52.49098,4.61056,335.6,0.4,0.5,2017-09-24,1254,N,VIIRS,n,1.0NRT,290.3,3.8,D
52.49268,4.60969,322.8,0.5,0.5,2017-09-25,0106,N,VIIRS,n,1.0NRT,284.4,3.5,N
52.49569,4.61285,296.9,0.7,0.8,2017-09-27,0024,N,VIIRS,n,1.0NRT,280.6,2.4,N
52.49347,4.61378,326.8,0.4,0.4,2017-09-27,0206,N,VIIRS,n,1.0NRT,286,3.3,N
52.49004,4.61507,302.9,0.5,0.7,2017-09-29,0306,N,VIIRS,n,1.0NRT,274.2,2.1,N
52.49457,4.61145,303.8,0.4,0.4,2017-10-03,0154,N,VIIRS,n,1.0NRT,283.5,0.7,N
52.49255,4.61375,339.3,0.4,0.5,2017-10-03,1142,N,VIIRS,n,1.0NRT,290.9,4.5,D
52.4903,4.60678,304.6,0.8,0.8,2017-10-08,0018,N,VIIRS,n,1.0NRT,280.5,2.6,N
52.49052,4.6144,303.4,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,284.7,0.9,N
52.49174,4.61782,295.6,0.39,0.36,2017-10-19,0154,N,VIIRS,n,1.0NRT,285.2,1.8,N
52.49213,4.60836,300.3,0.4,0.6,2017-11-06,0254,N,VIIRS,n,1.0NRT,277,1.9,N
52.49414,4.6153,326,0.4,0.37,2017-11-07,1224,N,VIIRS,n,1.0NRT,281.8,2.2,D
52.49269,4.61072,329.6,0.53,0.5,2017-11-26,1130,N,VIIRS,n,1.0NRT,280.9,3.4,D
52.49118,4.6143,328.2,0.53,0.5,2017-11-28,0106,N,VIIRS,n,1.0NRT,273.3,2.2,N
52.49096,4.61118,305.3,0.38,0.36,2017-12-01,0148,N,VIIRS,n,1.0NRT,272.4,3.6,N
52.49066,4.61481,315.7,0.47,0.39,2017-12-02,0130,N,VIIRS,n,1.0NRT,268.2,3.1,N
52.49509,4.6152,312.1,0.4,0.6,2017-12-08,0254,N,VIIRS,n,1.0NRT,276.2,1.4,N
52.49017,4.60898,315.1,0.42,0.61,2017-12-15,0042,N,VIIRS,n,1.0NRT,273,2.8,N
52.49168,4.61218,336.2,0.43,0.38,2017-12-16,0206,N,VIIRS,n,1.0NRT,280,4.1,N
52.49224,4.6138,345.3,0.38,0.36,2017-12-17,0148,N,VIIRS,n,1.0NRT,282.4,3.4,N
52.48899,4.60479,328.7,0.36,0.58,2017-12-20,0048,N,VIIRS,n,1.0NRT,277.9,2,N
52.97778,6.98469,318.5,0.34,0.56,2017-11-29,0042,N,VIIRS,n,1.0NRT,273.5,2.3,N
52.4874,4.60246,295.5,0.4,0.6,2017-09-03,0254,N,VIIRS,n,1.0NRT,281.5,1.8,N
52.4842,4.59288,305,0.4,0.6,2017-09-03,0254,N,VIIRS,n,1.0NRT,282.6,1.1,N
52.48472,4.59326,312,0.4,0.4,2017-09-18,0136,N,VIIRS,n,1.0NRT,279.8,1.4,N
52.4847,4.59354,311.5,0.4,0.4,2017-09-18,0136,N,VIIRS,n,1.0NRT,280.8,4.3,N
52.48153,4.59456,311.4,0.4,0.6,2017-09-19,0254,N,VIIRS,n,1.0NRT,281.9,1.6,N
52.48084,4.58981,297.8,0.5,0.7,2017-09-21,0036,N,VIIRS,n,1.0NRT,282.1,2.4,N
52.47638,4.59671,295.5,0.5,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,283.4,1.1,N
52.48495,4.58486,337.5,0.6,0.6,2017-09-23,1312,N,VIIRS,n,1.0NRT,290.4,5.9,D
52.48288,4.59418,312.3,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,283.6,2.4,N
52.48499,4.58796,340.9,0.4,0.5,2017-09-24,1254,N,VIIRS,n,1.0NRT,290.5,7.2,D
52.48085,4.59493,301.4,0.5,0.4,2017-09-29,0130,N,VIIRS,n,1.0NRT,283.8,1.4,N
52.47495,4.61453,295.7,0.5,0.4,2017-09-29,0130,N,VIIRS,n,1.0NRT,284.5,0.7,N
52.48476,4.59333,312.8,0.5,0.5,2017-10-01,0230,N,VIIRS,n,1.0NRT,282.2,2,N
52.48577,4.60152,295.5,0.4,0.4,2017-10-03,0154,N,VIIRS,n,1.0NRT,280,0.2,N
52.47464,4.58456,324.3,0.4,0.4,2017-10-03,0154,N,VIIRS,n,1.0NRT,281.8,3.2,N
52.48401,4.58594,338.4,0.4,0.4,2017-10-08,0200,N,VIIRS,n,1.0NRT,284.7,3.4,N
52.483,4.59216,325.4,0.4,0.4,2017-10-12,1212,N,VIIRS,n,1.0NRT,274.2,2.6,D
52.48474,4.58632,336.2,0.5,0.5,2017-10-16,0112,N,VIIRS,n,1.0NRT,286.3,4.2,N
52.48322,4.59257,299.4,0.37,0.58,2017-10-17,0048,N,VIIRS,n,1.0NRT,284.3,1.2,N
52.48156,4.59527,325.6,0.39,0.36,2017-10-19,0154,N,VIIRS,n,1.0NRT,283.5,2.5,N
52.48391,4.59774,305.2,0.42,0.38,2017-10-20,0136,N,VIIRS,n,1.0NRT,287,1.7,N
52.47568,4.58325,309,0.4,0.37,2017-10-25,0142,N,VIIRS,n,1.0NRT,276.1,2.2,N
52.48393,4.59556,311.4,0.45,0.63,2017-10-26,0300,N,VIIRS,n,1.0NRT,278.2,1.9,N
52.48192,4.59132,300.8,0.36,0.58,2017-11-02,0048,N,VIIRS,n,1.0NRT,282.2,1.7,N
52.48239,4.59222,309.5,0.4,0.44,2017-11-06,0118,N,VIIRS,n,1.0NRT,278.7,2,N
52.48761,4.59895,311,0.53,0.5,2017-11-07,0236,N,VIIRS,n,1.0NRT,276.2,2.5,N
52.48409,4.5878,318.7,0.4,0.44,2017-11-13,0224,N,VIIRS,n,1.0NRT,277.3,2.2,N
52.47661,4.58343,297.9,0.35,0.56,2017-11-17,0248,N,VIIRS,n,1.0NRT,278.5,1.7,N
52.48302,4.59662,327.4,0.46,0.39,2017-11-17,1236,N,VIIRS,n,1.0NRT,285.7,4,D
52.48132,4.58761,316.3,0.47,0.4,2017-11-19,0212,N,VIIRS,n,1.0NRT,277.5,3.6,N
52.48132,4.58585,326.8,0.4,0.37,2017-11-24,1206,N,VIIRS,n,1.0NRT,278,1.6,D
52.48546,4.58865,327.8,0.4,0.37,2017-11-26,0142,N,VIIRS,n,1.0NRT,267.9,2.5,N
52.48214,4.5874,343.4,0.4,0.37,2017-11-26,0142,N,VIIRS,n,1.0NRT,269.5,5.5,N
52.4853,4.60291,301.1,0.38,0.36,2017-12-01,0148,N,VIIRS,n,1.0NRT,272.7,0.7,N
52.4846,4.5848,327.1,0.39,0.36,2017-12-01,0148,N,VIIRS,n,1.0NRT,275.9,5.1,N
52.4829,4.59598,320.6,0.39,0.36,2017-12-01,0148,N,VIIRS,n,1.0NRT,275.5,1.6,N
52.48283,4.58399,327.4,0.47,0.39,2017-12-02,0130,N,VIIRS,n,1.0NRT,265.5,3.5,N
52.48207,4.59092,302.3,0.47,0.39,2017-12-02,0130,N,VIIRS,n,1.0NRT,266.7,1.4,N
52.48557,4.59846,295.7,0.47,0.39,2017-12-02,0130,N,VIIRS,n,1.0NRT,267.7,0.7,N
52.48024,4.58892,310.2,0.51,0.66,2017-12-02,0306,N,VIIRS,n,1.0NRT,273,3.6,N
52.48397,4.59451,327.5,0.43,0.38,2017-12-16,0206,N,VIIRS,n,1.0NRT,276.3,2.2,N
52.47611,4.58341,307.6,0.39,0.36,2017-12-17,0148,N,VIIRS,n,1.0NRT,277.6,1.3,N
52.48378,4.59884,300.3,0.36,0.58,2017-12-20,0048,N,VIIRS,n,1.0NRT,279.6,1.3,N
53.23577,7.11828,310.1,0.4,0.4,2017-10-15,0130,N,VIIRS,n,1.0NRT,281.1,1.3,N
51.88369,4.36895,304.9,0.47,0.48,2017-10-17,0230,N,VIIRS,n,1.0NRT,285.2,0.9,N
51.88311,4.36367,295.4,0.63,0.54,2017-11-07,0100,N,VIIRS,n,1.0NRT,277.5,1.3,N
51.87391,4.28865,301.3,0.32,0.54,2017-12-09,0054,N,VIIRS,n,1.0NRT,274.8,1,N
51.87873,4.34278,303.1,0.77,0.78,2017-12-17,0324,N,VIIRS,n,1.0NRT,273.9,2.3,N
51.88253,4.34933,298.9,0.77,0.78,2017-12-17,0324,N,VIIRS,n,1.0NRT,273.9,2.5,N
50.82036,5.68625,309.4,0.5,0.4,2017-09-03,0118,N,VIIRS,n,1.0NRT,284.5,3,N
50.82271,5.68939,308.7,0.3,0.6,2017-09-04,0236,N,VIIRS,n,1.0NRT,282.4,1.4,N
50.81833,5.68963,312.6,0.4,0.5,2017-09-21,0218,N,VIIRS,n,1.0NRT,281.9,1.1,N
50.82052,5.69124,299.6,0.4,0.4,2017-09-23,0142,N,VIIRS,n,1.0NRT,283.6,0.7,N
50.81889,5.68975,320.9,0.4,0.6,2017-09-25,0242,N,VIIRS,n,1.0NRT,282.6,2.3,N
50.82229,5.68609,295.6,0.52,0.66,2017-10-18,0030,N,VIIRS,n,1.0NRT,283.5,0.8,N
50.82007,5.69414,297.5,0.54,0.51,2017-10-22,0100,N,VIIRS,n,1.0NRT,280.7,2.3,N
50.81912,5.68974,308.7,0.57,0.52,2017-11-02,0230,N,VIIRS,n,1.0NRT,280.9,2.8,N
51.94175,4.10558,295.7,0.4,0.4,2017-09-02,0136,N,VIIRS,n,1.0NRT,285.2,1.1,N
51.87214,4.29642,296.6,0.4,0.6,2017-09-19,0254,N,VIIRS,n,1.0NRT,282.1,1.3,N
51.88372,4.36492,301.9,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,285.4,1.4,N
51.9538,5.02178,296.8,0.57,0.43,2017-11-06,0118,N,VIIRS,n,1.0NRT,272.9,0.9,N
51.95627,5.02425,304.7,0.43,0.62,2017-11-06,0254,N,VIIRS,n,1.0NRT,274.7,1,N
50.81697,5.68878,299,0.5,0.7,2017-09-03,0254,N,VIIRS,n,1.0NRT,280.9,1.2,N
50.81881,5.68908,318.4,0.4,0.6,2017-09-10,0042,N,VIIRS,n,1.0NRT,282.3,2,N
50.82248,5.68704,306.8,0.5,0.5,2017-09-10,0224,N,VIIRS,n,1.0NRT,283.5,3.1,N
50.8202,5.69382,298.6,0.5,0.4,2017-09-19,0118,N,VIIRS,n,1.0NRT,281.2,1.8,N
50.82226,5.69208,297.6,0.4,0.5,2017-09-21,0218,N,VIIRS,n,1.0NRT,281.2,1.1,N
50.82105,5.69168,312.6,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,282.1,2.7,N
52.08358,5.57601,300.8,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,278.1,0.8,N
50.81825,5.68854,311.3,0.6,0.7,2017-09-24,0300,N,VIIRS,n,1.0NRT,282.1,2.4,N
50.82159,5.68766,306.7,0.5,0.5,2017-09-25,0106,N,VIIRS,n,1.0NRT,283.6,1.4,N
50.82063,5.69253,327.7,0.4,0.4,2017-09-26,1212,N,VIIRS,n,1.0NRT,296.9,1.5,D
50.98966,5.7954,312.7,0.39,0.36,2017-10-30,0148,N,VIIRS,n,1.0NRT,279.4,1.3,N
50.82033,5.69124,314.1,0.32,0.54,2017-11-02,0054,N,VIIRS,n,1.0NRT,280.4,1.6,N
50.81916,5.69035,317.8,0.49,0.49,2017-11-29,0224,N,VIIRS,n,1.0NRT,276.8,2.8,N
50.81783,5.6916,303.4,0.6,0.4,2017-09-16,0212,N,VIIRS,n,1.0NRT,280.7,1.2,N
50.82095,5.68633,300,0.5,0.4,2017-09-19,0118,N,VIIRS,n,1.0NRT,280.2,1.6,N
50.81965,5.69147,316.4,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,284.3,2.8,N
50.82016,5.694,296.6,0.5,0.4,2017-09-27,0206,N,VIIRS,n,1.0NRT,283.8,1.3,N
50.82103,5.6906,313.8,0.5,0.66,2017-10-21,0254,N,VIIRS,n,1.0NRT,282.9,2.2,N
51.95425,5.02307,313.3,0.43,0.62,2017-11-06,0254,N,VIIRS,n,1.0NRT,275.1,2.2,N
50.82218,5.68724,295.8,0.37,0.58,2017-11-29,0042,N,VIIRS,n,1.0NRT,274.4,1.2,N
50.81808,5.6925,300.7,0.57,0.69,2017-12-13,0300,N,VIIRS,n,1.0NRT,271.8,2.2,N
51.34377,3.77756,297.9,0.4,0.4,2017-10-14,0148,N,VIIRS,n,1.0NRT,286.1,0.9,N
51.34276,3.77327,297.9,0.4,0.44,2017-10-28,0224,N,VIIRS,n,1.0NRT,274,1.6,N
52.49155,4.61187,333.3,0.4,0.4,2017-09-01,0154,N,VIIRS,n,1.0NRT,282.7,2.3,N
52.49356,4.61244,338.8,0.4,0.5,2017-09-03,0118,N,VIIRS,n,1.0NRT,287.2,3.5,N
52.49174,4.61708,299.1,0.4,0.5,2017-09-03,0118,N,VIIRS,n,1.0NRT,284.2,2,N
52.48145,4.59023,297.8,0.4,0.5,2017-09-03,0118,N,VIIRS,n,1.0NRT,283.8,1.2,N
52.47784,4.58323,303.5,0.4,0.5,2017-09-03,0118,N,VIIRS,n,1.0NRT,284.6,1.2,N
52.49721,4.61108,329.4,0.4,0.6,2017-09-03,0254,N,VIIRS,n,1.0NRT,282.3,1.4,N
52.4906,4.61205,325.8,0.4,0.6,2017-09-03,0254,N,VIIRS,n,1.0NRT,283.5,1.8,N
52.49092,4.61498,298.4,0.4,0.5,2017-09-10,0224,N,VIIRS,n,1.0NRT,276.9,1,N
52.47512,4.58377,303.1,0.4,0.4,2017-09-18,0136,N,VIIRS,n,1.0NRT,281.7,1.4,N
52.49129,4.61318,309.1,0.4,0.5,2017-09-19,0118,N,VIIRS,n,1.0NRT,282.5,2.7,N
52.48457,4.59332,308.6,0.4,0.5,2017-09-19,0118,N,VIIRS,n,1.0NRT,280.9,1.1,N
52.48046,4.59239,295.6,0.4,0.5,2017-09-19,0118,N,VIIRS,n,1.0NRT,282.1,1.1,N
52.49284,4.61801,337.2,0.4,0.6,2017-09-19,0254,N,VIIRS,n,1.0NRT,282.6,2.3,N
52.49134,4.60318,302.4,0.4,0.6,2017-09-19,0254,N,VIIRS,n,1.0NRT,279.4,0.9,N
52.48492,4.58414,311.7,0.4,0.6,2017-09-19,0254,N,VIIRS,n,1.0NRT,279.8,2.7,N
52.48323,4.58933,314.4,0.4,0.6,2017-09-19,0254,N,VIIRS,n,1.0NRT,280.4,1.6,N
52.48526,4.58321,297,0.6,0.6,2017-09-20,0054,N,VIIRS,n,1.0NRT,276.9,1.9,N
52.49318,4.60538,325.2,0.5,0.7,2017-09-21,0036,N,VIIRS,n,1.0NRT,281.5,3.9,N
52.49317,4.61304,303.8,0.5,0.7,2017-09-21,0036,N,VIIRS,n,1.0NRT,281.8,2.6,N
52.49503,4.60931,320.6,0.5,0.7,2017-09-21,0036,N,VIIRS,n,1.0NRT,281.5,1.8,N
52.49295,4.61516,337.3,0.5,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,285.8,3.3,N
52.49463,4.60775,301,0.5,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,282.4,3.3,N
52.48537,4.59368,298,0.5,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,283,1.1,N
52.47931,4.58185,297,0.8,0.8,2017-09-22,0018,N,VIIRS,n,1.0NRT,274.9,3.5,N
52.49249,4.61633,313.5,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,278.4,2.2,N
52.48248,4.59269,309.9,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,271.1,1.4,N
52.48027,4.58784,322.1,0.7,0.8,2017-09-23,0318,N,VIIRS,n,1.0NRT,280.5,3,N
52.48359,4.5795,309.2,0.7,0.8,2017-09-23,0318,N,VIIRS,n,1.0NRT,279.2,3,N
52.48673,4.59518,305,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,282,1.2,N
52.48365,4.5863,329.9,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,285.8,2.4,N
52.4798,4.58529,301.4,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,282.6,2.4,N
52.49252,4.61823,316.5,0.4,0.6,2017-09-24,0300,N,VIIRS,n,1.0NRT,282.8,2.8,N
52.48321,4.58613,319,0.4,0.6,2017-09-24,0300,N,VIIRS,n,1.0NRT,283.2,3.5,N
52.48119,4.59203,308.1,0.4,0.6,2017-09-24,0300,N,VIIRS,n,1.0NRT,282.7,1.9,N
52.47916,4.59801,300.6,0.4,0.6,2017-09-24,0300,N,VIIRS,n,1.0NRT,282.6,1.9,N
52.48359,4.58834,321.6,0.4,0.4,2017-09-27,0206,N,VIIRS,n,1.0NRT,283.9,2.9,N
52.4824,4.59444,325.4,0.4,0.4,2017-09-27,0206,N,VIIRS,n,1.0NRT,284.2,2,N
51.88333,4.36552,298.7,0.5,0.4,2017-09-29,0130,N,VIIRS,n,1.0NRT,285,1,N
52.49365,4.61445,319.2,0.5,0.5,2017-10-01,0230,N,VIIRS,n,1.0NRT,284.5,1.5,N
52.49204,4.6208,295.6,0.5,0.5,2017-10-01,0230,N,VIIRS,n,1.0NRT,281.3,1.5,N
52.48636,4.58701,300,0.5,0.5,2017-10-01,0230,N,VIIRS,n,1.0NRT,276.2,1.4,N
52.49073,4.61353,330.1,0.4,0.6,2017-10-03,1324,N,VIIRS,n,1.0NRT,288.7,3.1,D
52.49179,4.61142,326.9,0.4,0.6,2017-10-03,1324,N,VIIRS,n,1.0NRT,287.9,3.1,D
52.49405,4.6099,327.9,0.4,0.4,2017-10-08,0200,N,VIIRS,n,1.0NRT,285.3,2.7,N
51.88269,4.36754,297.6,0.4,0.4,2017-10-08,0200,N,VIIRS,n,1.0NRT,285,1.3,N
52.49572,4.61129,317.1,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,284.5,1.3,N
52.49437,4.61688,304.6,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,283.8,1.3,N
52.48171,4.5957,307.9,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,285.4,2.7,N
52.48421,4.5909,317.2,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,283.7,4.8,N
52.48288,4.59652,315.2,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,285.5,2.2,N
52.48169,4.58286,300.5,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,283.8,2.8,N
52.67778,4.70309,295.5,0.7,0.8,2017-10-13,0024,N,VIIRS,n,1.0NRT,278.2,1.1,N
52.49213,4.6137,338.9,0.4,0.4,2017-10-13,0206,N,VIIRS,n,1.0NRT,276.5,4.5,N
52.48345,4.58206,306.7,0.4,0.4,2017-10-13,0206,N,VIIRS,n,1.0NRT,272.7,2.2,N
52.48651,4.58897,321,0.5,0.4,2017-10-15,0130,N,VIIRS,n,1.0NRT,285.8,4,N
52.48277,4.59675,320.6,0.5,0.7,2017-10-15,0306,N,VIIRS,n,1.0NRT,285.9,2.5,N
