latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
59.42497,5.66917,330.6,0.48,0.4,2017-02-11,1134,N,VIIRS,n,1,276.1,5.5,
58.31973,6.30721,330.3,0.39,0.59,2017-02-11,1314,N,VIIRS,n,1,275.3,2.5,
58.31008,6.32204,295.7,0.54,0.42,2017-02-12,0123,N,VIIRS,n,1,272.4,2,
58.37711,6.22569,333.3,0.41,0.37,2017-02-14,1217,N,VIIRS,n,1,280.7,4.8,
58.65615,6.20066,341.2,0.42,0.37,2017-02-14,1217,N,VIIRS,n,1,281.1,6.4,
58.68581,5.91152,350.2,0.41,0.37,2017-02-14,1217,N,VIIRS,n,1,281.1,6.5,
58.68801,5.80623,312.4,0.6,0.71,2017-02-15,0025,N,VIIRS,n,1,270.4,1.8,
58.68213,5.92312,330.9,0.39,0.36,2017-02-15,0206,N,VIIRS,n,1,273.1,2.3,
58.68538,5.92472,314.2,0.61,0.71,2017-02-15,0346,N,VIIRS,n,1,272.3,4.6,
58.68196,5.93231,314.8,0.61,0.71,2017-02-15,0346,N,VIIRS,n,1,272.3,2.9,
58.68022,5.91657,320.4,0.61,0.71,2017-02-15,0346,N,VIIRS,n,1,272.3,3.4,
58.68408,5.93101,329.5,0.61,0.71,2017-02-15,0346,N,VIIRS,n,1,273,3.8,
58.6875,5.92329,297.4,0.61,0.71,2017-02-15,0346,N,VIIRS,n,1,272,2.9,
58.68247,5.91487,316,0.61,0.71,2017-02-15,0346,N,VIIRS,n,1,271.9,3.4,
58.67893,5.92285,302.9,0.61,0.71,2017-02-15,0346,N,VIIRS,n,1,271.7,2.2,
58.64032,5.7877,329.1,0.47,0.4,2017-03-28,1229,N,VIIRS,n,1,284.6,2.5,
58.43928,6.44895,302.2,0.41,0.37,2017-05-02,0141,N,VIIRS,n,1,274.5,3.2,
58.435,6.45442,344.1,0.41,0.37,2017-05-02,0141,N,VIIRS,n,1,277.4,3.2,
58.52849,6.41419,322.7,0.52,0.5,2017-05-04,0103,N,VIIRS,n,1,277.1,1.8,
58.52897,6.40482,296.1,0.52,0.5,2017-05-04,0103,N,VIIRS,n,1,276.7,1.8,
58.52805,6.41852,341.4,0.61,0.53,2017-05-04,1056,N,VIIRS,n,1,292.1,10.6,
58.52969,6.42367,335.9,0.55,0.43,2017-05-04,1236,N,VIIRS,n,1,299,8.8,
58.53358,6.42217,327.9,0.55,0.43,2017-05-04,1236,N,VIIRS,n,1,288.6,6.9,
58.53278,6.41293,349.9,0.55,0.42,2017-05-04,1236,N,VIIRS,n,1,295.3,6.9,
58.81745,5.89484,330.4,0.41,0.37,2017-05-05,1217,N,VIIRS,n,1,294.5,1.2,
58.91984,6.19918,344.8,0.42,0.37,2017-05-05,1217,N,VIIRS,n,1,293.8,4.1,
59.15808,6.38661,328.5,0.38,0.36,2017-05-06,1158,N,VIIRS,n,1,297.5,4.8,
61.77275,5.29876,300.5,0.41,0.37,2017-01-13,0225,N,VIIRS,n,1,275.9,1.1,
61.77128,5.29952,297.2,0.48,0.48,2017-03-11,0115,N,VIIRS,n,1,274.9,1.4,
59.6453,6.36494,331.3,0.46,0.39,2017-01-05,0135,N,VIIRS,n,1,265.6,3.3,
59.6481,6.36015,296.3,0.39,0.36,2017-03-19,0206,N,VIIRS,n,1,270.6,1.2,
59.64426,6.36308,296.9,0.46,0.39,2017-04-03,0224,N,VIIRS,n,1,272.6,0.9,
59.646,6.35764,299.1,0.43,0.38,2017-04-14,0218,N,VIIRS,n,1,274.2,1.1,
59.64744,6.36257,296.9,0.43,0.38,2017-04-30,0218,N,VIIRS,n,1,273.8,0.8,
59.64742,6.36478,314,0.39,0.36,2017-05-06,0206,N,VIIRS,n,1,279.7,1.6,
63.31741,9.14315,305.5,0.33,0.55,2017-08-09,0043,N,VIIRS,n,1,283,1.3,
63.3174,9.1437,302.7,0.33,0.55,2017-08-25,0043,N,VIIRS,n,1,280.3,1.4,
61.21864,10.25952,335.5,0.46,0.39,2017-06-28,1205,N,VIIRS,n,1,295,16.4,
59.59447,9.7249,325.8,0.67,0.74,2017-04-11,0947,N,VIIRS,n,1,281.3,5.2,
59.12801,9.62285,301.4,0.55,0.43,2017-05-25,0109,N,VIIRS,n,1,281.3,1.1,
59.05285,10.03202,335.1,0.5,0.41,2017-06-20,1114,N,VIIRS,n,1,303.3,19.4,
59.13046,9.62308,301.8,0.52,0.5,2017-08-08,0243,N,VIIRS,n,1,282.7,1.1,
59.12777,9.61856,311.9,0.41,0.37,2017-08-21,0200,N,VIIRS,n,1,282.9,1.7,
60.53656,8.2148,325.5,0.39,0.36,2017-07-10,1140,N,VIIRS,n,1,292.4,1.8,
58.27731,6.88792,328.2,0.38,0.36,2017-01-04,0154,N,VIIRS,n,1,269.5,2.4,
58.27523,6.89158,316.9,0.51,0.41,2017-02-14,0225,N,VIIRS,n,1,267.4,1.6,
58.27582,6.89308,317,0.4,0.37,2017-03-03,0206,N,VIIRS,n,1,271.4,1.5,
58.27681,6.88707,328.5,0.43,0.38,2017-03-10,0135,N,VIIRS,n,1,274.7,3.2,
58.27861,6.88984,321.1,0.37,0.58,2017-04-19,0044,N,VIIRS,n,1,271.2,1.7,
58.2781,6.89394,328.2,0.43,0.46,2017-05-03,1114,N,VIIRS,n,1,297.3,1.7,
58.61253,7.13264,325.4,0.43,0.38,2017-05-05,1217,N,VIIRS,n,1,291.5,2.7,
59.05637,10.02921,345.8,0.5,0.41,2017-06-20,1114,N,VIIRS,n,1,297.4,7.2,
59.13379,9.46502,325.2,0.4,0.37,2017-05-06,1158,N,VIIRS,l,1,296.4,3.6,
59.12967,9.6224,339,0.54,0.68,2017-06-29,1006,N,VIIRS,n,1,284.9,5.7,
59.12681,9.61911,331.6,0.4,0.37,2017-06-30,0134,N,VIIRS,n,1,284.3,2.9,
59.12928,9.61969,307.8,0.38,0.36,2017-08-11,0147,N,VIIRS,n,1,285.6,1,
60.30424,10.54471,330.5,0.59,0.7,2017-04-11,0947,N,VIIRS,n,1,281,5.4,
60.38062,10.50146,339.9,0.55,0.68,2017-05-02,1314,N,VIIRS,n,1,294.7,6.1,
60.46033,10.48365,367,0.62,0.71,2017-05-23,1321,N,VIIRS,h,1,292.9,9.8,
60.20502,11.4771,341.8,0.56,0.51,2017-05-04,1236,N,VIIRS,n,1,291,18.7,
60.69232,11.88848,331.4,0.48,0.48,2017-05-05,1037,N,VIIRS,n,1,286.9,3.1,
60.80634,10.76132,329.1,0.51,0.66,2017-05-02,0954,N,VIIRS,n,1,272.1,1.8,
60.83223,10.78474,367,0.39,0.59,2017-05-03,1255,N,VIIRS,h,1,294.3,8.1,
60.83215,10.77766,326.1,0.39,0.59,2017-05-03,1255,N,VIIRS,n,1,293.9,4.1,
60.73202,11.25138,329.4,0.38,0.36,2017-05-02,1133,N,VIIRS,n,1,300.1,22.4,
60.71637,11.15602,335.6,0.39,0.36,2017-05-02,1133,N,VIIRS,n,1,294.7,1.8,
60.71955,11.15384,341.2,0.39,0.36,2017-05-02,1133,N,VIIRS,n,1,297.9,20.3,
60.76054,11.20917,343.9,0.38,0.36,2017-05-02,1133,N,VIIRS,n,1,292,10.3,
60.82182,11.1362,327.9,0.39,0.36,2017-05-02,1133,N,VIIRS,n,1,294.1,4.5,
60.81913,11.20303,340.5,0.58,0.7,2017-05-02,1314,N,VIIRS,n,1,290.2,6.4,
59.12635,9.61966,302.4,0.52,0.41,2017-02-25,0219,N,VIIRS,n,1,269.1,1.6,
59.12717,9.62009,297.8,0.47,0.4,2017-03-08,0212,N,VIIRS,n,1,268.9,1.1,
59.12836,9.61885,325.8,0.4,0.37,2017-03-10,0135,N,VIIRS,n,1,272.8,2.8,
60.13316,10.36586,325.9,0.41,0.37,2017-03-10,1127,N,VIIRS,n,1,276.4,2.6,
59.37163,10.75922,327,0.41,0.37,2017-04-11,1127,N,VIIRS,n,1,287.9,26,
59.11129,10.11684,335.2,0.4,0.37,2017-05-02,1133,N,VIIRS,n,1,296.3,2.7,
59.36542,10.75027,328.5,0.56,0.69,2017-05-02,1314,N,VIIRS,n,1,293.4,2.7,
60.31332,10.56284,333.2,0.42,0.38,2017-05-06,1158,N,VIIRS,n,1,298.6,3,
59.12787,9.62288,297.6,0.38,0.36,2017-06-24,0147,N,VIIRS,n,1,284.5,0.7,
59.12751,9.6218,353.1,0.36,0.57,2017-07-03,1031,N,VIIRS,n,1,295.7,7.7,
59.12866,9.62422,344,0.42,0.38,2017-07-14,1204,N,VIIRS,n,1,301.7,5.7,
59.12888,9.62531,333.4,0.39,0.36,2017-07-20,1152,N,VIIRS,n,1,303.3,2.1,
59.12755,9.62157,307.2,0.44,0.38,2017-08-26,0206,N,VIIRS,n,1,284.4,1.2,
63.40981,8.67834,316,0.54,0.42,2017-03-16,0121,N,VIIRS,n,1,273,3,
63.19881,8.00548,329.4,0.4,0.37,2017-04-14,0217,N,VIIRS,n,1,271.3,3.3,
60.74316,11.16803,329.2,0.39,0.36,2017-05-02,1133,N,VIIRS,n,1,288.6,1.9,
60.73178,10.76479,343.8,0.39,0.36,2017-05-02,1133,N,VIIRS,n,1,292.5,5.4,
60.69876,10.90241,367,0.56,0.69,2017-05-02,1314,N,VIIRS,h,1,292.3,11.9,
60.7965,11.14133,336.2,0.4,0.6,2017-05-03,1255,N,VIIRS,n,1,294.9,1.8,
60.88525,10.84891,334.2,0.51,0.49,2017-05-05,1037,N,VIIRS,n,1,291,17.2,
60.88912,10.84377,341.3,0.51,0.49,2017-05-05,1037,N,VIIRS,n,1,296.6,17.2,
60.72411,10.66841,352.8,0.56,0.43,2017-05-05,1217,N,VIIRS,n,1,292.9,28.7,
59.66516,11.3199,335.2,0.38,0.58,2017-05-06,1018,N,VIIRS,n,1,298.7,2.6,
64.86413,11.305,337.3,0.47,0.39,2017-05-15,1051,N,VIIRS,n,1,288.8,11.8,
60.72845,10.76002,351.7,0.42,0.45,2017-05-26,1224,N,VIIRS,n,1,294.1,10.5,
60.12652,11.49659,330.7,0.44,0.38,2017-08-07,1115,N,VIIRS,n,1,283.4,2.5,
63.67067,11.08994,325,0.46,0.47,2017-08-14,1225,N,VIIRS,n,1,286,2.2,
63.3162,9.14327,298.8,0.41,0.37,2017-04-14,0217,N,VIIRS,n,1,273.4,1.4,
63.31828,9.14447,330.6,0.53,0.42,2017-05-04,1057,N,VIIRS,n,1,286,7.4,
63.31796,9.14325,296.3,0.42,0.61,2017-05-11,0030,N,VIIRS,n,1,274.4,1.5,
63.31826,9.14174,295.1,0.34,0.56,2017-08-27,0326,N,VIIRS,n,1,279.4,1.1,
58.27731,6.88801,307.5,0.37,0.58,2017-04-03,0044,N,VIIRS,n,1,274.5,1,
58.27864,6.88889,309.4,0.37,0.58,2017-04-19,0044,N,VIIRS,n,1,271.4,1.1,
58.57875,7.26443,342.3,0.38,0.36,2017-05-06,1158,N,VIIRS,n,1,289,3,
58.27774,6.89314,338.2,0.61,0.53,2017-07-23,1055,N,VIIRS,n,1,292.1,6.7,
58.27541,6.88689,319.4,0.4,0.37,2017-02-15,0207,N,VIIRS,n,1,268.1,2.6,
58.27852,6.89505,298.4,0.37,0.58,2017-04-19,0044,N,VIIRS,n,1,268.8,1.1,
58.27871,6.88611,297.1,0.5,0.49,2017-06-21,0103,N,VIIRS,n,1,280.9,3.1,
59.64551,6.3667,298.4,0.35,0.57,2017-08-14,0050,N,VIIRS,n,1,280,0.8,
66.30986,14.17611,297.4,0.34,0.56,2017-02-05,0332,N,VIIRS,n,1,269.7,0.6,
66.31158,14.175,334.8,0.33,0.55,2017-04-29,1232,N,VIIRS,n,1,286.7,2.4,
66.31227,14.17651,298.6,0.45,0.39,2017-05-03,0120,N,VIIRS,n,1,274.4,1.3,
66.31387,14.17208,295.2,0.62,0.71,2017-05-23,2345,N,VIIRS,n,1,275.1,2.1,
