latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
59.12884,9.62171,338.3,0.41,0.45,2017-10-27,0100,N,VIIRS,n,1.0NRT,279.1,4.8,N
59.12801,9.62336,341.7,0.41,0.45,2017-10-27,0100,N,VIIRS,n,1.0NRT,277.8,4.5,N
59.66371,9.66485,296.4,0.63,0.54,2017-12-24,0254,N,VIIRS,n,1.0NRT,268,0.9,N
58.27851,6.89061,329.5,0.39,0.36,2017-11-19,1200,N,VIIRS,n,1.0NRT,275.8,10,D
59.64101,6.36522,300.3,0.46,0.39,2017-11-29,0224,N,VIIRS,n,1.0NRT,271.4,1.5,N
58.27759,6.89355,325.4,0.39,0.36,2017-12-11,1148,N,VIIRS,n,1.0NRT,270.3,2,D
58.27642,6.89109,332.9,0.4,0.37,2017-12-12,0142,N,VIIRS,n,1.0NRT,266.9,3.2,N
58.277,6.89008,330.8,0.39,0.36,2017-12-21,1200,N,VIIRS,n,1.0NRT,275.5,2.7,D
63.31616,9.14202,295.8,0.4,0.4,2017-09-01,0148,N,VIIRS,n,1.0NRT,280.5,1,N
63.31697,9.14191,299.1,0.4,0.5,2017-09-03,0254,N,VIIRS,n,1.0NRT,281.7,0.9,N
63.31888,9.14313,297,0.4,0.4,2017-09-12,0142,N,VIIRS,n,1.0NRT,280.8,1.5,N
63.31756,9.1417,296.9,0.8,0.8,2017-09-19,0430,N,VIIRS,n,1.0NRT,279.4,2.3,N
63.31761,9.14291,297.9,0.5,0.5,2017-09-20,0054,N,VIIRS,n,1.0NRT,276.5,2.3,N
63.31606,9.14355,302.6,0.4,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,280,0.7,N
63.31861,9.14341,296.3,0.4,0.4,2017-09-22,0154,N,VIIRS,n,1.0NRT,278.5,0.8,N
63.31831,9.13762,301.2,0.5,0.4,2017-09-24,0118,N,VIIRS,n,1.0NRT,284.5,1.7,N
63.31782,9.14687,296.3,0.5,0.5,2017-09-25,0100,N,VIIRS,n,1.0NRT,279.5,1.2,N
63.31795,9.14647,296.1,0.5,0.4,2017-09-25,0242,N,VIIRS,n,1.0NRT,281.8,1.7,N
63.31653,9.14238,302,0.4,0.4,2017-09-27,0206,N,VIIRS,n,1.0NRT,281.8,1.3,N
63.31546,9.14369,306.3,0.4,0.4,2017-09-28,0142,N,VIIRS,n,1.0NRT,282.9,1.2,N
63.31675,9.14507,296.6,0.6,0.4,2017-10-05,0112,N,VIIRS,n,1.0NRT,279.1,2,N
63.31765,9.14112,297.4,0.5,0.5,2017-10-11,0100,N,VIIRS,n,1.0NRT,279.3,1.6,N
63.31724,9.13982,302.5,0.42,0.45,2017-11-17,0106,N,VIIRS,n,1.0NRT,279.8,1.6,N
63.31699,9.14192,295.7,0.44,0.46,2017-12-08,0254,N,VIIRS,n,1.0NRT,274.9,1.1,N
59.12759,9.62062,298.2,0.6,0.7,2017-09-17,0012,N,VIIRS,n,1.0NRT,278.8,1.1,N
60.23796,10.35989,328.7,0.4,0.4,2017-10-14,1136,N,VIIRS,n,1.0NRT,286,5.7,D
60.77392,10.86402,329.4,0.39,0.36,2017-10-25,1130,N,VIIRS,n,1.0NRT,276.5,6.1,D
63.69028,11.50848,328.3,0.4,0.4,2017-09-07,1130,N,VIIRS,n,1.0NRT,286.9,2.1,D
58.27755,6.88959,319.1,0.5,0.4,2017-09-29,0124,N,VIIRS,n,1.0NRT,283.4,3.3,N
58.2761,6.88484,303.4,0.6,0.5,2017-10-06,0054,N,VIIRS,n,1.0NRT,278.8,5.6,N
58.27448,6.89127,300.6,0.56,0.43,2017-11-02,0230,N,VIIRS,n,1.0NRT,277,1,N
58.2763,6.89218,325,0.43,0.38,2017-11-19,0212,N,VIIRS,n,1.0NRT,275.3,5.8,N
59.6055,11.54665,332.4,0.5,0.4,2017-09-30,1100,N,VIIRS,n,1.0NRT,282.5,9.3,D
59.64755,6.36056,302.6,0.5,0.4,2017-09-29,0124,N,VIIRS,n,1.0NRT,282,1.6,N
59.6461,6.36119,306.7,0.5,0.41,2017-12-04,0230,N,VIIRS,n,1.0NRT,273,1.6,N
59.12622,9.61624,313.7,0.37,0.58,2017-11-11,0300,N,VIIRS,n,1.0NRT,274.9,2.7,N
60.11759,9.75964,295.4,0.41,0.45,2017-10-27,0100,N,VIIRS,n,1.0NRT,273.5,0.5,N
60.79109,10.76212,333.8,0.39,0.36,2017-11-20,1142,N,VIIRS,n,1.0NRT,267.4,3.6,D
59.12885,9.61978,324.9,0.41,0.37,2017-12-27,0200,N,VIIRS,n,1.0NRT,271.5,2.6,N
61.77169,5.29942,296.5,0.5,0.4,2017-09-04,0236,N,VIIRS,n,1.0NRT,283.3,1,N
59.64455,6.36035,296.1,0.46,0.39,2017-11-21,0130,N,VIIRS,n,1.0NRT,270.2,1.2,N
59.64592,6.36095,318.7,0.46,0.39,2017-11-29,0224,N,VIIRS,n,1.0NRT,271.1,1.7,N
58.2756,6.88538,304.7,0.39,0.36,2017-12-01,0148,N,VIIRS,n,1.0NRT,269.9,2.2,N
58.27743,6.89351,327.8,0.39,0.36,2017-12-27,0200,N,VIIRS,n,1.0NRT,274.8,6.3,N
59.64677,6.36468,304.6,0.4,0.4,2017-09-16,0212,N,VIIRS,n,1.0NRT,279.2,1.1,N
59.64701,6.36154,330.5,0.5,0.4,2017-10-09,1130,N,VIIRS,n,1.0NRT,284.3,3.6,D
59.6458,6.35981,307.9,0.4,0.37,2017-10-18,0212,N,VIIRS,n,1.0NRT,279.9,1.2,N
59.64256,6.35812,317.4,0.46,0.39,2017-11-29,0224,N,VIIRS,n,1.0NRT,273.7,2.6,N
59.64099,6.36492,322.9,0.39,0.36,2017-11-30,0206,N,VIIRS,n,1.0NRT,269.1,3,N
59.64547,6.36357,308.6,0.5,0.41,2017-12-04,0230,N,VIIRS,n,1.0NRT,272.6,1.3,N
58.27721,6.88487,301.9,0.43,0.38,2017-11-19,0212,N,VIIRS,n,1.0NRT,275,5.3,N
60.83775,5.0782,328.5,0.4,0.4,2017-09-27,1200,N,VIIRS,n,1.0NRT,288.4,6.6,D
61.77217,5.2959,299.2,0.39,0.36,2017-10-23,0218,N,VIIRS,n,1.0NRT,281.4,1.1,N
59.64429,6.35881,299.6,0.39,0.36,2017-10-19,0154,N,VIIRS,n,1.0NRT,277.3,0.9,N
58.27567,6.89157,308.9,0.4,0.5,2017-09-03,0112,N,VIIRS,n,1.0NRT,281,1.6,N
58.27768,6.89039,347.2,0.4,0.4,2017-10-05,0112,N,VIIRS,n,1.0NRT,281.5,8.3,N
58.27897,6.88918,325.7,0.39,0.36,2017-10-30,0148,N,VIIRS,n,1.0NRT,272.5,2.2,N
58.27908,6.89151,326.3,0.46,0.39,2017-11-24,0218,N,VIIRS,n,1.0NRT,274.6,2.6,N
58.27749,6.8899,333.2,0.43,0.38,2017-12-15,1212,N,VIIRS,n,1.0NRT,273,3.5,D
58.27914,6.8917,326.7,0.4,0.37,2017-12-16,0206,N,VIIRS,n,1.0NRT,264,3.1,N
58.2767,6.89047,318.1,0.39,0.44,2017-12-24,0112,N,VIIRS,n,1.0NRT,271.8,2,N
59.12828,9.62321,307.2,0.5,0.5,2017-09-04,0054,N,VIIRS,n,1.0NRT,273.9,1.9,N
59.49996,11.22211,328.4,0.46,0.39,2017-11-11,1112,N,VIIRS,n,1.0NRT,274.4,5.9,D
59.44129,9.11989,335.3,0.39,0.36,2017-12-01,1136,N,VIIRS,n,1.0NRT,267.1,4.4,D
59.12874,9.62221,308.2,0.44,0.62,2017-12-16,0024,N,VIIRS,n,1.0NRT,268.8,1.3,N
63.31772,9.14476,295.6,0.6,0.5,2017-10-01,0048,N,VIIRS,n,1.0NRT,282.8,1.2,N
66.3107,14.17801,302.1,0.4,0.4,2017-09-02,0130,N,VIIRS,n,1.0NRT,280.6,0.9,N
66.31095,14.17818,321.7,0.4,0.5,2017-09-04,0054,N,VIIRS,n,1.0NRT,282.8,2.7,N
