latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
50.53699,23.71595,336,0.59,0.53,2017-04-04,1155,N,VIIRS,n,1,289.2,11.9,
50.49138,19.46536,300.7,0.39,0.36,2017-06-06,0046,N,VIIRS,n,1,281.6,0.6,
50.40722,21.98539,332,0.47,0.48,2017-06-22,1034,N,VIIRS,n,1,298,1.9,
50.49209,19.45552,328.8,0.51,0.41,2017-07-04,1149,N,VIIRS,n,1,300.8,3.6,
50.48996,19.46889,296.3,0.63,0.54,2017-07-05,0142,N,VIIRS,n,1,278.5,0.5,
51.55689,22.58416,329.7,0.4,0.44,2017-04-10,1143,N,VIIRS,n,1,294.1,2.4,
51.13811,23.55555,307.6,0.5,0.41,2017-05-15,0058,N,VIIRS,n,1,278.5,1.6,
51.13651,23.55409,299.8,0.39,0.36,2017-07-03,0039,N,VIIRS,n,1,283.2,0.4,
51.1238,23.22027,296.5,0.53,0.42,2017-08-27,0009,N,VIIRS,n,1,285.6,0.9,
50.06799,20.07857,306.2,0.38,0.36,2017-04-03,0046,N,VIIRS,n,1,281.5,1,
50.07376,20.09948,296.9,0.51,0.41,2017-05-17,0021,N,VIIRS,n,1,282.9,0.8,
50.07255,20.0843,304,0.34,0.56,2017-05-18,0142,N,VIIRS,n,1,281.3,1.1,
50.06063,20.125,298.8,0.46,0.39,2017-05-20,0105,N,VIIRS,n,1,284,0.4,
50.07038,20.08712,316.1,0.34,0.56,2017-06-03,0142,N,VIIRS,n,1,283.4,2.3,
50.07654,20.08667,297.2,0.59,0.53,2017-06-30,0136,N,VIIRS,n,1,285.6,3.2,
50.07114,20.08563,325.4,0.38,0.36,2017-07-08,0046,N,VIIRS,n,1,286.3,2.9,
50.06871,20.119,332.3,0.43,0.46,2017-07-18,1046,N,VIIRS,n,1,300.6,3.3,
50.06349,20.12529,299.7,0.52,0.41,2017-07-20,0021,N,VIIRS,n,1,287.4,0.8,
50.07043,20.08212,337.7,0.34,0.56,2017-07-21,0142,N,VIIRS,n,1,287,2.2,
50.07399,20.08631,323.2,0.41,0.37,2017-08-03,0059,N,VIIRS,n,1,290.8,1.5,
50.15957,18.6657,302.4,0.39,0.36,2017-08-09,0046,N,VIIRS,n,1,288.9,0.6,
50.0648,20.12372,319.4,0.61,0.71,2017-08-26,0208,N,VIIRS,n,1,283.8,3.1,
50.79948,19.17366,323.9,0.35,0.57,2017-02-16,0149,N,VIIRS,n,1,268.9,1.5,
50.87357,19.25337,301.3,0.41,0.37,2017-03-13,0040,N,VIIRS,n,1,271.7,1,
51.59077,21.22164,345.5,0.63,0.72,2017-04-01,2324,N,VIIRS,n,1,280.3,5.4,
51.08313,18.92582,332,0.48,0.65,2017-04-02,1233,N,VIIRS,n,1,291.5,1.1,
50.8729,19.25796,298.2,0.43,0.46,2017-04-10,0014,N,VIIRS,n,1,278.9,0.5,
