latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.69173,15.97643,316.5,0.6,0.7,2017-09-12,2348,N,VIIRS,n,1.0NRT,280.2,2.1,N
51.68508,15.9826,325.8,0.4,0.4,2017-09-19,0118,N,VIIRS,n,1.0NRT,280,3.6,N
51.68746,15.97703,333.4,0.5,0.4,2017-09-21,0036,N,VIIRS,n,1.0NRT,282.5,6.7,N
51.68878,15.97759,321.6,0.57,0.43,2017-12-05,0030,N,VIIRS,n,1.0NRT,269.7,2.1,N
51.68423,15.98174,321.8,0.5,0.7,2017-09-17,2354,N,VIIRS,n,1.0NRT,269.2,5.4,N
51.68901,15.98089,296.7,0.7,0.8,2017-10-09,2342,N,VIIRS,n,1.0NRT,276.2,2.4,N
51.13686,23.55327,306.6,0.4,0.4,2017-09-11,0024,N,VIIRS,n,1.0NRT,282.7,0.8,N
51.68683,15.98233,339.1,0.4,0.4,2017-09-16,0030,N,VIIRS,n,1.0NRT,285.4,7,N
51.68874,15.97893,345.8,0.5,0.4,2017-09-21,0036,N,VIIRS,n,1.0NRT,286.3,17.6,N
51.17657,16.11383,311.7,0.5,0.4,2017-09-21,0036,N,VIIRS,n,1.0NRT,279.6,1.7,N
51.68842,15.98088,335.7,0.3,0.6,2017-09-22,0200,N,VIIRS,n,1.0NRT,283.3,1.9,N
51.6862,15.98297,310.8,0.4,0.4,2017-09-30,0112,N,VIIRS,n,1.0NRT,280.2,1.7,N
51.17807,16.11174,299.9,0.6,0.53,2017-10-19,0154,N,VIIRS,n,1.0NRT,281.8,1.4,N
51.68713,15.98155,338.4,0.57,0.52,2017-11-04,0154,N,VIIRS,n,1.0NRT,278.3,7.3,N
51.69028,15.98257,296.5,0.44,0.46,2017-12-16,0024,N,VIIRS,n,1.0NRT,272.3,3.3,N
51.17742,16.11458,309,0.49,0.4,2017-12-26,0036,N,VIIRS,n,1.0NRT,268.3,0.9,N
51.68942,15.97878,328.7,0.4,0.4,2017-09-03,0118,N,VIIRS,n,1.0NRT,264.4,2.5,N
51.6881,15.97781,312.4,0.4,0.6,2017-09-11,0206,N,VIIRS,n,1.0NRT,281.9,2.7,N
51.68733,15.9767,331.7,0.4,0.4,2017-09-16,0030,N,VIIRS,n,1.0NRT,281.6,7,N
51.6838,15.97571,310,0.8,0.8,2017-09-18,2336,N,VIIRS,n,1.0NRT,277.8,4.4,N
51.68761,15.98316,308.7,0.6,0.7,2017-09-28,2348,N,VIIRS,n,1.0NRT,276.8,3.9,N
51.68808,15.98059,352.4,0.39,0.36,2017-11-17,0112,N,VIIRS,n,1.0NRT,284.3,18.3,N
51.68649,15.98004,326.7,0.49,0.65,2017-12-26,0218,N,VIIRS,n,1.0NRT,266.9,3.5,N
51.67318,16.01174,320.3,0.4,0.4,2017-09-08,0124,N,VIIRS,n,1.0NRT,281.2,1.9,N
50.8622,16.61896,301.2,0.44,0.38,2017-12-24,0118,N,VIIRS,n,1.0NRT,277.2,0.8,N
51.68962,15.97881,314.8,0.4,0.4,2017-09-08,0124,N,VIIRS,n,1.0NRT,283.3,1.7,N
51.67515,16.01276,309.3,0.4,0.4,2017-09-08,0124,N,VIIRS,n,1.0NRT,281.5,1,N
51.68721,15.98245,333.1,0.6,0.4,2017-09-18,0136,N,VIIRS,n,1.0NRT,282.4,3.7,N
51.68357,15.97578,305.2,0.8,0.8,2017-09-18,2336,N,VIIRS,n,1.0NRT,277.4,3.1,N
51.6884,15.98422,314.6,0.4,0.4,2017-09-19,0118,N,VIIRS,n,1.0NRT,279.9,3.3,N
51.68708,15.9795,345.6,0.4,0.4,2017-10-02,0030,N,VIIRS,n,1.0NRT,284.3,5.9,N
51.1742,16.11246,303.6,0.41,0.37,2017-10-17,0048,N,VIIRS,n,1.0NRT,283.3,1.1,N
51.68876,15.97619,327.9,0.39,0.36,2017-11-23,0054,N,VIIRS,n,1.0NRT,276.4,15,N
51.68652,15.97721,329.6,0.5,0.41,2017-11-24,0036,N,VIIRS,n,1.0NRT,278.6,14.2,N
51.69009,15.98145,337.3,0.41,0.37,2017-12-07,1124,N,VIIRS,n,1.0NRT,281.9,16.1,D
51.68692,15.97927,346.4,0.45,0.39,2017-12-15,0042,N,VIIRS,n,1.0NRT,276.4,8.3,N
52.52814,16.39227,305.5,0.4,0.4,2017-10-01,0048,N,VIIRS,n,1.0NRT,279.5,0.6,N
50.03889,18.4855,298.2,0.38,0.36,2017-10-17,0048,N,VIIRS,n,1.0NRT,285.2,0.5,N
50.75243,16.24598,298.4,0.54,0.42,2017-12-02,0130,N,VIIRS,n,1.0NRT,266.5,0.9,N
51.68817,15.97753,336,0.7,0.8,2017-09-07,2342,N,VIIRS,n,1.0NRT,280.6,6.4,N
51.17878,16.11431,297.6,0.4,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,268.6,0.5,N
51.17872,16.11098,302.4,0.4,0.5,2017-09-11,0024,N,VIIRS,n,1.0NRT,281,1.3,N
51.68459,15.98068,323.3,0.5,0.5,2017-09-12,0148,N,VIIRS,n,1.0NRT,282.8,4,N
50.75505,16.24381,298.8,0.5,0.4,2017-09-13,0130,N,VIIRS,n,1.0NRT,280.3,1.1,N
51.68903,15.9747,296.6,0.6,0.4,2017-09-18,0136,N,VIIRS,n,1.0NRT,279.7,3.7,N
51.69108,15.975,328.9,0.8,0.8,2017-09-18,2336,N,VIIRS,n,1.0NRT,278.6,6.7,N
51.69123,15.97801,319.8,0.5,0.4,2017-09-21,0036,N,VIIRS,n,1.0NRT,279.7,6.7,N
51.17755,16.11102,301.8,0.3,0.6,2017-09-28,0006,N,VIIRS,n,1.0NRT,280.9,0.8,N
51.68834,15.97684,315.1,0.5,0.4,2017-09-29,0130,N,VIIRS,n,1.0NRT,282.5,2.6,N
51.68683,15.98378,313.6,0.5,0.4,2017-09-29,0130,N,VIIRS,n,1.0NRT,282,1.9,N
51.68715,15.97743,315.2,0.4,0.4,2017-09-30,0112,N,VIIRS,n,1.0NRT,279.6,1.7,N
51.68594,15.97949,306.5,0.4,0.4,2017-10-01,0048,N,VIIRS,n,1.0NRT,279.7,2.3,N
51.68795,15.98171,300.1,0.4,0.6,2017-10-02,0212,N,VIIRS,n,1.0NRT,279.7,0.8,N
51.68795,15.98178,324.1,0.39,0.36,2017-11-23,0054,N,VIIRS,n,1.0NRT,290.9,19.6,N
51.68793,15.97827,303.5,0.49,0.65,2017-11-24,0218,N,VIIRS,n,1.0NRT,277.6,1.7,N
51.18343,16.11018,300.3,0.64,0.72,2017-12-12,2342,N,VIIRS,n,1.0NRT,270.7,1.5,N
51.17938,16.11732,322.1,0.38,0.36,2017-12-14,0106,N,VIIRS,n,1.0NRT,271.8,1.2,N
51.68606,15.98049,311.8,0.38,0.59,2017-12-16,0206,N,VIIRS,n,1.0NRT,271.4,1.6,N
51.17911,16.11184,302.8,0.5,0.49,2017-12-27,0018,N,VIIRS,n,1.0NRT,270.9,1.5,N
53.31515,14.80747,325.3,0.6,0.6,2017-10-01,1042,N,VIIRS,n,1.0NRT,284.5,3,D
53.86305,14.58483,304.1,0.76,0.77,2017-10-21,0254,N,VIIRS,n,1.0NRT,278.8,1.6,N
51.68754,15.97773,319.6,0.4,0.4,2017-09-08,0124,N,VIIRS,n,1.0NRT,283.3,1.8,N
51.68876,15.98358,314.4,0.5,0.5,2017-09-12,0148,N,VIIRS,n,1.0NRT,283.4,1.6,N
51.68543,15.9817,332.4,0.5,0.4,2017-09-13,0130,N,VIIRS,n,1.0NRT,282.2,2.5,N
