latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.06758,-7.5021,297,0.56,0.52,2017-03-15,0146,N,VIIRS,n,1,280.6,1,
40.94987,-7.68807,340,0.44,0.62,2017-04-07,1418,N,VIIRS,n,1,296.2,3.2,
40.9492,-7.68793,338.1,0.44,0.62,2017-04-07,1418,N,VIIRS,n,1,296,4.2,
40.9567,-7.50136,295.2,0.39,0.44,2017-04-10,0159,N,VIIRS,n,1,269.6,1.2,
40.95604,-7.49431,367,0.37,0.58,2017-06-21,1412,N,VIIRS,h,1,305.3,16.2,
40.96241,-7.4135,303.3,0.41,0.6,2017-08-28,0134,N,VIIRS,n,1,286.5,1.6,
40.729,-7.55935,300.7,0.44,0.46,2017-01-01,0256,N,VIIRS,n,1,270.2,0.9,
40.72124,-7.39871,355.4,0.33,0.55,2017-01-01,1239,N,VIIRS,n,1,286.4,5.2,
40.73166,-7.41189,347.2,0.63,0.54,2017-01-07,1406,N,VIIRS,n,1,284.7,12.9,
40.70011,-7.39031,350.7,0.4,0.37,2017-08-27,1316,N,VIIRS,n,1,311.5,8,
40.70428,-7.38647,337.9,0.4,0.37,2017-08-27,1316,N,VIIRS,n,1,309.2,5,
40.50214,-7.468,351.8,0.39,0.36,2017-01-25,1328,N,VIIRS,n,1,291.3,6.6,
40.56267,-7.43227,329.4,0.51,0.41,2017-03-10,1303,N,VIIRS,n,1,295,7.8,
40.55475,-7.4287,354.8,0.59,0.7,2017-07-29,1219,N,VIIRS,n,1,297,18.3,
40.47148,-7.34523,367,0.48,0.48,2017-08-23,1251,N,VIIRS,h,1,345.9,117.5,
40.42809,-7.35045,331.8,0.4,0.37,2017-08-27,1316,N,VIIRS,n,1,300.8,1.9,
40.43559,-7.34765,348.1,0.4,0.37,2017-08-27,1316,N,VIIRS,n,1,302.5,38.4,
40.43482,-7.35502,367,0.4,0.37,2017-08-27,1316,N,VIIRS,l,1,327.1,184.1,
40.69247,-7.37341,342.6,0.4,0.37,2017-08-27,1316,N,VIIRS,n,1,309.4,15.3,
40.07137,-7.54502,344,0.41,0.37,2017-04-04,1334,N,VIIRS,n,1,303.8,19.6,
40.10383,-7.41311,327.8,0.45,0.47,2017-05-23,0153,N,VIIRS,n,1,290.8,2.7,
40.0144,-7.73404,336,0.5,0.41,2017-06-18,0205,N,VIIRS,n,1,275.7,3.3,
40.01135,-7.74097,296.9,0.5,0.41,2017-06-18,0205,N,VIIRS,n,1,266.6,1,
40.01068,-7.73497,303.2,0.5,0.41,2017-06-18,0205,N,VIIRS,n,1,269.4,1,
40.00827,-7.74762,302.7,0.5,0.41,2017-06-18,0205,N,VIIRS,n,1,266.4,1,
40.01886,-7.73963,321,0.5,0.41,2017-06-18,0205,N,VIIRS,n,1,272.7,2.2,
