latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.22546,-7.9752,325.8,0.4,0.6,2017-09-09,1412,N,VIIRS,n,1.0NRT,284.6,8.1,D
41.91679,-8.38273,346.2,0.5,0.4,2017-09-21,1348,N,VIIRS,n,1.0NRT,299.4,13.2,D
41.41533,-7.7531,342.7,0.8,0.8,2017-10-07,1206,N,VIIRS,n,1.0NRT,300.1,13.9,D
41.39466,-7.77942,335.5,0.5,0.4,2017-10-07,1348,N,VIIRS,n,1.0NRT,304.3,20.6,D
41.49483,-8.11849,325.2,0.8,0.8,2017-10-08,0342,N,VIIRS,n,1.0NRT,287.6,6.5,N
41.39378,-7.74822,333.2,0.4,0.4,2017-10-08,1324,N,VIIRS,l,1.0NRT,307.4,23.7,D
41.32008,-8.032,335.7,0.6,0.5,2017-10-09,0142,N,VIIRS,n,1.0NRT,287.2,9.3,N
41.39383,-8.13395,295.7,0.5,0.7,2017-10-09,0324,N,VIIRS,n,1.0NRT,285.3,0.6,N
41.74062,-7.91162,367,0.4,0.6,2017-10-11,1230,N,VIIRS,n,1.0NRT,301.5,27.4,D
41.77703,-8.00252,351.9,0.4,0.5,2017-10-12,1354,N,VIIRS,n,1.0NRT,305.6,6.8,D
41.48291,-8.38193,299.7,0.5,0.4,2017-10-13,0212,N,VIIRS,n,1.0NRT,289,1,N
42.03127,-8.41222,313.7,0.6,0.6,2017-10-15,0312,N,VIIRS,n,1.0NRT,290,4.6,N
41.65952,-8.11798,295.5,0.3,0.6,2017-10-15,0312,N,VIIRS,n,1.0NRT,275.9,1.4,N
41.648,-8.07144,367,0.4,0.5,2017-10-15,1254,N,VIIRS,l,1.0NRT,330.2,49.2,D
42.02967,-8.45304,367,0.4,0.5,2017-10-15,1254,N,VIIRS,l,1.0NRT,334.7,52.5,D
42.04366,-8.44906,352,0.4,0.5,2017-10-15,1254,N,VIIRS,n,1.0NRT,277.7,19.1,D
41.62933,-7.97992,332.3,0.8,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,255.9,10,N
42.0148,-8.49142,325.8,0.6,0.71,2017-11-27,1430,N,VIIRS,n,1.0NRT,284.5,3.6,D
41.72657,-8.20895,346.3,0.8,0.8,2017-10-08,0342,N,VIIRS,n,1.0NRT,290.5,7.8,N
41.39264,-8.12639,330.2,0.4,0.4,2017-10-08,1324,N,VIIRS,l,1.0NRT,303.5,3.9,D
41.47504,-8.37824,302.8,0.5,0.4,2017-10-13,0212,N,VIIRS,n,1.0NRT,289,1.3,N
42.08332,-8.23042,367,0.4,0.5,2017-10-15,1254,N,VIIRS,n,1.0NRT,344.9,72.6,D
42.06823,-8.47615,356.7,0.4,0.5,2017-10-15,1254,N,VIIRS,n,1.0NRT,281.1,8.1,D
41.62618,-8.07135,344.6,0.8,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,290.2,26,D
42.08277,-8.41853,339.2,0.7,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,294,17.5,D
41.81699,-7.9747,335.5,0.5,0.7,2017-10-05,1424,N,VIIRS,n,1.0NRT,300.3,4.9,D
41.66758,-7.84523,334.9,0.4,0.4,2017-10-08,1324,N,VIIRS,l,1.0NRT,307,4.6,D
41.17812,-6.88467,297.9,0.5,0.4,2017-09-04,0242,N,VIIRS,n,1.0NRT,286.8,0.6,N
39.83561,-8.08376,308.6,0.5,0.4,2017-09-09,0248,N,VIIRS,n,1.0NRT,263.7,1.7,N
39.7601,-7.76876,323.6,0.4,0.4,2017-09-10,0230,N,VIIRS,n,1.0NRT,287.3,4.9,N
40.18023,-7.88282,324.4,0.4,0.4,2017-10-07,0224,N,VIIRS,n,1.0NRT,299.3,32,N
40.18416,-7.9442,332.2,0.5,0.4,2017-10-07,1348,N,VIIRS,l,1.0NRT,306.6,9.6,D
40.18893,-7.96288,352.8,0.4,0.4,2017-10-08,1324,N,VIIRS,n,1.0NRT,306.7,28.2,D
40.20224,-7.89651,344.6,0.4,0.4,2017-10-08,1324,N,VIIRS,n,1.0NRT,312.5,73.6,D
40.20382,-7.97881,338.4,0.5,0.4,2017-10-09,1306,N,VIIRS,l,1.0NRT,311.5,105,D
39.85453,-8.02881,208,0.7,0.8,2017-10-15,1436,N,VIIRS,l,1.0NRT,307,119.3,D
39.87618,-8.01319,367,0.7,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,294,306.1,D
39.9053,-7.94765,342.8,0.8,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,284.4,27.2,D
39.91199,-8.04774,367,0.7,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,357.9,682.5,D
39.89203,-7.97533,350.8,0.8,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,291.3,18.3,D
39.90646,-8.0116,367,0.8,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,290.2,88.8,D
39.90646,-8.03918,284.3,0.7,0.8,2017-10-15,1436,N,VIIRS,l,1.0NRT,316.5,419.8,D
40.12588,-8.10857,336,0.7,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,280.2,38.6,D
40.19064,-8.06837,367,0.7,0.8,2017-10-15,1436,N,VIIRS,l,1.0NRT,272.4,65.3,D
40.20474,-8.13473,367,0.7,0.8,2017-10-15,1436,N,VIIRS,l,1.0NRT,266.4,61.2,D
40.20729,-8.13815,367,0.7,0.8,2017-10-15,1436,N,VIIRS,l,1.0NRT,273.4,44.5,D
40.23602,-7.96641,353.5,0.8,0.8,2017-10-15,1436,N,VIIRS,n,1.0NRT,288.4,31.3,D
40.28904,-7.8412,336.6,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,241.5,15.2,N
40.28895,-7.80209,367,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,264.9,75,N
40.27472,-7.85079,321.3,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,239.2,8.6,N
40.27468,-7.81898,324.7,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,250.3,11.3,N
40.2245,-7.87724,345.9,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,240,14.6,N
40.27261,-7.83113,322.7,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,244.6,7.8,N
40.10545,-7.87423,322.6,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,257.2,17.3,N
40.06248,-7.92948,332.7,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,248.9,20.5,N
40.04642,-7.92434,344.9,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,254.7,23.6,N
39.98029,-7.57248,301.3,0.7,0.8,2017-10-16,0112,N,VIIRS,n,1.0NRT,283.6,3.8,N
40.26812,-7.84,325.4,0.4,0.5,2017-10-16,0254,N,VIIRS,n,1.0NRT,244.5,3.6,N
