latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.73643,25.17419,330.8,0.47,0.4,2017-02-27,1128,N,VIIRS,n,1,288.9,2.5,
44.35079,25.80147,326.3,0.51,0.41,2017-02-27,1129,N,VIIRS,n,1,273.8,3.9,
44.62427,24.0772,329.4,0.44,0.39,2017-02-27,1129,N,VIIRS,n,1,281.9,4.7,
44.4513,22.67022,332.4,0.41,0.37,2017-02-28,1110,N,VIIRS,n,1,293.1,5,
43.87653,23.59049,367,0.46,0.63,2017-02-28,2326,N,VIIRS,h,1,281.2,13.9,
44.65305,23.28618,325.6,0.43,0.62,2017-03-02,1213,N,VIIRS,n,1,295,2.4,
44.74584,22.83838,345.7,0.48,0.48,2017-03-03,1154,N,VIIRS,n,1,293.8,13.1,
44.74045,25.18652,341.6,0.37,0.58,2017-03-08,1200,N,VIIRS,n,1,286.1,2.5,
44.8507,29.56278,336.2,0.61,0.71,2017-03-08,1200,N,VIIRS,n,1,281.5,53,
44.26656,25.90421,295.4,0.38,0.36,2017-03-09,0016,N,VIIRS,n,1,276.3,1.2,
44.73402,23.35971,329,0.66,0.73,2017-03-09,1001,N,VIIRS,n,1,280.6,4.6,
44.73039,22.91278,348.3,0.57,0.43,2017-03-17,1051,N,VIIRS,n,1,296.6,16.9,
44.74693,22.45758,341.3,0.39,0.44,2017-03-17,1051,N,VIIRS,n,1,289.2,7.3,
44.49823,23.283,339.2,0.73,0.76,2017-03-17,1232,N,VIIRS,n,1,288.6,11.3,
44.33244,26.80708,340.3,0.43,0.46,2017-03-20,1135,N,VIIRS,n,1,289.1,2.6,
44.6553,25.59352,339.7,0.39,0.44,2017-03-20,1135,N,VIIRS,n,1,295.2,6.9,
44.64432,24.25078,332,0.39,0.36,2017-03-21,1116,N,VIIRS,n,1,295.9,1.3,
44.69808,25.38268,326,0.41,0.37,2017-03-22,1057,N,VIIRS,n,1,295.3,1.3,
44.21434,26.22791,325.7,0.71,0.75,2017-03-23,1219,N,VIIRS,n,1,293.5,1.9,
44.76984,22.86884,300.9,0.4,0.37,2017-03-24,0035,N,VIIRS,n,1,278.9,0.8,
44.73289,23.6369,330.5,0.4,0.6,2017-03-24,1020,N,VIIRS,n,1,294.8,2.2,
44.84626,29.0767,346.4,0.4,0.37,2017-03-28,1044,N,VIIRS,n,1,293,16.8,
44.85467,29.08447,345.5,0.4,0.37,2017-03-28,1044,N,VIIRS,n,1,294.4,28.7,
44.81887,29.4113,312.3,0.51,0.49,2017-03-29,0041,N,VIIRS,n,1,277.8,4.7,
44.85778,29.3401,352.6,0.61,0.53,2017-03-30,1007,N,VIIRS,n,1,279.5,20.1,
44.81517,29.16319,352.2,0.48,0.48,2017-03-31,1128,N,VIIRS,n,1,292.7,47.9,
44.43975,24.39399,301.3,0.5,0.49,2017-03-31,2345,N,VIIRS,n,1,276.9,0.9,
44.8474,23.41779,303.1,0.5,0.41,2017-04-03,0047,N,VIIRS,n,1,282.1,2,
44.38031,25.17926,348,0.63,0.72,2017-04-08,1219,N,VIIRS,n,1,289.7,11.9,
44.66571,25.5602,298.6,0.46,0.39,2017-04-25,0035,N,VIIRS,n,1,273.8,0.9,
44.26467,28.26328,335.3,0.4,0.37,2017-05-04,1051,N,VIIRS,n,1,302.7,2.5,
44.66783,25.55926,297.8,0.43,0.38,2017-05-18,0004,N,VIIRS,n,1,282,0.7,
44.66598,25.56142,337,0.41,0.37,2017-06-26,1057,N,VIIRS,n,1,307.9,3,
44.33523,23.83599,345.9,0.52,0.5,2017-07-09,1154,N,VIIRS,n,1,303.8,7.1,
44.79792,26.50592,308.3,0.52,0.41,2017-07-10,2351,N,VIIRS,n,1,290.9,1.4,
44.66228,26.94178,343.5,0.43,0.38,2017-07-11,1116,N,VIIRS,n,1,305.3,6.7,
44.08016,23.48044,304.9,0.4,0.6,2017-07-11,2332,N,VIIRS,n,1,292.6,0.8,
44.0728,23.66206,330.7,0.5,0.49,2017-07-13,1038,N,VIIRS,n,1,300.2,3.9,
44.16576,23.0723,341,0.53,0.5,2017-07-13,1038,N,VIIRS,n,1,299.1,6.1,
