latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
45.41914,27.98071,309.6,0.5,0.4,2017-10-13,0024,N,VIIRS,n,1.0NRT,282.1,2.2,N
43.80526,28.16815,329.7,0.43,0.62,2017-10-19,1000,N,VIIRS,n,1.0NRT,297.1,2.3,D
46.67636,27.86712,330.1,0.45,0.39,2017-11-02,1036,N,VIIRS,n,1.0NRT,284.7,4.4,D
45.41888,27.98032,315,0.4,0.4,2017-09-01,2354,N,VIIRS,n,1.0NRT,289.9,0.9,N
44.69369,25.47468,341.3,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,305.5,5.9,D
45.95215,25.28445,297.9,0.4,0.5,2017-09-12,2348,N,VIIRS,n,1.0NRT,283.3,0.5,N
44.03505,25.696,343.2,0.5,0.5,2017-09-17,1142,N,VIIRS,n,1.0NRT,308,4.1,D
44.00276,25.43626,332.9,0.5,0.4,2017-09-20,1042,N,VIIRS,n,1.0NRT,299.2,3,D
44.94845,29.50003,329.8,0.4,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.4,2.1,N
45.05029,29.45201,326.8,0.5,0.4,2017-09-02,2336,N,VIIRS,n,1.0NRT,289.1,1.9,N
45.3651,29.33038,335.1,0.5,0.5,2017-09-07,1124,N,VIIRS,n,1.0NRT,297.7,2.9,D
45.35894,29.27831,344.9,0.4,0.4,2017-09-09,1048,N,VIIRS,n,1.0NRT,301.2,4.5,D
43.82371,24.94312,346.6,0.4,0.4,2017-09-19,1100,N,VIIRS,n,1.0NRT,298.6,7.7,D
45.95055,25.28032,301.1,0.4,0.6,2017-09-08,2324,N,VIIRS,n,1.0NRT,270.8,0.4,N
45.30664,29.02017,334.4,0.5,0.4,2017-09-29,1112,N,VIIRS,n,1.0NRT,292.7,9.7,D
43.97286,28.35142,343.8,0.6,0.5,2017-09-11,1012,N,VIIRS,n,1.0NRT,305.8,16.2,D
44.27395,26.31905,351.1,0.72,0.76,2017-10-17,1218,N,VIIRS,n,1.0NRT,295.6,9.3,D
45.17078,29.13439,355.9,0.4,0.4,2017-09-19,1100,N,VIIRS,n,1.0NRT,298.5,33.2,D
45.24833,29.16295,343,0.4,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,310.1,33.5,D
45.13752,29.28863,346.8,0.35,0.57,2017-11-02,0054,N,VIIRS,n,1.0NRT,273,5.5,N
44.53955,24.62519,335.6,0.4,0.6,2017-09-16,1018,N,VIIRS,n,1.0NRT,298.1,4.6,D
44.49907,24.48837,336.7,0.4,0.4,2017-09-30,1054,N,VIIRS,n,1.0NRT,270.9,4.2,D
44.47593,26.94629,336.3,0.4,0.6,2017-10-13,1154,N,VIIRS,n,1.0NRT,284,4.6,D
44.57087,26.59976,345.3,0.4,0.4,2017-10-15,1112,N,VIIRS,n,1.0NRT,270.2,8.9,D
43.91735,25.24794,350,0.6,0.7,2017-10-03,1000,N,VIIRS,n,1.0NRT,299.8,6.4,D
44.09001,24.1235,302.9,0.4,0.5,2017-09-12,2348,N,VIIRS,n,1.0NRT,286.7,0.5,N
46.3496,27.56718,328.2,0.54,0.42,2017-10-20,1118,N,VIIRS,n,1.0NRT,297.6,5,D
44.99712,23.23219,330.5,0.5,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,298.4,2.9,D
43.80823,25.68438,345,0.6,0.4,2017-09-12,1130,N,VIIRS,n,1.0NRT,301.8,7.5,D
43.88818,25.19223,353.4,0.4,0.4,2017-09-13,1112,N,VIIRS,n,1.0NRT,304.9,6.3,D
44.20544,25.45609,355.2,0.7,0.8,2017-09-15,1218,N,VIIRS,n,1.0NRT,301.7,16.8,D
44.45142,25.19754,338.6,0.6,0.7,2017-09-15,1218,N,VIIRS,n,1.0NRT,299.9,5.8,D
43.86916,25.5846,341.5,0.3,0.6,2017-09-16,1018,N,VIIRS,n,1.0NRT,305.7,18.5,D
44.00558,24.91445,367,0.4,0.6,2017-10-02,1200,N,VIIRS,n,1.0NRT,300.3,14.5,D
44.02565,26.13495,341.6,0.5,0.5,2017-10-12,1030,N,VIIRS,n,1.0NRT,293.4,4.3,D
43.88978,25.57241,367,0.41,0.45,2017-11-02,1036,N,VIIRS,n,1.0NRT,293.4,15.5,D
45.29263,25.10975,295.5,0.47,0.64,2017-11-22,2318,N,VIIRS,n,1.0NRT,273.5,0.7,N
45.43615,27.97514,310.3,0.4,0.4,2017-10-14,0006,N,VIIRS,n,1.0NRT,283.2,1.5,N
45.5504,27.90936,356.2,0.48,0.48,2017-10-18,1018,N,VIIRS,n,1.0NRT,299.9,14.1,D
45.42126,27.97347,329.7,0.43,0.38,2017-12-13,1106,N,VIIRS,n,1.0NRT,275.1,5.2,D
45.35422,29.25939,332.1,0.5,0.7,2017-09-11,1154,N,VIIRS,n,1.0NRT,300.6,5.4,D
45.1837,29.46022,335.7,0.4,0.5,2017-09-16,1018,N,VIIRS,l,1.0NRT,309.5,10.1,D
44.98183,29.47331,303.4,0.7,0.8,2017-09-26,2248,N,VIIRS,n,1.0NRT,265.9,4,N
45.0266,29.53795,313.7,0.3,0.6,2017-10-16,2312,N,VIIRS,n,1.0NRT,282.4,2.6,N
43.98635,23.12653,335.4,0.5,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,298.1,2.8,D
