latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
44.06541,21.59073,310.5,0.45,0.63,2017-02-17,0132,N,VIIRS,n,1,268.7,1.8,
44.31675,21.99533,332.7,0.49,0.49,2017-02-24,1045,N,VIIRS,n,1,286.5,6.5,
43.65516,22.29268,325.2,0.42,0.38,2017-02-28,1110,N,VIIRS,n,1,294.1,1.9,
43.67433,21.34538,329.2,0.41,0.37,2017-03-04,1135,N,VIIRS,n,1,295.1,9.7,
43.98698,20.53491,336.9,0.39,0.37,2017-03-04,1135,N,VIIRS,n,1,294.7,5.4,
44.36182,21.40432,330.1,0.41,0.37,2017-03-04,1135,N,VIIRS,n,1,294.9,1.7,
44.57552,20.75412,333,0.49,0.41,2017-03-14,1148,N,VIIRS,n,1,273.3,4.7,
43.66928,20.35947,328.7,0.39,0.36,2017-03-20,1135,N,VIIRS,n,1,297,1.9,
43.87383,20.43313,331.4,0.39,0.36,2017-03-20,1135,N,VIIRS,n,1,294.7,2.9,
44.1139,21.34356,332.4,0.45,0.39,2017-03-25,1141,N,VIIRS,n,1,290.2,2.8,
43.90732,21.51388,297.9,0.32,0.55,2017-03-27,0119,N,VIIRS,n,1,271.9,0.7,
43.75446,21.46422,329.8,0.51,0.41,2017-03-30,1147,N,VIIRS,n,1,296.7,2.3,
43.9357,21.01467,327.6,0.46,0.39,2017-04-01,1109,N,VIIRS,n,1,297.6,1.6,
44.19924,21.52716,337.9,0.37,0.58,2017-04-03,1032,N,VIIRS,n,1,297.7,3.9,
44.51277,21.81195,354.2,0.35,0.57,2017-04-03,1032,N,VIIRS,n,1,297.5,8.1,
44.6013,20.97958,296.2,0.47,0.4,2017-04-24,0054,N,VIIRS,n,1,275.1,1.5,
44.7851,20.59967,313.9,0.4,0.44,2017-05-20,0106,N,VIIRS,n,1,284.3,1.6,
44.84578,20.44034,339.2,0.48,0.48,2017-05-20,1051,N,VIIRS,n,1,288.8,3,
44.60131,20.97898,301.4,0.75,0.77,2017-05-30,2319,N,VIIRS,n,1,285.2,1.9,
44.45324,20.23992,296.5,0.45,0.39,2017-06-11,0054,N,VIIRS,n,1,284.8,0.2,
44.5968,20.97276,330.4,0.51,0.41,2017-06-15,1103,N,VIIRS,l,1,305.2,4.9,
44.59592,20.97488,339.2,0.37,0.58,2017-06-19,2345,N,VIIRS,n,1,287.2,3.6,
43.98331,20.78575,335,0.43,0.38,2017-06-29,1141,N,VIIRS,n,1,305.3,2.7,
43.52341,21.74949,341.4,0.41,0.37,2017-07-10,1134,N,VIIRS,n,1,305.2,2.7,
44.55463,21.16878,300.5,0.48,0.4,2017-07-13,0054,N,VIIRS,n,1,289.2,1.5,
44.74084,19.91411,354,0.35,0.57,2017-07-13,1219,N,VIIRS,n,1,295,12.3,
44.25121,22.63504,367,0.46,0.63,2017-07-14,1020,N,VIIRS,h,1,304.1,6.8,
44.599,20.97681,339.6,0.47,0.64,2017-07-18,1225,N,VIIRS,n,1,303.2,6.8,
44.01214,19.88714,298.8,0.45,0.39,2017-07-20,0023,N,VIIRS,n,1,281.3,1.3,
44.66932,21.0511,333.7,0.39,0.36,2017-07-21,1128,N,VIIRS,l,1,308.6,1.2,
44.59693,20.97405,304.7,0.37,0.58,2017-07-21,2345,N,VIIRS,n,1,290.3,0.8,
44.53439,21.01562,367,0.39,0.6,2017-07-29,1219,N,VIIRS,h,1,301.8,16.1,
44.60512,20.96826,309.9,0.48,0.4,2017-07-31,0016,N,VIIRS,n,1,291.6,2,
44.53238,22.54528,356,0.5,0.41,2017-07-31,1141,N,VIIRS,n,1,313.6,34.8,
44.5965,20.97704,343.7,0.39,0.36,2017-08-01,1122,N,VIIRS,l,1,314.4,12.4,
44.41618,22.32808,303.2,0.64,0.72,2017-08-02,2320,N,VIIRS,n,1,288.2,1.6,
43.53329,21.68966,338.6,0.5,0.66,2017-08-03,1225,N,VIIRS,n,1,308.2,6,
44.82472,20.01715,330.2,0.41,0.61,2017-08-09,1033,N,VIIRS,l,1,302.2,2.7,
44.04745,20.70977,335.6,0.56,0.43,2017-08-10,1154,N,VIIRS,l,1,309.9,4.3,
44.01214,19.89015,301.9,0.4,0.44,2017-08-11,0010,N,VIIRS,n,1,290.6,0.6,
43.90791,21.50905,308,0.45,0.39,2017-08-16,0017,N,VIIRS,n,1,289.5,1,
44.60082,20.97655,298.9,0.34,0.56,2017-08-23,0126,N,VIIRS,n,1,283.3,0.6,
43.90893,21.50976,315.4,0.39,0.36,2017-08-31,0036,N,VIIRS,n,1,289.5,1.3,
45.35088,20.87188,331.9,0.4,0.44,2017-01-30,1154,N,VIIRS,n,1,279.4,2.1,
45.43835,19.21188,340.3,0.5,0.41,2017-02-12,1110,N,VIIRS,n,1,278.4,6.3,
45.16128,20.42759,336.2,0.66,0.73,2017-02-28,2326,N,VIIRS,n,1,266.2,7.3,
45.16098,20.20939,337.7,0.4,0.37,2017-03-04,1135,N,VIIRS,n,1,294.1,3.6,
45.30114,21.01852,335.9,0.41,0.37,2017-03-04,1135,N,VIIRS,n,1,297.1,4.4,
45.38634,19.58834,346.7,0.57,0.52,2017-03-16,0125,N,VIIRS,n,1,278.7,14.2,
45.24587,21.10851,325.7,0.44,0.46,2017-03-17,1051,N,VIIRS,n,1,296.8,3.1,
45.16836,20.25408,333.7,0.52,0.67,2017-03-17,1232,N,VIIRS,n,1,292.1,5.5,
45.15708,21.26786,296.6,0.51,0.66,2017-03-21,2332,N,VIIRS,n,1,284,0.5,
45.33478,20.7519,336.3,0.51,0.66,2017-03-24,1020,N,VIIRS,n,1,287.9,4.6,
45.10043,20.94754,331.6,0.47,0.47,2017-03-24,1200,N,VIIRS,n,1,299.1,2.6,
44.91651,19.60465,327.9,0.59,0.7,2017-07-14,1020,N,VIIRS,n,1,296.8,5.8,
45.0517,21.36009,347,0.51,0.5,2017-07-18,1045,N,VIIRS,n,1,301.9,13.3,
45.04843,21.38735,332.4,0.42,0.61,2017-07-19,1026,N,VIIRS,n,1,300.5,3,
45.47339,20.6229,329.8,0.41,0.37,2017-07-24,0047,N,VIIRS,n,1,287,6.3,
45.06743,21.42261,367,0.49,0.65,2017-07-30,1020,N,VIIRS,h,1,300.3,29.2,
45.04876,21.41654,297.2,0.55,0.42,2017-08-03,0100,N,VIIRS,n,1,278,0.5,
45.21082,21.33068,339.5,0.66,0.73,2017-08-05,1008,N,VIIRS,n,1,301.1,6.7,
45.47768,19.26152,345.2,0.55,0.51,2017-08-09,1213,N,VIIRS,n,1,303.6,9.2,
45.1454,21.33198,338.6,0.39,0.36,2017-08-10,0029,N,VIIRS,n,1,298,5.1,
45.19402,21.36621,305.3,0.4,0.6,2017-08-12,0131,N,VIIRS,n,1,290.7,0.7,
45.96747,19.12599,335.7,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,292.2,6.3,
45.61564,20.24474,341.9,0.55,0.51,2017-03-28,1045,N,VIIRS,n,1,301.8,6.2,
45.58388,19.37497,338.4,0.49,0.4,2017-07-06,1110,N,VIIRS,n,1,301.9,6.2,
43.14742,22.92146,337.9,0.59,0.7,2017-02-24,1225,N,VIIRS,n,1,284.5,4.8,
43.21888,20.29813,326.9,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,291.1,1.2,
43.07994,22.84737,330,0.39,0.36,2017-03-05,1116,N,VIIRS,n,1,289,1.9,
42.45119,21.66249,347.6,0.39,0.36,2017-03-31,1128,N,VIIRS,n,1,300.6,11.2,
42.62967,21.79182,334.2,0.45,0.39,2017-05-03,1109,N,VIIRS,n,1,301.7,3.9,
42.84818,21.66236,332.1,0.45,0.39,2017-06-29,1141,N,VIIRS,n,1,299.8,3.6,
42.24219,21.67933,343.3,0.56,0.52,2017-08-04,1206,N,VIIRS,n,1,314.3,6.4,
43.14311,20.59887,338,0.43,0.38,2017-08-12,1116,N,VIIRS,n,1,303.3,10.9,
43.10488,21.92852,334.6,0.5,0.41,2017-08-18,1103,N,VIIRS,n,1,303.7,2,
45.63436,20.25514,326.8,0.38,0.36,2017-03-15,1129,N,VIIRS,n,1,292.9,1.7,
45.89872,20.29955,296.2,0.68,0.74,2017-03-16,2325,N,VIIRS,n,1,272.2,2.7,
44.89277,19.40452,334.2,0.39,0.36,2017-03-15,1129,N,VIIRS,n,1,286.5,2.8,
44.69201,20.41111,339.7,0.53,0.42,2017-02-23,1104,N,VIIRS,n,1,291.5,4.3,
43.97603,20.69643,327,0.47,0.39,2017-02-28,1110,N,VIIRS,n,1,295.9,2.2,
44.40079,20.09892,343.2,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,293.9,4.3,
44.58598,19.99632,332.8,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,297.3,9,
44.13567,20.31405,343,0.43,0.38,2017-03-21,1116,N,VIIRS,n,1,299.8,7,
43.83276,20.79156,332.2,0.48,0.65,2017-08-04,1026,N,VIIRS,n,1,299.3,2.8,
44.9427,20.895,333.7,0.46,0.47,2017-04-02,1051,N,VIIRS,n,1,303.2,2.8,
44.19694,19.59062,334.1,0.39,0.36,2017-03-20,1135,N,VIIRS,n,1,294.1,3.6,
45.95945,19.11801,331.1,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,294,3.5,
45.93327,19.21103,335.5,0.39,0.36,2017-03-15,1129,N,VIIRS,n,1,290.9,2.7,
44.55431,22.42865,341.5,0.4,0.37,2017-02-27,1129,N,VIIRS,n,1,289.3,4.6,
44.58898,22.6262,330.1,0.45,0.39,2017-03-04,1135,N,VIIRS,n,1,294.6,1.5,
44.55177,21.75922,344.5,0.43,0.46,2017-04-02,1051,N,VIIRS,n,1,302.4,16.6,
43.42453,21.07894,332.6,0.49,0.48,2017-03-17,1051,N,VIIRS,n,1,291.6,1.6,
43.58062,21.00835,330.7,0.42,0.37,2017-03-21,1116,N,VIIRS,n,1,300.4,1.8,
43.52984,21.26086,326,0.48,0.48,2017-04-02,1051,N,VIIRS,l,1,298.9,2.1,
44.20919,22.03837,329.5,0.43,0.38,2017-03-04,1135,N,VIIRS,n,1,290.6,3.5,
44.25753,22.00369,328.2,0.42,0.38,2017-03-16,1110,N,VIIRS,n,1,288.6,2.4,
44.16962,21.98026,300.6,0.47,0.64,2017-07-27,2332,N,VIIRS,n,1,282.4,1.1,
42.98615,21.62676,329.4,0.41,0.37,2017-03-05,1116,N,VIIRS,n,1,280,2.7,
43.07343,21.62226,348.1,0.48,0.48,2017-03-24,1200,N,VIIRS,n,1,298.3,8.8,
