latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.91079,21.51105,299.1,0.47,0.48,2017-10-19,2354,N,VIIRS,n,1.0NRT,282.3,0.9,N
44.37131,20.82403,331.2,0.3,0.6,2017-10-12,1212,N,VIIRS,n,1.0NRT,294.8,1.9,D
45.41795,19.98921,336.1,0.4,0.4,2017-10-04,1118,N,VIIRS,n,1.0NRT,299.9,3.7,D
45.45093,20.16933,338.2,0.5,0.5,2017-10-11,1048,N,VIIRS,n,1.0NRT,297.1,2.5,D
45.09542,19.69576,328.8,0.4,0.6,2017-10-01,1036,N,VIIRS,n,1.0NRT,291.6,1.9,D
45.50049,20.66651,338.9,0.5,0.5,2017-10-02,1200,N,VIIRS,n,1.0NRT,299.3,4.2,D
45.34455,19.77906,331.2,0.4,0.4,2017-10-14,1136,N,VIIRS,n,1.0NRT,292.7,2.2,D
45.70784,19.03428,343.8,0.6,0.7,2017-10-16,1236,N,VIIRS,n,1.0NRT,293.1,5,D
44.61114,21.31825,299.1,0.8,0.8,2017-09-17,0154,N,VIIRS,n,1.0NRT,281.1,2.2,N
45.53372,20.72993,346.7,0.4,0.4,2017-10-15,1112,N,VIIRS,n,1.0NRT,301.9,12.5,D
45.11703,20.55396,336.6,0.38,0.59,2017-10-17,1218,N,VIIRS,n,1.0NRT,297.9,3.6,D
44.07137,22.26164,336.9,0.5,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,302.7,2.6,D
44.2363,22.58373,331.3,0.5,0.4,2017-09-01,1142,N,VIIRS,l,1.0NRT,304.8,6.5,D
42.30631,21.76049,302.1,0.4,0.6,2017-09-03,0118,N,VIIRS,n,1.0NRT,288.4,1,N
45.19801,21.34449,333.6,0.5,0.7,2017-09-16,1018,N,VIIRS,n,1.0NRT,297.9,3.9,D
45.8469,20.17028,340.5,0.3,0.6,2017-10-01,1036,N,VIIRS,n,1.0NRT,293.2,3,D
45.00681,19.5092,343.8,0.5,0.5,2017-10-11,1048,N,VIIRS,n,1.0NRT,293.2,5.2,D
45.59301,19.02669,367,0.4,0.5,2017-10-16,1054,N,VIIRS,n,1.0NRT,303.6,23.8,D
45.47727,19.54055,335.4,0.41,0.37,2017-10-19,1142,N,VIIRS,n,1.0NRT,302.9,6.6,D
45.44327,19.3058,331.5,0.44,0.46,2017-11-01,1054,N,VIIRS,n,1.0NRT,288,2.1,D
44.86161,20.1241,327.5,0.4,0.4,2017-10-15,1112,N,VIIRS,l,1.0NRT,298.6,3.3,D
44.57854,20.75583,330.2,0.5,0.7,2017-10-02,1018,N,VIIRS,n,1.0NRT,290.3,3.5,D
44.83925,20.75627,330.6,0.4,0.5,2017-10-16,1054,N,VIIRS,l,1.0NRT,300.9,2.3,D
42.98304,21.247,333.3,0.4,0.4,2017-09-17,1136,N,VIIRS,l,1.0NRT,304.6,6.9,D
44.59938,20.97679,299.3,0.47,0.4,2017-11-04,0012,N,VIIRS,n,1.0NRT,277.9,1.5,N
44.15316,22.60131,337.6,0.5,0.4,2017-09-14,1054,N,VIIRS,n,1.0NRT,305.6,8.7,D
45.24408,20.28247,367,0.4,0.6,2017-10-01,1218,N,VIIRS,n,1.0NRT,300.5,13.2,D
44.80052,21.0193,348.1,0.4,0.5,2017-10-13,1154,N,VIIRS,n,1.0NRT,296.2,6.2,D
