latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
48.61904,21.18704,319,0.41,0.37,2017-03-03,0028,N,VIIRS,n,1,265.9,1.9,
48.60957,21.19068,306.5,0.39,0.36,2017-03-08,0034,N,VIIRS,n,1,270.9,1,
48.62155,21.19741,311.1,0.38,0.36,2017-03-29,0040,N,VIIRS,n,1,279,1.6,
48.61081,21.18714,296.4,0.38,0.59,2017-03-31,2343,N,VIIRS,n,1,279.5,1.4,
48.60547,21.18125,313.7,0.38,0.59,2017-03-31,2343,N,VIIRS,n,1,279.2,2.3,
48.61182,21.19579,311.6,0.52,0.41,2017-04-10,0015,N,VIIRS,n,1,280.6,1.9,
48.60861,21.17913,347.2,0.44,0.38,2017-06-24,1136,N,VIIRS,n,1,307.5,17.5,
48.61585,21.18934,301.3,0.52,0.41,2017-06-29,0015,N,VIIRS,n,1,285.3,1.5,
48.61476,21.18538,302.9,0.46,0.39,2017-07-02,0059,N,VIIRS,n,1,285.9,1.4,
48.61067,21.19023,299.6,0.46,0.39,2017-07-04,0021,N,VIIRS,n,1,286.5,1,
49.36266,19.67189,327.1,0.62,0.54,2017-07-08,1214,N,VIIRS,n,1,294,5.1,
48.60963,21.1822,301.7,0.42,0.38,2017-07-29,0053,N,VIIRS,n,1,287.8,2.4,
48.6057,21.17656,329.5,0.42,0.38,2017-08-14,0053,N,VIIRS,n,1,287,3.5,
48.64701,20.21939,309.3,0.39,0.59,2017-08-22,0143,N,VIIRS,n,1,281.5,1.1,
47.79305,18.10047,333.7,0.56,0.43,2017-03-08,1201,N,VIIRS,n,1,290.6,17.8,
48.4602,17.85218,320.6,0.33,0.55,2017-03-31,0002,N,VIIRS,n,1,277.2,1.2,
48.13746,17.93125,337,0.39,0.36,2017-03-31,1130,N,VIIRS,n,1,299.4,9.4,
48.1399,17.92493,344,0.39,0.36,2017-03-31,1130,N,VIIRS,n,1,296.9,5.5,
48.38703,17.6344,328.8,0.42,0.37,2017-03-17,0106,N,VIIRS,n,1,273.6,2.8,
48.10825,17.17318,341,0.41,0.61,2017-01-20,0156,N,VIIRS,n,1,261.9,2.9,
48.45654,17.19097,309.4,0.39,0.36,2017-03-28,0059,N,VIIRS,n,1,276.6,1.6,
48.45736,17.19434,297.3,0.46,0.64,2017-06-02,0202,N,VIIRS,n,1,284.3,1,
48.6458,20.22259,301.4,0.44,0.38,2017-03-12,0059,N,VIIRS,n,1,272.9,0.7,
48.45775,17.19397,295.7,0.39,0.36,2017-03-12,0059,N,VIIRS,n,1,265.8,0.6,
48.45802,17.19369,305.9,0.43,0.38,2017-03-13,0041,N,VIIRS,n,1,273.8,1.2,
48.45792,17.19025,296.4,0.41,0.37,2017-03-17,0106,N,VIIRS,n,1,275,1.5,
48.45681,17.19208,305.5,0.5,0.49,2017-03-25,0015,N,VIIRS,n,1,276.6,1.5,
48.45618,17.19416,303.4,0.43,0.38,2017-03-29,0040,N,VIIRS,n,1,281,1.2,
48.45637,17.18971,296.2,0.71,0.75,2017-03-29,0220,N,VIIRS,n,1,278.7,1.3,
48.45751,17.19246,304.3,0.35,0.57,2017-03-31,0002,N,VIIRS,n,1,280,0.7,
48.45536,17.1925,300.6,0.55,0.43,2017-04-04,0028,N,VIIRS,n,1,279.2,2.5,
48.45682,17.19393,308.7,0.55,0.43,2017-04-04,0028,N,VIIRS,n,1,280.8,2.2,
48.45955,17.19295,301.1,0.42,0.61,2017-05-28,2356,N,VIIRS,n,1,289,0.9,
48.23667,17.20284,331.4,0.52,0.42,2017-03-16,1111,N,VIIRS,n,1,289,7.6,
48.45856,17.1936,301.7,0.48,0.4,2017-03-24,0034,N,VIIRS,n,1,274.5,1.2,
48.4556,17.19251,302.6,0.34,0.56,2017-07-26,0149,N,VIIRS,n,1,281.2,2,
48.57421,21.80485,311.5,0.44,0.38,2017-03-30,0021,N,VIIRS,n,1,280.2,1.8,
48.60625,21.17418,321.9,0.63,0.54,2017-08-28,0131,N,VIIRS,n,1,281.9,3.5,
48.61282,21.1861,304.2,0.32,0.55,2017-03-04,2350,N,VIIRS,n,1,277.4,1.4,
48.61762,21.18305,323.5,0.52,0.42,2017-04-02,0105,N,VIIRS,n,1,278.9,5,
48.61464,21.18818,297.3,0.38,0.36,2017-06-01,0040,N,VIIRS,n,1,287,0.8,
48.61704,21.18992,304.8,0.4,0.44,2017-06-24,0009,N,VIIRS,n,1,286.5,1.4,
48.61686,21.18767,338.3,0.49,0.4,2017-07-31,1142,N,VIIRS,n,1,303.6,6.8,
48.58966,21.18402,326.2,0.46,0.47,2017-03-15,0003,N,VIIRS,n,1,272.3,3.4,
48.60886,21.1884,300.4,0.57,0.69,2017-03-25,0155,N,VIIRS,n,1,276.2,1.9,
48.6112,21.19338,311.1,0.39,0.36,2017-04-03,0046,N,VIIRS,n,1,284.4,2.1,
48.61256,21.19939,320.8,0.46,0.39,2017-03-28,0059,N,VIIRS,n,1,275.6,2.5,
48.60906,21.19778,326.9,0.46,0.39,2017-03-28,0059,N,VIIRS,n,1,275.6,4.3,
48.72448,21.28572,303.8,0.39,0.37,2017-06-06,0047,N,VIIRS,n,1,282.6,0.7,
48.60987,21.20033,299.1,0.42,0.38,2017-07-29,0053,N,VIIRS,n,1,286.7,1,
48.60734,21.17939,336.3,0.47,0.48,2017-02-23,0118,N,VIIRS,n,1,268.2,6.6,
48.60818,21.17653,298.7,0.32,0.55,2017-03-04,2350,N,VIIRS,n,1,275.7,1.8,
48.60816,21.17889,296.7,0.46,0.47,2017-08-22,0003,N,VIIRS,n,1,281.7,2.1,
48.60102,21.1782,310.1,0.47,0.48,2017-07-21,0002,N,VIIRS,n,1,287.7,1.4,
48.60025,21.17801,299.5,0.32,0.55,2017-08-27,2350,N,VIIRS,n,1,285.6,0.7,
48.61357,21.18393,306.6,0.42,0.38,2017-04-24,0053,N,VIIRS,n,1,274.4,1.9,
48.62029,21.18816,315.7,0.55,0.51,2017-07-31,2356,N,VIIRS,n,1,290.2,2.5,
48.45679,17.19313,297.1,0.56,0.43,2017-03-16,0124,N,VIIRS,n,1,268.5,1.2,
48.10831,17.19384,306.7,0.63,0.72,2017-06-12,0214,N,VIIRS,n,1,283.1,2.2,
47.83227,18.03304,332.7,0.4,0.37,2017-06-29,1142,N,VIIRS,n,1,299,5.1,
48.12031,17.18309,297.1,0.42,0.61,2017-06-29,2356,N,VIIRS,n,1,286.2,1,
48.45615,17.19242,298.9,0.44,0.38,2017-04-23,0112,N,VIIRS,n,1,275.5,1.1,
48.45727,17.19221,299.3,0.58,0.7,2017-06-03,2344,N,VIIRS,n,1,287.8,1,
48.40705,18.12649,367,0.44,0.46,2017-07-03,1207,N,VIIRS,h,1,327.8,78.5,
48.45739,17.19377,306.3,0.49,0.4,2017-07-17,0118,N,VIIRS,n,1,285.3,0.9,
48.45961,17.19333,299.8,0.4,0.6,2017-08-16,0156,N,VIIRS,n,1,289.6,0.6,
48.45696,17.18849,299.3,0.42,0.61,2017-08-16,2357,N,VIIRS,n,1,286.1,1,
48.17624,17.93947,317,0.38,0.59,2017-06-13,2356,N,VIIRS,n,1,285,2.1,
48.10745,17.19276,301.2,0.41,0.37,2017-08-24,0106,N,VIIRS,n,1,283,0.5,
48.45681,17.8518,303.3,0.62,0.54,2017-03-31,0143,N,VIIRS,n,1,275.1,2,
48.45691,17.19128,297.3,0.59,0.53,2017-03-31,0143,N,VIIRS,n,1,277.7,0.8,
48.45717,17.19066,296.9,0.5,0.49,2017-05-12,0015,N,VIIRS,n,1,285.3,1.2,
48.45654,17.19221,297.4,0.49,0.41,2017-05-30,0118,N,VIIRS,n,1,284.1,0.5,
48.45608,17.19176,295.8,0.49,0.4,2017-06-15,0118,N,VIIRS,n,1,282.8,0.8,
48.34283,18.23386,331.9,0.39,0.36,2017-06-24,1136,N,VIIRS,n,1,303.5,1.1,
48.45862,17.18995,303.5,0.5,0.49,2017-08-17,0137,N,VIIRS,n,1,287.8,1.3,
48.45834,17.19141,303.1,0.48,0.4,2017-05-11,0034,N,VIIRS,n,1,282.1,1.1,
48.45833,17.19168,306.9,0.4,0.37,2017-07-07,0106,N,VIIRS,n,1,290.9,0.9,
48.45815,17.19358,299,0.5,0.49,2017-07-16,0137,N,VIIRS,n,1,283,0.7,
49.26717,18.508,329.4,0.39,0.36,2017-05-13,1124,N,VIIRS,n,1,291.5,2.5,
49.27079,18.35238,351.2,0.41,0.61,2017-06-01,1027,N,VIIRS,n,1,289.8,5.6,
48.4587,17.19128,296.1,0.49,0.41,2017-05-14,0118,N,VIIRS,n,1,282.1,0.6,
48.18948,17.1585,301.7,0.5,0.49,2017-05-28,0015,N,VIIRS,n,1,284,0.6,
48.45663,17.19075,299,0.51,0.49,2017-06-13,0015,N,VIIRS,n,1,286,1.1,
48.112,17.18573,307.1,0.69,0.74,2017-06-14,2337,N,VIIRS,n,1,284.2,2.6,
48.45656,17.19352,310,0.48,0.4,2017-06-28,0034,N,VIIRS,n,1,292.4,1.5,
48.45774,17.18956,295.3,0.44,0.38,2017-08-13,0112,N,VIIRS,n,1,279.1,1,
48.45678,17.18866,298.5,0.39,0.36,2017-08-14,0053,N,VIIRS,n,1,285.6,0.6,
