latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
48.64706,20.22023,299.2,0.4,0.5,2017-09-28,0006,N,VIIRS,n,1.0NRT,274.8,0.9,N
48.60399,21.1827,296.7,0.41,0.37,2017-10-29,0024,N,VIIRS,n,1.0NRT,266,1.2,N
48.60718,21.17707,309.7,0.44,0.63,2017-11-05,2336,N,VIIRS,n,1.0NRT,272.4,1.8,N
48.61717,21.184,297.1,0.54,0.51,2017-11-20,2354,N,VIIRS,n,1.0NRT,269.5,2.4,N
48.6186,21.18654,302.5,0.39,0.44,2017-10-30,0006,N,VIIRS,n,1.0NRT,274.9,1.8,N
48.60397,21.18201,308.7,0.5,0.4,2017-10-06,0100,N,VIIRS,n,1.0NRT,281.7,1.5,N
48.64579,20.21803,305.3,0.4,0.37,2017-10-18,0030,N,VIIRS,n,1.0NRT,279.9,1.3,N
48.60734,21.17679,329.2,0.39,0.36,2017-12-18,1118,N,VIIRS,n,1.0NRT,265.9,4.3,D
48.60543,21.17542,303.5,0.4,0.4,2017-09-11,0024,N,VIIRS,n,1.0NRT,285.4,2.5,N
48.60308,21.18197,302.7,0.4,0.5,2017-09-14,0112,N,VIIRS,n,1.0NRT,283.6,1.8,N
48.60577,21.18209,322,0.5,0.4,2017-10-08,0018,N,VIIRS,n,1.0NRT,278.6,1.3,N
48.60673,21.17974,334.2,0.39,0.36,2017-10-20,1124,N,VIIRS,n,1.0NRT,297.7,4.4,D
48.60499,21.18197,308.9,0.41,0.37,2017-10-29,0024,N,VIIRS,n,1.0NRT,267.1,1.4,N
48.60473,21.18089,314.8,0.41,0.45,2017-11-01,0112,N,VIIRS,n,1.0NRT,268.5,1.8,N
48.61704,21.18951,314.9,0.64,0.54,2017-11-15,2348,N,VIIRS,n,1.0NRT,272.3,3.1,N
48.6026,21.18064,302.6,0.32,0.54,2017-12-17,2348,N,VIIRS,n,1.0NRT,268.9,0.9,N
49.24605,19.34256,309.7,0.48,0.48,2017-11-15,0006,N,VIIRS,n,1.0NRT,268.2,2.2,N
48.61241,21.19356,309.2,0.5,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,288.4,2.2,N
48.64898,20.21903,298.6,0.4,0.6,2017-09-07,2342,N,VIIRS,n,1.0NRT,278.6,0.6,N
48.61689,21.18029,300.4,0.6,0.7,2017-09-08,2324,N,VIIRS,n,1.0NRT,280.7,1.9,N
48.61061,21.19888,296.3,0.5,0.4,2017-09-22,0018,N,VIIRS,n,1.0NRT,281,0.7,N
48.60748,21.18295,327.9,0.5,0.4,2017-09-25,0106,N,VIIRS,n,1.0NRT,282.8,2.3,N
48.61585,21.18926,300.7,0.4,0.4,2017-09-26,0042,N,VIIRS,n,1.0NRT,282.2,0.9,N
48.61012,21.19378,299.8,0.6,0.6,2017-09-29,0130,N,VIIRS,n,1.0NRT,281.8,2.2,N
48.61872,21.18761,303.7,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,276.8,1.6,N
48.59848,21.17896,298.9,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,277,0.7,N
48.59294,20.84082,297.8,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,277.5,0.7,N
48.59716,21.17766,313.5,0.4,0.4,2017-10-02,0030,N,VIIRS,n,1.0NRT,276.6,1.4,N
48.83648,18.84255,332.4,0.4,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,291.7,3.8,D
48.61992,21.19322,307.9,0.42,0.38,2017-10-17,0054,N,VIIRS,n,1.0NRT,281.9,1.3,N
48.60848,21.18183,326,0.48,0.48,2017-10-17,1036,N,VIIRS,n,1.0NRT,294.4,4.3,D
48.61293,21.19291,296.4,0.39,0.36,2017-10-18,0030,N,VIIRS,n,1.0NRT,284.6,0.6,N
48.4579,17.19467,300.1,0.48,0.4,2017-10-18,0030,N,VIIRS,n,1.0NRT,283.3,0.9,N
48.58669,21.18755,304.5,0.51,0.41,2017-10-19,0012,N,VIIRS,n,1.0NRT,279,1.2,N
48.60159,21.18095,317.9,0.41,0.37,2017-10-29,0024,N,VIIRS,n,1.0NRT,267.1,1.4,N
48.6039,21.17914,335.8,0.32,0.54,2017-10-30,2348,N,VIIRS,n,1.0NRT,273.4,2.5,N
48.60174,21.17708,307.9,0.42,0.38,2017-11-02,0054,N,VIIRS,n,1.0NRT,272.3,1.2,N
48.45633,17.19395,298.7,0.5,0.49,2017-11-04,0012,N,VIIRS,n,1.0NRT,277,0.9,N
48.60562,21.18139,307.4,0.47,0.4,2017-11-07,0100,N,VIIRS,n,1.0NRT,279.4,2.2,N
48.60578,21.17717,367,0.32,0.55,2017-11-16,0130,N,VIIRS,n,1.0NRT,275.5,2.3,N
48.60553,21.18095,334.3,0.39,0.36,2017-11-16,1118,N,VIIRS,n,1.0NRT,285.5,4.3,D
48.61193,21.2007,298,0.32,0.55,2017-12-02,0130,N,VIIRS,n,1.0NRT,272.9,0.5,N
48.61705,21.18402,304.5,0.3,0.6,2017-10-14,2348,N,VIIRS,n,1.0NRT,275.7,1.1,N
48.60461,21.18125,305.1,0.32,0.55,2017-11-16,0130,N,VIIRS,n,1.0NRT,272.4,2.3,N
48.60706,21.17886,333.5,0.4,0.4,2017-09-13,1118,N,VIIRS,n,1.0NRT,298.7,6.1,D
48.60576,21.18295,301,0.4,0.5,2017-10-16,0112,N,VIIRS,n,1.0NRT,281.7,1.6,N
48.61049,21.20056,310.1,0.5,0.66,2017-10-30,0148,N,VIIRS,n,1.0NRT,273.5,3.4,N
48.62074,21.18837,298.7,0.5,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.8,1.9,N
48.61852,21.18697,307.2,0.4,0.4,2017-10-02,0030,N,VIIRS,n,1.0NRT,277.4,0.9,N
48.60247,21.18216,297.6,0.47,0.4,2017-11-23,0100,N,VIIRS,n,1.0NRT,274.3,1.4,N
48.60987,21.18964,299.4,0.6,0.7,2017-09-01,0154,N,VIIRS,n,1.0NRT,286,3.7,N
48.60569,21.18039,340,0.5,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,285,4.4,N
48.61147,21.19376,299.8,0.4,0.6,2017-09-18,0136,N,VIIRS,n,1.0NRT,281.3,1,N
48.60386,21.17998,314.5,0.5,0.5,2017-09-01,2354,N,VIIRS,n,1.0NRT,287.6,3,N
48.61483,21.18225,301.6,0.4,0.6,2017-09-07,2342,N,VIIRS,n,1.0NRT,279.9,1.8,N
48.61759,21.19072,302.2,0.4,0.4,2017-09-11,0024,N,VIIRS,n,1.0NRT,286.4,0.8,N
48.61076,21.19259,311.3,0.5,0.4,2017-09-22,0018,N,VIIRS,n,1.0NRT,281.5,1.4,N
48.64668,20.21901,308.3,0.4,0.4,2017-09-26,0042,N,VIIRS,n,1.0NRT,280.3,0.8,N
48.60623,21.17391,302,0.5,0.5,2017-10-10,0124,N,VIIRS,n,1.0NRT,272.1,2.4,N
48.61504,21.18031,312.6,0.39,0.44,2017-10-30,0006,N,VIIRS,n,1.0NRT,273,1.8,N
48.1825,17.78097,309.9,0.4,0.4,2017-09-15,0054,N,VIIRS,n,1.0NRT,276.8,1.1,N
48.457,17.18974,298,0.6,0.4,2017-09-08,0124,N,VIIRS,n,1.0NRT,281.6,0.9,N
48.45642,17.19184,304,0.4,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,286.1,1.1,N
48.45871,17.19222,296.3,0.62,0.72,2017-10-18,0212,N,VIIRS,n,1.0NRT,282.8,0.6,N
48.45739,17.19379,304.5,0.35,0.57,2017-12-01,0148,N,VIIRS,n,1.0NRT,272.1,1.3,N
47.98834,17.64849,345.7,0.41,0.37,2017-12-07,1124,N,VIIRS,n,1.0NRT,279.9,5.6,D
48.61175,21.19878,299.9,0.4,0.4,2017-09-05,0036,N,VIIRS,n,1.0NRT,283.9,0.7,N
48.59214,20.84372,296.6,0.5,0.4,2017-10-06,0100,N,VIIRS,n,1.0NRT,282.6,0.6,N
48.64706,20.22095,307,0.4,0.4,2017-10-07,0036,N,VIIRS,n,1.0NRT,276.7,1.1,N
48.61731,21.18752,304.8,0.4,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,284.1,1.8,N
48.61089,21.18608,304.8,0.4,0.5,2017-09-14,0112,N,VIIRS,n,1.0NRT,285.5,1,N
48.60846,21.18167,323,0.37,0.58,2017-10-20,0136,N,VIIRS,n,1.0NRT,283.9,1.7,N
48.60874,21.18074,330.7,0.4,0.37,2017-10-26,1112,N,VIIRS,n,1.0NRT,284.7,4,D
48.61612,21.18381,311.1,0.42,0.38,2017-11-02,0054,N,VIIRS,n,1.0NRT,273.5,1.8,N
48.60858,21.18071,327.5,0.5,0.5,2017-09-01,2354,N,VIIRS,n,1.0NRT,289.1,2.9,N
48.61156,21.19093,307.3,0.5,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,285.7,1.2,N
48.60774,21.18264,322.4,0.6,0.6,2017-09-29,0130,N,VIIRS,n,1.0NRT,282.1,3.6,N
48.60648,21.17595,301.6,0.5,0.4,2017-10-08,0018,N,VIIRS,n,1.0NRT,276.5,2,N
48.61185,21.192,300.1,0.5,0.4,2017-10-11,0106,N,VIIRS,n,1.0NRT,279.9,2.6,N
48.60606,21.18114,332.5,0.4,0.4,2017-10-13,0024,N,VIIRS,n,1.0NRT,284.2,3.3,N
48.60732,21.17856,334.2,0.4,0.5,2017-10-14,0006,N,VIIRS,n,1.0NRT,277.2,4.1,N
48.60635,21.1907,296.8,0.39,0.36,2017-10-18,0030,N,VIIRS,n,1.0NRT,284.4,1.1,N
48.60495,21.17771,315.5,0.43,0.62,2017-10-25,0142,N,VIIRS,n,1.0NRT,275.5,3.5,N
48.60754,21.17792,327.2,0.38,0.36,2017-11-08,0036,N,VIIRS,n,1.0NRT,277.9,2.4,N
48.646,20.21875,296.6,0.5,0.49,2017-10-26,0124,N,VIIRS,n,1.0NRT,271.3,0.8,N
