latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
46.06746,13.62672,300.4,0.39,0.37,2017-02-18,0113,N,VIIRS,n,1,275.9,0.9,
46.06908,13.62784,298,0.59,0.53,2017-02-26,0023,N,VIIRS,n,1,275.4,1.2,
46.06723,13.62998,300.5,0.42,0.38,2017-03-07,0054,N,VIIRS,n,1,278.2,0.5,
46.06922,13.62506,296,0.42,0.38,2017-03-11,0119,N,VIIRS,n,1,276.6,0.6,
46.06607,13.63064,298.5,0.59,0.53,2017-03-14,0022,N,VIIRS,n,1,274.7,1.2,
46.0678,13.62847,301,0.42,0.45,2017-03-24,0035,N,VIIRS,n,1,277.2,0.7,
46.0677,13.62753,301.3,0.42,0.45,2017-03-24,0035,N,VIIRS,n,1,276.8,0.8,
46.06927,13.62686,297.8,0.54,0.42,2017-03-29,0041,N,VIIRS,n,1,279.2,0.8,
46.06702,13.62576,302.1,0.6,0.7,2017-05-28,2357,N,VIIRS,n,1,285.6,1.1,
46.06799,13.62912,298.2,0.71,0.75,2017-06-08,2351,N,VIIRS,n,1,282.8,0.9,
46.07013,13.63105,299.6,0.42,0.45,2017-06-12,0035,N,VIIRS,n,1,287.8,0.8,
46.0667,13.627,299.6,0.41,0.45,2017-06-14,0138,N,VIIRS,n,1,286.9,0.5,
46.06792,13.62547,299.5,0.59,0.53,2017-06-18,0022,N,VIIRS,n,1,287.3,1.5,
46.07078,13.62583,304.1,0.54,0.42,2017-08-04,0041,N,VIIRS,n,1,292.1,0.6,
46.06891,13.62758,306,0.47,0.4,2017-08-09,0048,N,VIIRS,n,1,290.6,1.3,
46.07117,13.62523,295.5,0.39,0.59,2017-08-21,0203,N,VIIRS,n,1,284.5,0.5,
46.06877,13.62942,312.2,0.42,0.38,2017-08-30,0054,N,VIIRS,n,1,289.9,0.7,
46.06678,13.62703,303.3,0.41,0.45,2017-07-16,0138,N,VIIRS,n,1,285.2,0.7,
46.06663,13.62745,298.5,0.6,0.53,2017-07-20,0022,N,VIIRS,n,1,287.5,1,
46.06691,13.62764,306.9,0.42,0.61,2017-02-16,0010,N,VIIRS,n,1,277.1,0.9,
46.06756,13.62758,297.4,0.47,0.4,2017-03-16,0125,N,VIIRS,n,1,274.6,0.7,
46.13558,14.47261,325.1,0.49,0.4,2017-03-31,1129,N,VIIRS,n,1,290.9,2,
46.38655,15.12412,329.5,0.46,0.39,2017-03-31,1129,N,VIIRS,n,1,293.1,2.6,
46.06648,13.63112,296.3,0.5,0.49,2017-04-04,0029,N,VIIRS,n,1,278.6,1.1,
46.06829,13.62703,298.8,0.42,0.38,2017-04-08,0054,N,VIIRS,n,1,279.3,0.8,
46.06713,13.62697,296.3,0.59,0.53,2017-05-01,0022,N,VIIRS,n,1,279.8,0.9,
46.06704,13.62491,296.9,0.62,0.71,2017-05-16,0221,N,VIIRS,n,1,282,0.4,
46.4203,14.1003,298.3,0.38,0.36,2017-05-20,0106,N,VIIRS,n,1,283.4,0.4,
46.06876,13.62777,301.8,0.46,0.63,2017-05-22,0209,N,VIIRS,n,1,282,0.6,
46.06671,13.62945,298.9,0.39,0.36,2017-05-25,0113,N,VIIRS,n,1,285.5,1.2,
46.07115,13.62739,297.4,0.39,0.59,2017-06-02,0203,N,VIIRS,n,1,284.5,0.4,
46.07043,13.62568,295.1,0.39,0.59,2017-06-02,0203,N,VIIRS,n,1,284,0.6,
46.06945,13.62805,300.2,0.47,0.39,2017-06-04,0125,N,VIIRS,n,1,286.3,0.8,
46.06886,13.62752,299.7,0.53,0.42,2017-06-09,0131,N,VIIRS,n,1,284.6,0.8,
46.07018,13.6259,302.3,0.42,0.38,2017-06-11,0054,N,VIIRS,n,1,287.7,1,
46.07056,13.62943,299.8,0.42,0.45,2017-06-12,0035,N,VIIRS,n,1,288.1,0.7,
46.07054,13.62789,302.6,0.33,0.55,2017-06-13,0156,N,VIIRS,n,1,287.2,0.5,
46.42137,14.09473,299.9,0.57,0.52,2017-07-20,0022,N,VIIRS,n,1,286.7,0.7,
46.24442,14.37622,332.1,0.49,0.4,2017-07-21,1129,N,VIIRS,l,1,303.4,3.5,
46.06752,13.62799,306.7,0.42,0.61,2017-07-26,0010,N,VIIRS,n,1,283.5,1.3,
46.06869,13.62859,304.7,0.41,0.45,2017-08-01,0138,N,VIIRS,n,1,293.1,0.9,
46.06765,13.62588,295.5,0.39,0.36,2017-08-03,0100,N,VIIRS,n,1,271,0.5,
45.95355,13.65442,342.1,0.4,0.37,2017-08-15,1201,N,VIIRS,n,1,306.6,2.5,
46.41912,14.10024,300.5,0.48,0.48,2017-08-26,0029,N,VIIRS,n,1,286.6,0.4,
46.4193,14.09945,295.4,0.58,0.52,2017-08-27,0151,N,VIIRS,n,1,280,3,
45.67383,13.95212,304.9,0.52,0.42,2017-08-04,0041,N,VIIRS,n,1,290.2,2.7,
46.06798,13.62454,295,0.4,0.37,2017-01-01,0113,N,VIIRS,n,1,271.7,0.5,
46.0669,13.62687,298.7,0.38,0.36,2017-03-17,0106,N,VIIRS,n,1,276.2,1,
46.0688,13.6263,305.3,0.39,0.36,2017-03-28,0100,N,VIIRS,n,1,278.5,0.7,
46.0679,13.62777,304.7,0.47,0.4,2017-04-03,0047,N,VIIRS,n,1,281.9,1,
46.06987,13.62864,296.5,0.45,0.63,2017-04-04,0209,N,VIIRS,n,1,280.5,0.3,
46.06731,13.62765,306.2,0.35,0.57,2017-04-10,0016,N,VIIRS,n,1,281.9,0.8,
46.06709,13.62733,301.5,0.56,0.52,2017-06-24,0150,N,VIIRS,n,1,290.8,0.6,
46.06931,13.63092,304.4,0.47,0.4,2017-07-08,0048,N,VIIRS,n,1,289.7,1.1,
46.07129,13.63016,300.8,0.36,0.57,2017-07-15,0016,N,VIIRS,n,1,287.1,0.5,
46.06788,13.62465,299.8,0.39,0.37,2017-07-18,0100,N,VIIRS,n,1,286.6,0.5,
46.06821,13.62793,299,0.38,0.36,2017-07-23,0106,N,VIIRS,n,1,284.8,0.4,
46.0672,13.62519,302.3,0.47,0.39,2017-08-07,0125,N,VIIRS,n,1,290.5,0.9,
46.0682,13.62589,309.8,0.39,0.36,2017-08-13,0113,N,VIIRS,n,1,286.9,1.1,
46.06855,13.62581,305.6,0.42,0.38,2017-08-18,0119,N,VIIRS,n,1,290.3,1.4,
46.06775,13.63026,306.2,0.59,0.53,2017-08-21,0023,N,VIIRS,n,1,286.6,1.1,
46.06963,13.62949,296.8,0.39,0.59,2017-08-21,0203,N,VIIRS,n,1,284.7,0.5,
45.67041,14.31428,327,0.79,0.78,2017-02-27,1310,N,VIIRS,n,1,281.4,5.4,
45.64051,14.276,347.7,0.45,0.47,2017-03-28,1226,N,VIIRS,n,1,298,15.5,
46.42059,14.10094,295.8,0.41,0.45,2017-07-30,0035,N,VIIRS,n,1,283.2,0.2,
46.4212,14.09396,300.8,0.34,0.56,2017-08-16,0157,N,VIIRS,n,1,284.4,0.4,
46.41982,14.09793,299.7,0.48,0.4,2017-02-28,0125,N,VIIRS,n,1,271.8,1.1,
46.06883,13.62694,303,0.49,0.49,2017-03-03,0029,N,VIIRS,n,1,277.7,0.9,
46.06844,13.62575,295,0.38,0.36,2017-04-02,0106,N,VIIRS,n,1,268.9,0.3,
46.06729,13.63046,298.7,0.42,0.45,2017-04-09,0035,N,VIIRS,n,1,280.8,0.8,
46.06692,13.62623,301.5,0.39,0.59,2017-05-17,0203,N,VIIRS,n,1,282.3,1.1,
46.06762,13.62555,302.7,0.42,0.38,2017-05-26,0054,N,VIIRS,n,1,282.6,0.8,
46.06681,13.62562,296.7,0.62,0.71,2017-06-01,0221,N,VIIRS,n,1,283.6,1,
46.06966,13.6254,301.2,0.48,0.48,2017-06-03,0144,N,VIIRS,n,1,285.9,0.6,
46.06955,13.62923,298.8,0.42,0.61,2017-06-08,0010,N,VIIRS,n,1,283.8,1.1,
46.06944,13.62587,299.7,0.39,0.59,2017-06-18,0203,N,VIIRS,n,1,285.8,0.5,
46.06932,13.62501,300.1,0.5,0.66,2017-06-19,0003,N,VIIRS,n,1,285.6,1.1,
46.06879,13.62609,309.8,0.39,0.36,2017-06-26,0113,N,VIIRS,n,1,289,0.8,
46.06882,13.62579,300.2,0.53,0.42,2017-07-11,0131,N,VIIRS,n,1,287.6,1.1,
46.06627,13.62888,304.6,0.39,0.36,2017-07-12,0113,N,VIIRS,n,1,287.9,0.8,
46.06717,13.62969,298.2,0.39,0.37,2017-07-18,0100,N,VIIRS,n,1,287.3,0.5,
46.07027,13.62699,301,0.54,0.42,2017-07-19,0041,N,VIIRS,n,1,287.8,0.9,
46.2407,14.37363,330.3,0.39,0.36,2017-07-25,1154,N,VIIRS,n,1,300.1,2.2,
46.0688,13.62513,309,0.42,0.38,2017-08-02,0119,N,VIIRS,n,1,291.5,0.6,
46.06951,13.62871,301.9,0.59,0.53,2017-08-21,0023,N,VIIRS,n,1,286,1.4,
46.06811,13.62646,301.4,0.47,0.39,2017-08-23,0126,N,VIIRS,n,1,285.9,0.8,
45.74073,14.25688,331.8,0.45,0.47,2017-02-17,1117,N,VIIRS,n,1,278.4,4.2,
45.64137,14.28726,367,0.46,0.47,2017-03-28,1226,N,VIIRS,h,1,302,11.4,
45.67758,14.11495,332.3,0.45,0.39,2017-07-10,1135,N,VIIRS,n,1,298.5,2.5,
45.8317,13.74964,350,0.52,0.42,2017-08-06,1129,N,VIIRS,n,1,306.2,14.5,
45.83073,13.76411,347.5,0.52,0.42,2017-08-06,1129,N,VIIRS,n,1,306.6,33.4,
45.82934,13.7576,353.8,0.52,0.42,2017-08-06,1129,N,VIIRS,n,1,316.6,33.4,
45.83675,13.75815,340.2,0.73,0.76,2017-08-06,1310,N,VIIRS,n,1,291,17.2,
46.35471,14.11695,328.3,0.44,0.38,2017-02-16,1136,N,VIIRS,n,1,283.4,2.9,
45.74483,14.25488,350.6,0.45,0.47,2017-02-17,1117,N,VIIRS,n,1,278.8,10.3,
45.55276,14.26307,332.9,0.38,0.59,2017-03-27,1244,N,VIIRS,n,1,291.2,2.6,
45.6366,14.28225,341.2,0.45,0.47,2017-03-28,1226,N,VIIRS,n,1,302.1,15.5,
45.64094,14.28166,350.6,0.45,0.47,2017-03-28,1226,N,VIIRS,n,1,301.3,15.5,
45.82744,15.13708,326.1,0.51,0.66,2017-04-01,1251,N,VIIRS,n,1,294.1,3.4,
45.79071,15.10423,319.5,0.43,0.62,2017-07-21,0003,N,VIIRS,n,1,269.9,2.6,
45.79526,15.10794,313.6,0.56,0.52,2017-07-21,0144,N,VIIRS,n,1,287.5,2,
45.5833,14.00272,326.2,0.38,0.59,2017-07-28,1058,N,VIIRS,n,1,295.4,2.4,
45.6762,13.95345,301.3,0.52,0.42,2017-08-04,0042,N,VIIRS,n,1,290.3,0.6,
45.6766,14.31016,337.2,0.39,0.36,2017-02-15,1155,N,VIIRS,n,1,291.7,6.9,
45.74525,14.26139,328.1,0.44,0.38,2017-02-16,1136,N,VIIRS,n,1,286.6,4.9,
46.61667,15.83791,335.3,0.4,0.37,2017-04-21,1136,N,VIIRS,n,1,297.8,3.8,
46.42313,14.09731,295.3,0.34,0.56,2017-05-28,0156,N,VIIRS,n,1,283.3,0.6,
46.422,14.09312,296.4,0.4,0.37,2017-06-10,0113,N,VIIRS,n,1,282.9,0.4,
46.4232,14.08975,298.2,0.52,0.42,2017-06-17,0041,N,VIIRS,n,1,280.7,0.9,
46.42179,14.1005,296.2,0.34,0.56,2017-07-15,0016,N,VIIRS,n,1,283.7,0.4,
46.42317,14.09722,298.6,0.57,0.52,2017-07-20,0022,N,VIIRS,n,1,287,0.8,
45.79054,15.10989,320.8,0.43,0.62,2017-07-21,0003,N,VIIRS,n,1,269.2,1.6,
45.79076,15.10548,340.6,0.56,0.52,2017-07-21,0144,N,VIIRS,n,1,290.3,23.8,
46.42036,14.09821,299.4,0.38,0.36,2017-07-23,0106,N,VIIRS,n,1,285.9,0.3,
45.67096,13.96605,328.6,0.52,0.41,2017-08-04,0042,N,VIIRS,n,1,292.1,2.4,
46.42208,14.09666,299.7,0.46,0.39,2017-08-09,0048,N,VIIRS,n,1,288.6,0.7,
46.4217,14.10096,306,0.4,0.37,2017-08-29,0113,N,VIIRS,n,1,285.4,1,
46.42014,14.10095,305.5,0.4,0.44,2017-08-31,0035,N,VIIRS,n,1,287.2,0.7,
46.06851,13.62927,305.4,0.39,0.36,2017-03-12,0100,N,VIIRS,n,1,277.7,0.8,
46.07381,14.30588,335.7,0.51,0.41,2017-04-03,1213,N,VIIRS,n,1,294.2,3.1,
46.07309,14.30473,329.9,0.51,0.41,2017-04-03,1213,N,VIIRS,n,1,294.2,5.3,
46.06853,13.6295,311.2,0.38,0.36,2017-05-20,0106,N,VIIRS,n,1,286.3,0.7,
46.06894,13.62929,303.2,0.5,0.49,2017-05-22,0029,N,VIIRS,n,1,283.3,1.2,
46.06953,13.63065,304.3,0.59,0.53,2017-06-02,0022,N,VIIRS,n,1,284.5,1.4,
46.06781,13.62999,298,0.5,0.66,2017-07-21,0003,N,VIIRS,n,1,285.4,1.3,
46.06767,13.62923,307,0.39,0.36,2017-08-29,0113,N,VIIRS,n,1,289.4,0.9,
46.06867,13.62831,306.7,0.42,0.61,2017-02-16,0010,N,VIIRS,n,1,277,1.2,
46.06934,13.62722,303.5,0.42,0.45,2017-03-08,0035,N,VIIRS,n,1,274.4,0.7,
46.06808,13.62919,295.4,0.59,0.53,2017-03-14,0022,N,VIIRS,n,1,275,1,
46.06825,13.62618,297.3,0.41,0.45,2017-03-26,0138,N,VIIRS,n,1,282.5,0.7,
46.06819,13.6255,295.3,0.59,0.53,2017-03-30,0022,N,VIIRS,n,1,279.3,1.2,
46.06885,13.62882,307.9,0.35,0.57,2017-04-10,0016,N,VIIRS,n,1,281.9,0.8,
46.06934,13.62851,303.6,0.42,0.45,2017-05-27,0035,N,VIIRS,n,1,285.2,0.8,
46.06851,13.62616,301.2,0.41,0.45,2017-05-29,0138,N,VIIRS,n,1,287.1,0.7,
46.06843,13.62581,302.3,0.42,0.38,2017-05-30,0119,N,VIIRS,n,1,283.7,0.8,
46.06975,13.62719,304.1,0.35,0.57,2017-06-13,0016,N,VIIRS,n,1,287.4,0.8,
