latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
46.07079,13.63136,296.8,0.6,0.5,2017-09-06,0018,N,VIIRS,n,1.0NRT,283.6,1.3,N
46.06645,13.62623,298.3,0.7,0.8,2017-09-12,2348,N,VIIRS,n,1.0NRT,280.6,1,N
46.06848,13.62692,303,0.34,0.56,2017-11-04,0154,N,VIIRS,n,1.0NRT,280.2,0.6,N
46.06895,13.62578,299.7,0.49,0.65,2017-11-10,0000,N,VIIRS,n,1.0NRT,279,1.6,N
46.42183,14.10024,301.1,0.35,0.56,2017-11-20,0154,N,VIIRS,n,1.0NRT,273.4,0.5,N
46.06807,13.62644,299.3,0.42,0.38,2017-12-04,0054,N,VIIRS,n,1.0NRT,271.6,0.9,N
46.06775,13.62876,302.4,0.5,0.4,2017-09-26,0048,N,VIIRS,n,1.0NRT,284,0.9,N
46.06875,13.62818,295.9,0.34,0.56,2017-12-22,0154,N,VIIRS,n,1.0NRT,273.2,0.5,N
46.07058,13.62759,300.6,0.5,0.7,2017-10-09,0000,N,VIIRS,n,1.0NRT,277.5,0.8,N
46.06899,13.62679,300.4,0.49,0.65,2017-11-10,0000,N,VIIRS,n,1.0NRT,278.7,1.1,N
46.42055,14.09237,303.6,0.43,0.46,2017-12-07,0136,N,VIIRS,n,1.0NRT,270.2,1,N
46.06775,13.63009,298.7,0.47,0.39,2017-12-31,0048,N,VIIRS,n,1.0NRT,271.9,0.9,N
46.06742,13.62821,299.8,0.6,0.5,2017-09-06,0018,N,VIIRS,n,1.0NRT,281.8,2.2,N
46.07001,13.62818,297.9,0.7,0.8,2017-09-12,2348,N,VIIRS,n,1.0NRT,280.5,1.3,N
46.06723,13.62904,305.1,0.5,0.4,2017-09-26,0048,N,VIIRS,n,1.0NRT,284.1,1.1,N
46.06914,13.62756,295.3,0.5,0.7,2017-09-27,0206,N,VIIRS,n,1.0NRT,277.6,1.6,N
46.06856,13.62709,309.1,0.4,0.6,2017-09-28,0006,N,VIIRS,n,1.0NRT,285.8,1.2,N
46.07065,13.62675,298,0.4,0.5,2017-10-02,0036,N,VIIRS,n,1.0NRT,281.8,0.6,N
46.07001,13.62757,296.6,0.5,0.4,2017-10-07,0042,N,VIIRS,n,1.0NRT,279.7,1,N
45.49507,13.67764,329.5,0.6,0.5,2017-10-10,1106,N,VIIRS,n,1.0NRT,287.9,3.1,D
46.07028,13.62755,299.7,0.41,0.61,2017-11-15,0006,N,VIIRS,n,1.0NRT,278.1,1,N
46.0693,13.62785,297.2,0.35,0.56,2017-12-06,0012,N,VIIRS,n,1.0NRT,271.9,0.6,N
46.06862,13.63011,297.2,0.53,0.42,2017-12-10,0042,N,VIIRS,n,1.0NRT,268,0.6,N
46.41951,14.10122,296.2,0.4,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,281.8,0.5,N
46.42263,14.0954,314.8,0.5,0.4,2017-09-21,0042,N,VIIRS,n,1.0NRT,278.5,1.5,N
46.41956,14.09527,297.3,0.3,0.6,2017-09-01,0012,N,VIIRS,n,1.0NRT,282.5,0.4,N
46.06765,13.62815,303.6,0.4,0.4,2017-09-04,0100,N,VIIRS,n,1.0NRT,283.7,0.8,N
46.42228,14.09501,296.8,0.5,0.4,2017-09-13,0130,N,VIIRS,n,1.0NRT,278.7,0.8,N
46.42069,14.09453,311.9,0.5,0.4,2017-09-21,0042,N,VIIRS,n,1.0NRT,278.9,1.9,N
46.06746,13.62917,299.8,0.5,0.4,2017-09-21,0042,N,VIIRS,n,1.0NRT,281,0.7,N
46.06865,13.62449,297.2,0.5,0.4,2017-09-29,0130,N,VIIRS,n,1.0NRT,281.4,0.7,N
46.06913,13.62775,306.4,0.4,0.4,2017-09-30,0112,N,VIIRS,n,1.0NRT,283.5,0.8,N
46.1729,14.62339,297.7,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,278.3,0.7,N
46.16955,14.62242,317,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,277.7,2,N
46.06859,13.62766,307.9,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,282.5,0.9,N
46.06649,13.62587,296.1,0.4,0.5,2017-10-02,0036,N,VIIRS,n,1.0NRT,281.1,0.6,N
46.06705,13.62866,296.5,0.6,0.5,2017-10-14,0148,N,VIIRS,n,1.0NRT,284.1,1.4,N
46.41924,14.09974,299.3,0.33,0.55,2017-10-19,0012,N,VIIRS,n,1.0NRT,279.4,0.6,N
46.42048,14.09505,299.1,0.4,0.37,2017-11-01,0112,N,VIIRS,n,1.0NRT,275.5,0.6,N
46.06965,13.63026,300.7,0.53,0.42,2017-11-08,0042,N,VIIRS,n,1.0NRT,279.5,1.1,N
46.06845,13.62891,305.4,0.35,0.56,2017-11-20,0012,N,VIIRS,n,1.0NRT,275,0.7,N
46.06926,13.62743,303,0.35,0.56,2017-11-20,0012,N,VIIRS,n,1.0NRT,274.4,0.8,N
46.06676,13.627,300.2,0.34,0.56,2017-11-20,0154,N,VIIRS,n,1.0NRT,273.5,0.6,N
46.06902,13.62827,297.6,0.41,0.45,2017-12-05,0036,N,VIIRS,n,1.0NRT,271.3,0.7,N
46.06804,13.6277,302.5,0.35,0.56,2017-12-06,0012,N,VIIRS,n,1.0NRT,272.8,0.7,N
46.06954,13.62958,295.8,0.39,0.37,2017-12-19,0112,N,VIIRS,n,1.0NRT,271.6,0.5,N
46.06866,13.63018,301.6,0.41,0.45,2017-12-21,0036,N,VIIRS,n,1.0NRT,272.2,0.7,N
46.06874,13.62601,296.2,0.42,0.38,2017-12-24,0118,N,VIIRS,n,1.0NRT,272.2,0.7,N
46.06938,13.6268,297.3,0.39,0.36,2017-12-25,0100,N,VIIRS,n,1.0NRT,272.5,0.8,N
