latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.23512,-7.43989,340.9,0.57,0.52,2017-02-27,0146,N,VIIRS,n,1,278.5,6,
42.23037,-7.44151,334.9,0.57,0.52,2017-02-27,0146,N,VIIRS,n,1,272.1,6,
42.23162,-7.43978,338.1,0.57,0.52,2017-02-27,0146,N,VIIRS,n,1,275.6,5.5,
42.23206,-7.44604,314.8,0.57,0.52,2017-02-27,0146,N,VIIRS,n,1,272.1,5.5,
43.55975,-7.81615,296.4,0.38,0.36,2017-04-19,0230,N,VIIRS,n,1,279.9,0.8,
43.55901,-7.81144,307.3,0.38,0.36,2017-04-19,0230,N,VIIRS,n,1,278.1,0.8,
43.55246,-7.81341,326.5,0.38,0.36,2017-04-19,0230,N,VIIRS,n,1,278.2,9.2,
43.5479,-7.69924,350.6,0.46,0.63,2017-04-23,1419,N,VIIRS,n,1,294.3,30.1,
42.41818,-7.64557,296.9,0.41,0.37,2017-04-24,0236,N,VIIRS,n,1,282.7,2.9,
42.74217,-7.58865,297.4,0.44,0.39,2017-04-29,0242,N,VIIRS,n,1,278.1,0.8,
42.84859,-7.52672,367,0.32,0.54,2017-08-03,1406,N,VIIRS,h,1,313.4,111.1,
42.48376,-7.61034,334,0.55,0.43,2017-08-04,1347,N,VIIRS,n,1,301.5,7.5,
42.21478,-7.44217,309.4,0.48,0.48,2017-08-11,0152,N,VIIRS,n,1,280.4,3,
42.21526,-7.4393,336.6,0.57,0.69,2017-08-11,0333,N,VIIRS,n,1,281.1,6.6,
43.69915,-7.44971,304,0.57,0.43,2017-08-13,0255,N,VIIRS,n,1,287.2,1.9,
43.42015,-7.66633,301.4,0.4,0.37,2017-08-14,0236,N,VIIRS,n,1,286.3,4.6,
43.41017,-7.66933,314.5,0.4,0.37,2017-08-14,0236,N,VIIRS,n,1,284.5,43,
42.29105,-7.48432,335.6,0.39,0.36,2017-08-21,1329,N,VIIRS,n,1,307.2,32.9,
42.3315,-7.39636,298.9,0.5,0.66,2017-08-23,0127,N,VIIRS,n,1,259.3,2.1,
42.33479,-7.39686,310,0.57,0.52,2017-08-23,0308,N,VIIRS,n,1,266.7,3.6,
42.33299,-7.38993,308.2,0.57,0.52,2017-08-23,0308,N,VIIRS,n,1,266.4,3.6,
42.33793,-7.38562,306.3,0.57,0.52,2017-08-23,0308,N,VIIRS,n,1,266.9,3,
42.32913,-7.39141,302,0.57,0.52,2017-08-23,0308,N,VIIRS,n,1,266.3,1.4,
42.21396,-7.41947,341.1,0.44,0.46,2017-08-23,1251,N,VIIRS,n,1,305.9,16,
42.21262,-7.42536,337.8,0.44,0.46,2017-08-23,1251,N,VIIRS,l,1,308.5,16,
43.01433,-7.4499,338.9,0.68,0.74,2017-08-23,1432,N,VIIRS,n,1,294.6,25.5,
42.20647,-7.41648,338.9,0.37,0.58,2017-08-24,1232,N,VIIRS,n,1,309.4,31.2,
42.22058,-7.4281,345,0.37,0.58,2017-08-24,1232,N,VIIRS,n,1,299,4.2,
42.21587,-7.42084,367,0.39,0.59,2017-08-24,1413,N,VIIRS,h,1,305.3,24.5,
42.21571,-7.4246,367,0.39,0.59,2017-08-24,1413,N,VIIRS,h,1,309.1,28.9,
42.21554,-7.4283,346.4,0.39,0.59,2017-08-24,1413,N,VIIRS,n,1,307.3,28.9,
42.33775,-7.38546,303.9,0.39,0.36,2017-08-25,0230,N,VIIRS,n,1,285.2,1.2,
41.97436,-7.82374,303.3,0.47,0.48,2017-03-11,0301,N,VIIRS,n,1,278.9,1.1,
41.88625,-7.77392,351.6,0.57,0.52,2017-03-16,0308,N,VIIRS,n,1,281.8,11.5,
41.87862,-7.64068,327.2,0.47,0.4,2017-04-09,1341,N,VIIRS,l,1,301.2,21.5,
41.93453,-7.5034,320.4,0.41,0.37,2017-07-29,0236,N,VIIRS,n,1,290.4,1.6,
41.93116,-7.50445,345.7,0.41,0.37,2017-07-29,0236,N,VIIRS,n,1,293.8,5.1,
41.91367,-7.52592,332.7,0.41,0.37,2017-07-29,0236,N,VIIRS,n,1,290.1,14.2,
41.9094,-7.52197,334.2,0.41,0.37,2017-07-29,0236,N,VIIRS,n,1,287.9,14.2,
41.91618,-7.5243,355.1,0.54,0.68,2017-07-29,1220,N,VIIRS,n,1,294,7.6,
41.87288,-7.43725,336.6,0.43,0.38,2017-08-22,1310,N,VIIRS,l,1,311.6,7.5,
41.95072,-7.52773,316.1,0.51,0.66,2017-08-23,0127,N,VIIRS,n,1,277.7,2.2,
42.08975,-8.20369,295.8,0.42,0.38,2017-04-09,0217,N,VIIRS,n,1,278.3,0.3,
41.96881,-8.17484,343,0.41,0.37,2017-04-21,1316,N,VIIRS,n,1,313,26.6,
42.10189,-8.18991,367,0.4,0.45,2017-04-22,1257,N,VIIRS,h,1,297.9,6.7,
42.10505,-8.18859,345.2,0.4,0.44,2017-04-22,1257,N,VIIRS,n,1,299.8,12.9,
42.10151,-8.55603,296.7,0.61,0.53,2017-08-12,0314,N,VIIRS,n,1,285.5,0.4,
42.11938,-8.20354,351.7,0.55,0.43,2017-08-21,0205,N,VIIRS,n,1,306.6,35.9,
42.11874,-8.19741,345.6,0.55,0.43,2017-08-21,0205,N,VIIRS,n,1,300.8,35.9,
42.11465,-8.19532,340.5,0.74,0.76,2017-08-21,0345,N,VIIRS,n,1,291.3,10.9,
42.11499,-8.18935,305.3,0.74,0.76,2017-08-21,0345,N,VIIRS,n,1,289.6,9.9,
42.12114,-8.20041,343.2,0.39,0.36,2017-08-21,1329,N,VIIRS,n,1,309.7,8,
42.10148,-8.19498,307.3,0.62,0.54,2017-08-22,0146,N,VIIRS,n,1,289.9,8.4,
42.44416,-8.50074,301.8,0.43,0.38,2017-04-09,0217,N,VIIRS,n,1,282.2,0.8,
43.34639,-8.4526,296.1,0.56,0.69,2017-04-10,0338,N,VIIRS,n,1,281.8,1.6,
43.34576,-8.43248,300.8,0.68,0.74,2017-04-12,0120,N,VIIRS,n,1,282.1,1.4,
43.34803,-8.43495,300.9,0.41,0.45,2017-04-12,0301,N,VIIRS,n,1,283.5,1.5,
43.34583,-8.43569,307.1,0.41,0.37,2017-04-13,0242,N,VIIRS,n,1,283.4,0.9,
43.34725,-8.43509,296.1,0.46,0.39,2017-04-18,0248,N,VIIRS,n,1,282.6,0.4,
42.61205,-8.54431,303.7,0.38,0.36,2017-04-19,0230,N,VIIRS,n,1,279.7,0.6,
42.60876,-8.54526,333.3,0.38,0.36,2017-04-19,0230,N,VIIRS,n,1,281.6,3.8,
43.45095,-8.14589,357.4,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,303.5,7,
43.45029,-8.15095,330.5,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,293.7,7,
43.54985,-8.24138,367,0.42,0.37,2017-04-20,1335,N,VIIRS,h,1,332.8,77.2,
43.55052,-8.23619,334.2,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,297.7,22.2,
43.55394,-8.23706,333.1,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,293.8,22.6,
43.56425,-8.23929,367,0.42,0.37,2017-04-20,1335,N,VIIRS,h,1,366.9,181.5,
43.56627,-8.22379,340.4,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,296.6,21.5,
43.56325,-8.23644,348.3,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,314.4,128.5,
43.5626,-8.2415,319.5,0.42,0.37,2017-04-20,1335,N,VIIRS,l,1,319.7,126.6,
43.57275,-8.21723,347.3,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,308.8,26.4,
43.57208,-8.22245,354.8,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,306.9,23,
43.57079,-8.23264,336.1,0.42,0.37,2017-04-20,1335,N,VIIRS,n,1,292.2,5.5,
43.55475,-8.25068,344.5,0.54,0.51,2017-04-21,0152,N,VIIRS,n,1,286.6,6.5,
43.55056,-8.25869,348,0.54,0.51,2017-04-21,0152,N,VIIRS,n,1,297.8,23,
43.55002,-8.25097,322.3,0.54,0.51,2017-04-21,0152,N,VIIRS,n,1,282.5,6.5,
43.54583,-8.25897,353.6,0.54,0.51,2017-04-21,0152,N,VIIRS,n,1,294.2,24.6,
43.18814,-8.21798,350.4,0.53,0.5,2017-04-21,0152,N,VIIRS,n,1,291.9,30.9,
43.18303,-8.21236,345.1,0.53,0.5,2017-04-21,0152,N,VIIRS,n,1,287.4,11.9,
42.6547,-8.27055,338.7,0.53,0.5,2017-04-21,0152,N,VIIRS,n,1,287.7,11.5,
42.65424,-8.26403,338.9,0.53,0.5,2017-04-21,0152,N,VIIRS,n,1,288.7,11.5,
42.65189,-8.26398,334.5,0.53,0.5,2017-04-21,0152,N,VIIRS,n,1,288.9,20.3,
43.5541,-8.25054,367,0.48,0.65,2017-04-21,0332,N,VIIRS,h,1,287.2,7.2,
43.55545,-8.25491,295.3,0.48,0.64,2017-04-21,0332,N,VIIRS,n,1,282.5,5.5,
43.54858,-8.25394,367,0.48,0.65,2017-04-21,0332,N,VIIRS,h,1,287.9,7.2,
43.54999,-8.25851,319.7,0.48,0.64,2017-04-21,0332,N,VIIRS,n,1,285.7,5.5,
43.54699,-8.24883,305.7,0.48,0.65,2017-04-21,0332,N,VIIRS,n,1,281.9,7.2,
43.54279,-8.25648,356.1,0.48,0.65,2017-04-21,0332,N,VIIRS,n,1,283.9,12.7,
43.54593,-8.2666,299.8,0.48,0.64,2017-04-21,0332,N,VIIRS,n,1,283.5,9.4,
43.18508,-8.21604,322.4,0.49,0.65,2017-04-21,0332,N,VIIRS,n,1,284.6,3.3,
43.55224,-8.25576,337.2,0.4,0.37,2017-04-21,1316,N,VIIRS,n,1,311.1,6,
42.4458,-8.50166,303.6,0.54,0.42,2017-04-23,0255,N,VIIRS,n,1,282.7,1.8,
42.44503,-8.50042,356.1,0.34,0.56,2017-04-23,1238,N,VIIRS,n,1,302,4.2,
42.45002,-8.50264,339.1,0.34,0.56,2017-04-23,1238,N,VIIRS,n,1,297.7,4.2,
42.44479,-8.50183,334,0.39,0.36,2017-04-26,1322,N,VIIRS,n,1,300.2,2.8,
