latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.53907,-5.83197,330.2,0.5,0.4,2017-09-13,1254,N,VIIRS,n,1.0NRT,299.6,4.5,D
43.54166,-5.82833,298.7,0.5,0.4,2017-09-20,0242,N,VIIRS,n,1.0NRT,283.5,0.6,N
43.53992,-5.8293,328.2,0.4,0.4,2017-09-21,0224,N,VIIRS,n,1.0NRT,285.2,1.3,N
43.54424,-5.84646,298.1,0.4,0.6,2017-09-24,0124,N,VIIRS,n,1.0NRT,286.3,0.8,N
43.53791,-5.83063,344.7,0.4,0.6,2017-09-24,0124,N,VIIRS,n,1.0NRT,286.5,4.9,N
43.52795,-5.72745,305.6,0.3,0.6,2017-09-29,0130,N,VIIRS,n,1.0NRT,286.4,0.7,N
43.52207,-5.73108,298.1,0.4,0.4,2017-10-07,0224,N,VIIRS,n,1.0NRT,283.9,0.8,N
43.53977,-5.8318,337.3,0.5,0.4,2017-10-08,0200,N,VIIRS,n,1.0NRT,286.4,4.9,N
43.52407,-5.73185,299,0.5,0.4,2017-10-08,0200,N,VIIRS,n,1.0NRT,284.2,0.8,N
43.54011,-5.83124,331.2,0.5,0.5,2017-10-09,0142,N,VIIRS,n,1.0NRT,286.2,3.8,N
43.55358,-5.85892,301.8,0.3,0.6,2017-10-15,0130,N,VIIRS,n,1.0NRT,284.1,0.8,N
43.54255,-5.83002,316.4,0.3,0.6,2017-10-15,0130,N,VIIRS,n,1.0NRT,284.4,1.8,N
43.53728,-5.83068,319.6,0.3,0.6,2017-10-15,0130,N,VIIRS,n,1.0NRT,279.7,1.4,N
43.55342,-5.85651,301.9,0.4,0.6,2017-10-15,0312,N,VIIRS,n,1.0NRT,287.4,0.8,N
43.53341,-5.72288,297.2,0.39,0.36,2017-10-23,0224,N,VIIRS,n,1.0NRT,281.4,0.8,N
43.53091,-5.72862,312.6,0.39,0.36,2017-10-23,0224,N,VIIRS,n,1.0NRT,281.5,0.8,N
43.54239,-5.83193,344.1,0.55,0.68,2017-10-23,1206,N,VIIRS,n,1.0NRT,290.3,3.7,D
43.53033,-5.72521,304.8,0.45,0.39,2017-10-24,0200,N,VIIRS,n,1.0NRT,281.1,1.3,N
43.5299,-5.73101,296,0.39,0.44,2017-10-27,0248,N,VIIRS,n,1.0NRT,285,0.7,N
43.52598,-5.73265,298.7,0.39,0.44,2017-10-27,0248,N,VIIRS,n,1.0NRT,286.6,1,N
43.52821,-5.73088,316,0.51,0.41,2017-11-07,0242,N,VIIRS,n,1.0NRT,279.1,1.8,N
43.536,-5.82851,301.4,0.35,0.56,2017-11-16,0130,N,VIIRS,n,1.0NRT,273.1,1.9,N
43.54378,-5.8441,297.1,0.39,0.36,2017-11-19,0218,N,VIIRS,n,1.0NRT,278,0.5,N
43.53854,-5.83356,296.1,0.73,0.76,2017-11-20,0336,N,VIIRS,n,1.0NRT,278.1,1.8,N
43.53082,-5.72846,297.5,0.46,0.63,2017-11-21,0318,N,VIIRS,n,1.0NRT,279.8,0.5,N
43.56188,-5.7255,296.9,0.49,0.65,2017-11-22,0118,N,VIIRS,n,1.0NRT,282.4,0.6,N
43.54041,-5.8341,316,0.5,0.66,2017-11-22,0118,N,VIIRS,n,1.0NRT,282.4,2.9,N
43.52279,-5.7297,303.1,0.55,0.51,2017-11-22,0300,N,VIIRS,n,1.0NRT,279.8,2.2,N
43.53897,-5.83203,296.8,0.54,0.51,2017-11-22,0300,N,VIIRS,n,1.0NRT,280.1,1,N
43.52939,-5.72959,309.6,0.51,0.41,2017-11-23,0242,N,VIIRS,n,1.0NRT,279.7,1.7,N
43.54184,-5.83057,301.2,0.72,0.75,2017-11-28,0106,N,VIIRS,n,1.0NRT,277,1.8,N
43.5401,-5.83111,332.3,0.41,0.37,2017-11-30,0206,N,VIIRS,n,1.0NRT,280.4,9.3,N
43.54041,-5.82922,327.9,0.52,0.41,2017-12-06,0154,N,VIIRS,n,1.0NRT,278.3,3.3,N
43.52892,-5.73038,343.3,0.32,0.55,2017-12-13,0306,N,VIIRS,n,1.0NRT,278.1,2.9,N
43.52257,-5.73334,297,0.39,0.36,2017-12-21,0218,N,VIIRS,n,1.0NRT,276.6,0.9,N
42.3535,0.63699,367,0.38,0.44,2017-11-15,1312,N,VIIRS,n,1.0NRT,296.2,11.3,D
42.37929,0.56003,333.9,0.42,0.38,2017-12-03,1236,N,VIIRS,n,1.0NRT,294.7,42.8,D
42.37837,0.55498,334.9,0.42,0.38,2017-12-03,1236,N,VIIRS,n,1.0NRT,295.1,34.3,D
42.38081,0.54866,342.2,0.42,0.38,2017-12-03,1236,N,VIIRS,n,1.0NRT,286.6,6.9,D
42.37711,0.55901,317.9,0.49,0.65,2017-12-04,0054,N,VIIRS,n,1.0NRT,257.8,4.6,N
42.37143,0.5402,311.3,0.49,0.65,2017-12-04,0054,N,VIIRS,n,1.0NRT,261.7,2.5,N
42.37123,0.54888,313.8,0.49,0.65,2017-12-04,0054,N,VIIRS,n,1.0NRT,260.2,2.5,N
42.37748,0.55469,346.7,0.49,0.65,2017-12-04,0054,N,VIIRS,n,1.0NRT,262.9,4.1,N
42.37731,0.56059,300.7,0.49,0.65,2017-12-04,0054,N,VIIRS,n,1.0NRT,257,4.1,N
42.37172,0.54301,332,0.49,0.65,2017-12-04,0054,N,VIIRS,n,1.0NRT,263.7,4.6,N
42.38725,0.54852,311.6,0.58,0.52,2017-12-04,0236,N,VIIRS,n,1.0NRT,271.5,2.8,N
42.37912,0.5601,340.4,0.59,0.52,2017-12-04,0236,N,VIIRS,n,1.0NRT,272.5,13.3,N
42.37753,0.5461,345.2,0.58,0.52,2017-12-04,0236,N,VIIRS,n,1.0NRT,275.3,10.2,N
42.3741,0.55951,344.5,0.59,0.52,2017-12-04,0236,N,VIIRS,n,1.0NRT,274.2,13.3,N
42.371,0.55145,322.2,0.58,0.52,2017-12-04,0236,N,VIIRS,n,1.0NRT,271.2,4.9,N
42.37664,0.5654,337.7,0.43,0.46,2017-12-04,1218,N,VIIRS,n,1.0NRT,282.3,14,D
42.37555,0.56052,352.4,0.43,0.46,2017-12-04,1218,N,VIIRS,n,1.0NRT,291.7,15.5,D
42.37519,0.55746,367,0.43,0.46,2017-12-04,1218,N,VIIRS,n,1.0NRT,295.7,12.3,D
42.37315,0.55491,325.6,0.69,0.74,2017-12-04,1400,N,VIIRS,n,1.0NRT,284.4,11.8,D
43.48839,-3.65258,334.8,0.57,0.43,2017-11-17,1236,N,VIIRS,n,1.0NRT,282.2,6,D
43.17699,-3.69963,302.6,0.42,0.45,2017-11-23,0242,N,VIIRS,n,1.0NRT,274.8,1.1,N
