latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
66.05057,22.16983,277.4,0.39,0.36,2017-06-10,0107,N,VIIRS,l,1,277.5,0.1,
58.68423,17.12377,329.9,0.67,0.73,2017-01-05,2335,N,VIIRS,n,1,257.7,8.2,
59.43835,18.56422,307.9,0.39,0.44,2017-03-24,0031,N,VIIRS,n,1,269.5,1.9,
59.18417,17.44505,331.2,0.5,0.41,2017-04-03,0044,N,VIIRS,n,1,274.2,5.5,
58.38382,13.82723,304.2,0.39,0.36,2017-03-16,0122,N,VIIRS,n,1,271.7,1.1,
58.35845,12.38259,318.7,0.62,0.54,2017-03-24,0031,N,VIIRS,n,1,270.8,3.6,
58.35942,12.37691,318.9,0.62,0.54,2017-03-24,0031,N,VIIRS,n,1,271.2,2.5,
56.8901,12.48367,304.6,0.39,0.59,2017-04-18,0244,N,VIIRS,n,1,270.4,1.7,
58.38496,13.82984,300.2,0.42,0.38,2017-04-23,0109,N,VIIRS,n,1,272.6,1.1,
60.61166,16.7999,314.3,0.4,0.37,2017-05-09,0109,N,VIIRS,n,1,276.4,1.2,
57.7087,11.82311,334.2,0.39,0.36,2017-05-18,1133,N,VIIRS,n,1,288,3.4,
58.35758,12.3807,297.2,0.39,0.36,2017-05-24,0128,N,VIIRS,n,1,281.1,1.2,
58.35856,12.379,312,0.46,0.64,2017-07-15,0012,N,VIIRS,n,1,282.2,1.3,
58.35803,12.38099,312.6,0.44,0.38,2017-07-15,0153,N,VIIRS,n,1,284,2,
58.38171,13.82493,301.7,0.46,0.64,2017-08-11,0006,N,VIIRS,n,1,283.7,1,
58.35826,12.37931,320.6,0.48,0.4,2017-08-21,0200,N,VIIRS,n,1,282.8,2.9,
58.71317,12.13346,297.7,0.39,0.36,2017-08-22,0141,N,VIIRS,n,1,278.3,0.3,
58.36159,12.37712,303.9,0.47,0.64,2017-08-23,0302,N,VIIRS,n,1,279.4,2,
