latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
58.36022,12.38208,302.1,0.5,0.5,2017-09-10,0042,N,VIIRS,n,1.0NRT,281.4,1.3,N
58.33499,12.24278,332.1,0.4,0.4,2017-09-16,0212,N,VIIRS,n,1.0NRT,281.5,28.4,N
58.36005,12.37609,331,0.41,0.37,2017-10-30,0148,N,VIIRS,n,1.0NRT,276,4.6,N
58.35771,12.38199,335.4,0.59,0.53,2017-11-12,1236,N,VIIRS,n,1.0NRT,275.4,5.3,D
59.24404,14.24261,299.1,0.6,0.53,2017-11-14,0024,N,VIIRS,n,1.0NRT,265.8,0.8,N
58.35989,12.37875,325.9,0.39,0.36,2017-11-16,0124,N,VIIRS,n,1.0NRT,273.7,1.4,N
58.38429,13.82978,298.7,0.44,0.38,2017-12-17,0148,N,VIIRS,n,1.0NRT,265.9,0.6,N
58.33345,12.24891,299.3,0.4,0.4,2017-09-16,0212,N,VIIRS,n,1.0NRT,278,9.8,N
58.35551,12.38143,297.1,0.4,0.4,2017-09-18,0130,N,VIIRS,n,1.0NRT,279.1,3.2,N
58.44244,13.2154,331.4,0.4,0.4,2017-10-04,0130,N,VIIRS,n,1.0NRT,286.2,12.4,N
58.35909,12.38118,329.4,0.5,0.4,2017-10-16,1100,N,VIIRS,n,1.0NRT,285.8,3.7,D
58.38491,13.82884,306.9,0.4,0.4,2017-10-05,0112,N,VIIRS,n,1.0NRT,277.9,0.6,N
58.38349,13.82633,305.5,0.5,0.4,2017-10-06,0054,N,VIIRS,n,1.0NRT,276.8,1.3,N
58.35934,12.37968,304.2,0.4,0.4,2017-09-01,0154,N,VIIRS,n,1.0NRT,282.7,1,N
58.33816,12.24616,334,0.5,0.4,2017-09-16,1200,N,VIIRS,n,1.0NRT,276.3,6.6,D
58.35888,12.37881,302.4,0.7,0.8,2017-10-03,2354,N,VIIRS,n,1.0NRT,278.7,1,N
58.33495,12.25082,327.2,0.6,0.6,2017-09-16,0030,N,VIIRS,n,1.0NRT,279.7,20.2,N
58.36085,12.38117,337.5,0.5,0.5,2017-10-06,1048,N,VIIRS,n,1.0NRT,285.2,4,D
58.35791,12.38193,302.9,0.44,0.39,2017-10-19,0154,N,VIIRS,n,1.0NRT,273.6,0.9,N
58.73389,12.37901,326.9,0.4,0.37,2017-11-05,1124,N,VIIRS,n,1.0NRT,278.9,2,D
58.36018,12.3755,295.3,0.59,0.7,2017-11-10,0000,N,VIIRS,n,1.0NRT,274.5,0.5,N
58.35722,12.37784,301.7,0.34,0.56,2017-11-12,0242,N,VIIRS,n,1.0NRT,271.4,0.9,N
58.35683,12.37844,300.8,0.45,0.39,2017-11-17,0106,N,VIIRS,n,1.0NRT,274.8,1.4,N
58.35853,12.37832,306.6,0.48,0.4,2017-11-25,0200,N,VIIRS,n,1.0NRT,273.3,1.4,N
57.68226,12.90121,295.3,0.4,0.5,2017-10-01,0048,N,VIIRS,n,1.0NRT,280,0.4,N
58.56096,11.40905,312.8,0.3,0.6,2017-09-30,0248,N,VIIRS,n,1.0NRT,276.9,0.9,N
58.55643,11.40377,307.5,0.3,0.6,2017-09-30,0248,N,VIIRS,n,1.0NRT,275.3,0.9,N
58.29336,13.59727,296.5,0.48,0.48,2017-11-08,0218,N,VIIRS,n,1.0NRT,271.6,1,N
57.70834,11.82284,305.9,0.3,0.6,2017-10-11,0242,N,VIIRS,n,1.0NRT,277.6,0.6,N
58.35705,12.37853,304.3,0.4,0.4,2017-09-12,0148,N,VIIRS,n,1.0NRT,282.2,1.3,N
58.07876,11.84461,302.6,0.4,0.6,2017-10-08,0018,N,VIIRS,n,1.0NRT,274.3,0.7,N
58.38309,13.82946,302.3,0.5,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,278.4,1.4,N
60.13262,16.1834,302.1,0.42,0.38,2017-10-27,0100,N,VIIRS,n,1.0NRT,272.5,1.3,N
58.38344,13.8304,296,0.5,0.5,2017-09-16,0030,N,VIIRS,n,1.0NRT,278.8,1.6,N
58.38414,13.82294,298.6,0.5,0.7,2017-09-28,0006,N,VIIRS,n,1.0NRT,279.2,0.8,N
58.44086,13.2074,367,0.6,0.7,2017-10-03,2354,N,VIIRS,n,1.0NRT,279.4,21.7,N
58.38495,13.83015,295.1,0.5,0.7,2017-10-05,0254,N,VIIRS,n,1.0NRT,275,0.6,N
58.3842,13.82658,313.8,0.3,0.6,2017-10-06,0236,N,VIIRS,n,1.0NRT,277,1.3,N
58.38588,13.82452,295.7,0.54,0.51,2017-11-03,0030,N,VIIRS,n,1.0NRT,273,1.2,N
58.38519,13.82891,296.1,0.54,0.51,2017-11-03,0030,N,VIIRS,n,1.0NRT,273,1.1,N
58.38474,13.8271,297.2,0.54,0.51,2017-11-13,0224,N,VIIRS,n,1.0NRT,271.1,1.3,N
59.24459,14.23792,297.4,0.6,0.53,2017-11-14,0024,N,VIIRS,n,1.0NRT,266.3,0.9,N
58.38451,13.82776,303.1,0.45,0.39,2017-12-30,0100,N,VIIRS,n,1.0NRT,273.6,1.7,N
60.13221,16.17794,331.4,0.4,0.4,2017-09-12,1136,N,VIIRS,n,1.0NRT,289.8,6.3,D
60.13203,16.17868,321.1,0.4,0.4,2017-10-04,0130,N,VIIRS,n,1.0NRT,279.8,1.7,N
60.49083,15.44829,296.7,0.4,0.6,2017-09-12,0006,N,VIIRS,n,1.0NRT,280.5,1.4,N
60.00747,15.80093,300.5,0.5,0.4,2017-09-17,0148,N,VIIRS,n,1.0NRT,277.3,0.7,N
60.13372,15.42501,296.7,0.39,0.36,2017-11-06,0112,N,VIIRS,n,1.0NRT,272.2,0.7,N
59.24255,14.24262,312.8,0.5,0.4,2017-09-01,0148,N,VIIRS,n,1.0NRT,280.7,1,N
60.13387,16.17916,296.1,0.5,0.7,2017-09-01,2348,N,VIIRS,n,1.0NRT,275,0.8,N
60.48941,15.45252,295.2,0.4,0.4,2017-09-07,0136,N,VIIRS,n,1.0NRT,279.1,0.7,N
60.13271,16.18564,327.2,0.6,0.4,2017-09-10,1036,N,VIIRS,n,1.0NRT,287.5,4.4,D
60.49034,15.45324,295.9,0.4,0.5,2017-10-07,0036,N,VIIRS,n,1.0NRT,274,0.8,N
59.24331,14.24365,303.8,0.42,0.38,2017-11-17,0106,N,VIIRS,n,1.0NRT,273.8,0.4,N
56.80621,12.97218,302.9,0.58,0.52,2017-11-13,0224,N,VIIRS,n,1.0NRT,269.2,1.7,N
56.80592,12.97643,298.6,0.58,0.52,2017-11-13,0224,N,VIIRS,n,1.0NRT,269.4,0.6,N
60.13781,16.1972,295.1,0.5,0.4,2017-10-06,0054,N,VIIRS,n,1.0NRT,276.5,0.4,N
60.13128,16.18068,305.2,0.44,0.46,2017-12-21,0212,N,VIIRS,n,1.0NRT,271.5,0.8,N
60.54526,16.30607,315.5,0.43,0.38,2017-12-30,0100,N,VIIRS,n,1.0NRT,269.9,1.6,N
58.35856,12.37728,303.7,0.4,0.4,2017-09-01,0154,N,VIIRS,n,1.0NRT,283.5,1.1,N
58.3581,12.3805,329.8,0.4,0.4,2017-09-02,0130,N,VIIRS,n,1.0NRT,281.8,1.8,N
58.35915,12.37411,309.1,0.4,0.4,2017-09-02,0130,N,VIIRS,n,1.0NRT,281.7,1.8,N
58.33532,12.24005,338.2,0.6,0.6,2017-09-16,0030,N,VIIRS,n,1.0NRT,277,22.4,N
58.335,12.23912,301,0.5,0.7,2017-09-17,0012,N,VIIRS,n,1.0NRT,276.3,1.1,N
58.33501,12.24725,301,0.5,0.7,2017-09-17,0012,N,VIIRS,n,1.0NRT,277.1,1.1,N
58.36175,12.37989,307.6,0.6,0.5,2017-09-20,0236,N,VIIRS,n,1.0NRT,277.6,1.4,N
58.35647,12.37737,307.8,0.4,0.6,2017-10-05,0254,N,VIIRS,n,1.0NRT,276.5,1,N
58.35715,12.3741,327.3,0.6,0.7,2017-10-09,0000,N,VIIRS,n,1.0NRT,275.1,3.9,N
58.35992,12.3775,341,0.3,0.6,2017-10-13,0024,N,VIIRS,n,1.0NRT,279.2,3.4,N
58.35791,12.38089,305.2,0.45,0.63,2017-10-19,0012,N,VIIRS,n,1.0NRT,273.9,1.7,N
58.35897,12.38064,335.5,0.39,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,284.3,4.2,D
58.35785,12.37823,317,0.42,0.38,2017-11-06,0112,N,VIIRS,n,1.0NRT,276.4,1.8,N
58.35811,12.38653,297.4,0.61,0.54,2017-11-07,0236,N,VIIRS,n,1.0NRT,271.2,0.9,N
58.35804,12.37826,306.6,0.39,0.37,2017-11-10,0142,N,VIIRS,n,1.0NRT,276.3,1.9,N
58.35955,12.37398,326.7,0.49,0.41,2017-11-12,0100,N,VIIRS,n,1.0NRT,272.7,3.1,N
58.35892,12.38261,337.6,0.59,0.53,2017-11-12,1236,N,VIIRS,n,1.0NRT,274.6,6.1,D
58.36108,12.38047,331.1,0.4,0.44,2017-11-13,1212,N,VIIRS,n,1.0NRT,274.6,3.9,D
58.35667,12.37697,296.2,0.39,0.36,2017-11-16,0124,N,VIIRS,n,1.0NRT,273.7,1.4,N
58.35758,12.37732,314.2,0.44,0.39,2017-11-20,0154,N,VIIRS,n,1.0NRT,270.9,1.7,N
58.35875,12.37905,337.1,0.39,0.36,2017-11-20,1142,N,VIIRS,n,1.0NRT,275.9,5.6,D
58.3619,12.37906,344.8,0.34,0.56,2017-12-03,1242,N,VIIRS,n,1.0NRT,274.7,4.4,D
58.35815,12.38078,324.4,0.39,0.44,2017-12-21,0212,N,VIIRS,n,1.0NRT,274.7,3.9,N
60.13321,16.18165,296.4,0.4,0.4,2017-09-02,0130,N,VIIRS,n,1.0NRT,279.6,0.8,N
60.48894,15.45009,297.3,0.6,0.7,2017-09-12,2342,N,VIIRS,n,1.0NRT,278.7,1.6,N
60.134,16.17827,304.2,0.4,0.5,2017-09-16,0212,N,VIIRS,n,1.0NRT,278.1,1,N
57.63374,14.68972,351.4,0.4,0.6,2017-09-28,0006,N,VIIRS,n,1.0NRT,280.6,5.6,N
58.38394,13.82273,297.3,0.4,0.4,2017-09-30,0106,N,VIIRS,n,1.0NRT,275.7,1.3,N
60.13317,16.17711,302.1,0.46,0.39,2017-10-30,0142,N,VIIRS,n,1.0NRT,270.4,1.2,N
55.61547,13.69545,302.1,0.75,0.77,2017-10-31,0306,N,VIIRS,n,1.0NRT,268.1,1.7,N
60.48874,15.45333,302.6,0.41,0.45,2017-11-03,0212,N,VIIRS,n,1.0NRT,270.4,1.2,N
60.13276,16.17963,327.8,0.39,0.37,2017-11-06,1106,N,VIIRS,n,1.0NRT,278.9,2.9,D
60.13195,16.17767,316.1,0.46,0.39,2017-11-07,0054,N,VIIRS,n,1.0NRT,270.2,1.7,N
60.13582,15.42051,297.8,0.48,0.4,2017-11-07,0054,N,VIIRS,n,1.0NRT,271.5,1.3,N
58.38274,13.82622,304.4,0.5,0.41,2017-11-07,0054,N,VIIRS,n,1.0NRT,273.1,1.7,N
58.38614,13.82387,295.3,0.47,0.48,2017-11-08,0036,N,VIIRS,n,1.0NRT,273.4,1.3,N
60.48725,15.45041,295.1,0.46,0.64,2017-11-10,0000,N,VIIRS,n,1.0NRT,272.4,1.1,N
56.80374,12.97362,320.6,0.43,0.46,2017-11-13,0042,N,VIIRS,n,1.0NRT,269.9,2.4,N
58.38453,13.82417,307.3,0.42,0.38,2017-11-17,0106,N,VIIRS,n,1.0NRT,275.1,1.2,N
58.38325,13.82834,299.2,0.42,0.61,2017-11-17,0248,N,VIIRS,n,1.0NRT,273.7,0.6,N
58.38419,13.8239,295.6,0.53,0.42,2017-11-25,0200,N,VIIRS,n,1.0NRT,271.9,1,N
58.38338,13.8238,315.1,0.39,0.36,2017-12-13,0118,N,VIIRS,n,1.0NRT,269.6,1.8,N
60.132,16.17741,309.3,0.4,0.37,2017-12-19,0106,N,VIIRS,n,1.0NRT,267.9,2.2,N
60.13284,16.18345,300.9,0.45,0.63,2017-12-24,0254,N,VIIRS,n,1.0NRT,265.1,0.9,N
60.13347,16.18134,327.5,0.3,0.6,2017-09-01,1006,N,VIIRS,n,1.0NRT,290.4,3.2,D
60.13045,16.17674,295.4,0.6,0.5,2017-09-06,0018,N,VIIRS,n,1.0NRT,278.1,1.8,N
60.13092,16.18107,314.8,0.4,0.5,2017-09-16,0212,N,VIIRS,n,1.0NRT,277.3,1.9,N
60.54485,16.30244,296,0.5,0.4,2017-09-17,0148,N,VIIRS,n,1.0NRT,274.9,0.6,N
60.13376,16.17838,298,0.3,0.6,2017-09-20,0236,N,VIIRS,n,1.0NRT,275.8,1.1,N
60.13115,16.17804,304.2,0.4,0.5,2017-10-07,0036,N,VIIRS,n,1.0NRT,267.7,1.1,N
60.13037,16.17839,327.8,0.4,0.4,2017-10-11,1054,N,VIIRS,n,1.0NRT,280.5,2.7,D
60.1329,16.18027,325.1,0.4,0.5,2017-10-13,1154,N,VIIRS,n,1.0NRT,283,2,D
60.13083,16.17619,297.5,0.39,0.36,2017-10-21,0112,N,VIIRS,n,1.0NRT,273.2,0.5,N
60.13152,16.18486,303.6,0.46,0.39,2017-10-30,0142,N,VIIRS,n,1.0NRT,271.4,0.9,N
60.13338,16.1827,300.8,0.43,0.38,2017-11-10,0136,N,VIIRS,n,1.0NRT,273.6,1.1,N
60.13079,16.18447,303.9,0.52,0.5,2017-11-14,0024,N,VIIRS,n,1.0NRT,268.8,1.1,N
60.13185,16.1829,304.2,0.39,0.36,2017-12-08,0112,N,VIIRS,n,1.0NRT,274.1,0.6,N
60.13494,16.19077,296.2,0.41,0.61,2017-12-19,0248,N,VIIRS,n,1.0NRT,267.8,0.6,N
57.70998,18.80165,316.4,0.4,0.4,2017-09-25,0100,N,VIIRS,n,1.0NRT,287.6,1.8,N
60.60987,16.79351,300.5,0.39,0.36,2017-11-16,0124,N,VIIRS,n,1.0NRT,270,0.9,N
58.38382,13.82385,301.1,0.4,0.4,2017-09-18,0130,N,VIIRS,n,1.0NRT,279.7,0.7,N
58.38307,13.82976,310.7,0.4,0.4,2017-10-04,0130,N,VIIRS,n,1.0NRT,279.6,1.4,N
58.38503,13.82818,305.5,0.4,0.37,2017-11-06,0112,N,VIIRS,n,1.0NRT,277,1.6,N
58.38467,13.82586,308.3,0.41,0.37,2017-11-10,0142,N,VIIRS,n,1.0NRT,276.5,1.4,N
58.38401,13.82964,303.1,0.52,0.67,2017-12-29,0300,N,VIIRS,n,1.0NRT,270.7,1.1,N
58.35879,12.37349,304.9,0.7,0.8,2017-09-01,2354,N,VIIRS,n,1.0NRT,279.6,2,N
58.35872,12.38335,327.8,0.4,0.4,2017-09-18,0130,N,VIIRS,n,1.0NRT,280.1,3.2,N
58.44123,13.21878,350.4,0.6,0.7,2017-10-03,2354,N,VIIRS,n,1.0NRT,279.1,14.6,N
58.35918,12.37564,300.7,0.4,0.4,2017-10-05,0112,N,VIIRS,n,1.0NRT,279.1,1.1,N
58.36123,12.38357,297.1,0.4,0.6,2017-10-05,0254,N,VIIRS,n,1.0NRT,275.1,1,N
58.36069,12.38178,306.5,0.5,0.5,2017-10-07,0036,N,VIIRS,n,1.0NRT,273.6,1.4,N
58.35783,12.37865,300.3,0.4,0.4,2017-10-10,0118,N,VIIRS,n,1.0NRT,276.6,1,N
58.35944,12.37922,313.5,0.5,0.7,2017-10-10,0300,N,VIIRS,n,1.0NRT,274.9,1.7,N
58.35886,12.37847,329.4,0.44,0.38,2017-10-29,1154,N,VIIRS,n,1.0NRT,280,3.6,D
58.36124,12.3798,304.8,0.42,0.38,2017-11-06,0112,N,VIIRS,n,1.0NRT,274.8,1,N
58.36081,12.37995,343.4,0.53,0.42,2017-11-08,1206,N,VIIRS,n,1.0NRT,278.8,10.4,D
58.3586,12.3817,301.4,0.39,0.37,2017-11-26,0142,N,VIIRS,n,1.0NRT,271.4,0.9,N
58.35994,12.37587,303.8,0.39,0.36,2017-12-02,0124,N,VIIRS,n,1.0NRT,268.6,0.8,N
58.35831,12.37907,337.2,0.41,0.37,2017-12-17,0148,N,VIIRS,n,1.0NRT,272.1,11.8,N
58.35971,12.37461,336.5,0.39,0.44,2017-12-21,0212,N,VIIRS,n,1.0NRT,275.1,3.9,N
60.13266,16.18052,300,0.4,0.4,2017-09-08,0118,N,VIIRS,n,1.0NRT,273.7,0.7,N
60.13654,16.19471,298.2,0.6,0.5,2017-10-01,0230,N,VIIRS,n,1.0NRT,277.5,0.9,N
60.13096,16.18339,308.2,0.5,0.4,2017-10-08,0200,N,VIIRS,n,1.0NRT,274.6,1.6,N
57.71121,18.80315,299.3,0.5,0.4,2017-09-18,0130,N,VIIRS,n,1.0NRT,282.5,0.9,N
55.5926,13.08046,297.3,0.5,0.5,2017-09-16,0030,N,VIIRS,n,1.0NRT,278.8,0.8,N
58.38383,13.82754,303.3,0.5,0.5,2017-09-10,0224,N,VIIRS,n,1.0NRT,281.4,1,N
58.33451,12.24751,339.7,0.5,0.4,2017-09-16,1200,N,VIIRS,n,1.0NRT,281.6,6.6,D
58.33636,12.24718,341.1,0.5,0.4,2017-09-16,1200,N,VIIRS,n,1.0NRT,281.1,14.1,D
58.35811,12.38385,297.5,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,278.4,1.1,N
58.356,12.38083,299.9,0.5,0.5,2017-10-07,0036,N,VIIRS,n,1.0NRT,273.6,1.4,N
58.3619,12.37716,315.5,0.55,0.43,2017-11-07,0054,N,VIIRS,n,1.0NRT,273.5,3.3,N
