latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
46.53167,6.70202,327.4,0.4,0.37,2017-04-03,1214,N,VIIRS,n,1,291.3,1.6,
46.79021,6.59061,328,0.42,0.38,2017-08-20,1208,N,VIIRS,l,1,298.9,2,
46.23152,6.0527,330.8,0.41,0.37,2017-05-05,1214,N,VIIRS,n,1,299.7,1.8,
46.52837,6.70317,325.1,0.4,0.37,2017-04-03,1214,N,VIIRS,n,1,290.3,1.6,
46.91671,9.5492,299.2,0.4,0.44,2017-08-30,0054,N,VIIRS,n,1,288.9,0.5,
46.62284,7.03467,345.2,0.38,0.36,2017-07-29,1220,N,VIIRS,n,1,299.3,5.5,
47.07128,8.2688,307.2,0.43,0.46,2017-03-14,0203,N,VIIRS,n,1,275.5,1.5,
47.06889,8.26674,331.2,0.39,0.36,2017-03-23,1220,N,VIIRS,n,1,286.1,3.1,
47.06988,8.26928,331.5,0.39,0.36,2017-04-08,1220,N,VIIRS,n,1,299.2,2.7,
47.07042,8.26353,318,0.5,0.49,2017-04-20,0209,N,VIIRS,n,1,271.7,2.7,
47.06837,8.26649,325.1,0.43,0.46,2017-05-17,0203,N,VIIRS,n,1,283.6,1.7,
47.06932,8.26264,309.3,0.43,0.46,2017-06-02,0203,N,VIIRS,n,1,282.9,1.2,
47.06922,8.26497,332.7,0.39,0.36,2017-06-11,1220,N,VIIRS,l,1,303.4,3.2,
47.07039,8.26441,335.7,0.47,0.39,2017-06-21,1233,N,VIIRS,n,1,303.3,4.6,
47.07035,8.26877,308.4,0.5,0.49,2017-06-23,0209,N,VIIRS,n,1,288.5,2.6,
47.06834,8.26646,317,0.33,0.55,2017-07-19,0041,N,VIIRS,n,1,285.1,1.3,
47.06815,8.26453,305.9,0.51,0.41,2017-07-23,0106,N,VIIRS,n,1,280.5,1.4,
47.07112,8.26697,324.1,0.39,0.36,2017-08-28,0132,N,VIIRS,n,1,288.2,1.9,
47.17315,7.56515,327.3,0.45,0.39,2017-01-28,1233,N,VIIRS,n,1,276.7,3.9,
47.17545,7.56281,302.5,0.55,0.51,2017-02-04,0216,N,VIIRS,n,1,273.4,1.4,
47.17401,7.56326,326,0.39,0.36,2017-02-19,1220,N,VIIRS,n,1,282.1,2.3,
47.17355,7.56349,313,0.42,0.38,2017-02-23,0119,N,VIIRS,n,1,265.6,1.9,
47.17439,7.56423,300.7,0.35,0.56,2017-03-13,0041,N,VIIRS,n,1,275.7,0.9,
47.17397,7.56383,312.3,0.35,0.57,2017-03-29,0041,N,VIIRS,n,1,278.3,1.3,
47.17316,7.56395,301.9,0.63,0.54,2017-03-29,0221,N,VIIRS,n,1,277.8,1.8,
47.17504,7.5635,303.9,0.46,0.39,2017-04-05,0150,N,VIIRS,n,1,270.1,1.6,
47.17529,7.56371,314.7,0.46,0.39,2017-04-21,0150,N,VIIRS,n,1,272.9,1.9,
47.17437,7.56401,338.8,0.4,0.37,2017-05-16,1208,N,VIIRS,n,1,306.4,4.3,
47.17299,7.56436,303.4,0.4,0.44,2017-05-17,0203,N,VIIRS,n,1,283.1,0.8,
47.17336,7.56512,308.4,0.54,0.42,2017-05-20,0106,N,VIIRS,n,1,279.2,1.5,
47.17501,7.56468,297,0.59,0.53,2017-05-21,0047,N,VIIRS,n,1,279.2,1.2,
47.17466,7.56502,298.7,0.49,0.65,2017-05-22,0028,N,VIIRS,n,1,280.9,1.3,
47.17395,7.56437,300.7,0.5,0.49,2017-05-26,0054,N,VIIRS,n,1,286.5,1.2,
47.17538,7.56528,302.1,0.54,0.51,2017-05-27,0215,N,VIIRS,n,1,286.2,0.8,
47.17495,7.56418,326.4,0.39,0.36,2017-05-29,0138,N,VIIRS,n,1,285.8,1.8,
47.17457,7.56308,338.8,0.41,0.37,2017-05-31,1226,N,VIIRS,n,1,298.5,5.9,
47.17471,7.56323,324.6,0.46,0.39,2017-06-08,0150,N,VIIRS,n,1,277.7,3,
47.17389,7.56229,309.7,0.38,0.36,2017-06-09,0131,N,VIIRS,n,1,256.2,0.7,
47.17311,7.56601,304.7,0.47,0.4,2017-06-10,0113,N,VIIRS,n,1,285.2,2.1,
47.17438,7.56479,339,0.5,0.41,2017-06-10,1239,N,VIIRS,n,1,305.8,7.7,
47.17307,7.56592,296.1,0.42,0.45,2017-06-16,0100,N,VIIRS,n,1,282.4,0.6,
47.17368,7.5635,341.1,0.4,0.37,2017-06-17,1208,N,VIIRS,n,1,307.5,4.7,
47.1758,7.5626,296.9,0.58,0.7,2017-06-18,0022,N,VIIRS,n,1,285.2,1,
47.17576,7.56586,300.3,0.4,0.44,2017-06-18,0203,N,VIIRS,n,1,286.8,1,
47.17309,7.56575,298.8,0.42,0.37,2017-06-19,0144,N,VIIRS,n,1,288.5,1.4,
47.17353,7.56257,325.7,0.4,0.44,2017-07-04,0203,N,VIIRS,n,1,285.6,2.4,
47.17505,7.56389,338,0.41,0.37,2017-07-05,0144,N,VIIRS,n,1,289.1,2.3,
47.17553,7.56462,320.3,0.43,0.38,2017-07-17,0119,N,VIIRS,n,1,288,1.7,
47.1735,7.56348,343.3,0.39,0.44,2017-07-17,1245,N,VIIRS,n,1,308,4.7,
47.17434,7.56228,296.9,0.5,0.66,2017-07-18,0240,N,VIIRS,n,1,285.6,0.6,
47.17322,7.56352,339.1,0.41,0.37,2017-07-18,1226,N,VIIRS,n,1,309.1,6.4,
47.17325,7.56459,328.5,0.39,0.36,2017-08-01,0138,N,VIIRS,n,1,289.7,3.1,
47.1735,7.56339,331.6,0.43,0.38,2017-08-02,0119,N,VIIRS,n,1,289.4,3.3,
47.17535,7.56405,299,0.43,0.62,2017-08-14,0234,N,VIIRS,n,1,284.1,0.7,
47.1745,7.56362,328.1,0.39,0.36,2017-08-17,0138,N,VIIRS,n,1,288.6,1.6,
47.17451,7.56348,323.9,0.4,0.44,2017-08-21,0203,N,VIIRS,n,1,283.6,1.7,
47.17411,7.56378,333.5,0.42,0.37,2017-08-22,0144,N,VIIRS,n,1,286.9,1.9,
46.91611,8.3875,308.3,0.41,0.37,2017-08-02,0119,N,VIIRS,n,1,287.2,0.7,
47.17255,7.56073,317.2,0.46,0.39,2017-03-04,0150,N,VIIRS,n,1,265.9,1.3,
47.17167,7.56413,296.8,0.42,0.45,2017-03-12,0100,N,VIIRS,n,1,268.8,1.1,
47.1715,7.56334,295.1,0.39,0.37,2017-03-16,0125,N,VIIRS,n,1,277,0.8,
47.17282,7.56047,330.3,0.45,0.39,2017-03-17,1233,N,VIIRS,n,1,294.9,2.6,
47.17152,7.56432,305.3,0.42,0.38,2017-03-27,0119,N,VIIRS,n,1,268.9,1.1,
47.17138,7.56169,296.6,0.42,0.37,2017-03-31,0144,N,VIIRS,n,1,275.2,1.9,
47.17163,7.56454,303.2,0.37,0.58,2017-04-03,0228,N,VIIRS,n,1,278.1,1,
47.17284,7.56203,304.9,0.41,0.61,2017-04-09,0035,N,VIIRS,n,1,280.3,1.2,
47.17282,7.5618,325.9,0.42,0.38,2017-04-12,0119,N,VIIRS,n,1,277,2.9,
47.17217,7.56395,307.3,0.42,0.45,2017-04-13,0100,N,VIIRS,n,1,280.9,0.8,
47.17202,7.56534,298.9,0.38,0.36,2017-04-22,0131,N,VIIRS,n,1,274.7,1.8,
47.17192,7.56047,297.4,0.52,0.41,2017-05-28,0157,N,VIIRS,n,1,284.6,1,
47.17167,7.56297,303.3,0.39,0.36,2017-05-29,0138,N,VIIRS,n,1,285.2,1.8,
47.17222,7.56208,311.8,0.42,0.37,2017-06-03,0144,N,VIIRS,n,1,284.8,1.6,
47.17236,7.56426,296.7,0.5,0.66,2017-06-16,0240,N,VIIRS,n,1,279.6,1.7,
47.17198,7.56106,295.6,0.5,0.66,2017-06-16,0240,N,VIIRS,n,1,279.2,1.4,
47.17242,7.56445,295.4,0.59,0.53,2017-06-22,0047,N,VIIRS,n,1,279,0.9,
47.17229,7.56398,298.6,0.37,0.58,2017-06-22,0228,N,VIIRS,n,1,288.5,0.7,
47.17282,7.56069,300,0.59,0.53,2017-07-08,0047,N,VIIRS,n,1,287.8,1.6,
47.17244,7.56133,311.5,0.46,0.39,2017-07-10,0150,N,VIIRS,n,1,286,2,
47.17281,7.56501,319.7,0.38,0.36,2017-07-11,0131,N,VIIRS,n,1,286,2.3,
47.17207,7.56368,311,0.43,0.38,2017-07-17,0119,N,VIIRS,n,1,287.5,1.5,
47.17204,7.56167,302.9,0.43,0.62,2017-07-29,0234,N,VIIRS,n,1,283.9,1.1,
47.17239,7.56153,304.8,0.42,0.61,2017-07-30,0035,N,VIIRS,n,1,286,1.1,
47.1713,7.56262,299.1,0.42,0.61,2017-07-30,0035,N,VIIRS,n,1,285.6,0.6,
47.17192,7.56185,301.8,0.4,0.37,2017-08-07,0125,N,VIIRS,n,1,286.5,1.2,
47.1727,7.55994,302,0.52,0.41,2017-08-16,0157,N,VIIRS,n,1,281.1,0.9,
47.17188,7.56204,301.3,0.54,0.42,2017-08-24,0107,N,VIIRS,n,1,289.4,1.2,
47.37611,7.41606,310.6,0.39,0.36,2017-08-01,0138,N,VIIRS,n,1,290.5,1.2,
47.23167,7.07097,304.7,0.39,0.36,2017-08-01,0138,N,VIIRS,n,1,285.1,0.4,
46.16935,8.57059,356.5,0.47,0.4,2017-04-20,1155,N,VIIRS,n,1,300.9,21.8,
46.17299,8.56976,342.7,0.47,0.4,2017-04-20,1155,N,VIIRS,n,1,290.2,21.8,
46.1766,8.56871,330.7,0.47,0.4,2017-04-20,1155,N,VIIRS,n,1,283.1,4.4,
46.17443,8.57485,325.6,0.47,0.4,2017-04-20,1155,N,VIIRS,n,1,287.8,6.9,
46.17326,8.56902,340.8,0.47,0.4,2017-04-20,1155,N,VIIRS,n,1,288.6,5.2,
