latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
46.91556,9.54993,297.9,0.4,0.4,2017-09-08,0124,N,VIIRS,n,1.0NRT,282.5,0.6,N
46.60757,6.31863,300.6,0.5,0.4,2017-09-14,0112,N,VIIRS,n,1.0NRT,281,0.7,N
47.17382,7.56487,340.5,0.4,0.5,2017-09-03,1242,N,VIIRS,n,1.0NRT,296.9,4.2,D
47.06815,8.26788,318,0.4,0.4,2017-09-14,0112,N,VIIRS,n,1.0NRT,285.1,1.6,N
47.17643,7.5611,311.1,0.4,0.5,2017-09-22,0200,N,VIIRS,n,1.0NRT,279.5,1.3,N
47.17587,7.5605,303.9,0.5,0.4,2017-09-25,0106,N,VIIRS,n,1.0NRT,281.5,1.3,N
47.17587,7.56303,338.5,0.4,0.4,2017-09-25,1230,N,VIIRS,n,1.0NRT,297.2,4.5,D
47.06916,8.26363,326.8,0.4,0.4,2017-10-04,0136,N,VIIRS,n,1.0NRT,280.7,1.7,N
47.17372,7.56522,327.6,0.4,0.4,2017-10-12,1212,N,VIIRS,n,1.0NRT,297.5,5,D
47.17653,7.56052,300.2,0.5,0.5,2017-10-13,0206,N,VIIRS,n,1.0NRT,280.3,1.1,N
47.17339,7.56352,321.1,0.5,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,283.1,2.9,N
47.06794,8.26632,296.9,0.59,0.53,2017-10-18,0212,N,VIIRS,n,1.0NRT,279.5,1.3,N
47.17583,7.56254,308.7,0.42,0.38,2017-10-25,0142,N,VIIRS,n,1.0NRT,264.8,0.9,N
47.06865,8.26398,326.5,0.39,0.36,2017-10-26,0124,N,VIIRS,n,1.0NRT,279.2,1.9,N
47.0679,8.269,296.7,0.39,0.36,2017-10-26,0124,N,VIIRS,n,1.0NRT,277.9,1.9,N
47.06425,8.2626,298.1,0.53,0.5,2017-10-28,0048,N,VIIRS,n,1.0NRT,271.4,1.2,N
47.07141,8.26518,304.7,0.56,0.43,2017-11-04,0154,N,VIIRS,n,1.0NRT,267.1,1.6,N
47.0706,8.26335,307.7,0.51,0.49,2017-11-14,0206,N,VIIRS,n,1.0NRT,272.4,2.4,N
47.17424,7.56458,313.6,0.41,0.45,2017-11-23,0100,N,VIIRS,n,1.0NRT,275.6,1.8,N
47.17604,7.56186,325.6,0.46,0.39,2017-12-01,0148,N,VIIRS,n,1.0NRT,269.2,3,N
46.17857,8.98418,329.7,0.4,0.4,2017-09-21,1206,N,VIIRS,n,1.0NRT,292,1.5,D
47.0717,8.26867,331.3,0.4,0.4,2017-09-05,1206,N,VIIRS,n,1.0NRT,300.4,2.4,D
47.07111,8.26637,333,0.4,0.4,2017-09-16,1200,N,VIIRS,n,1.0NRT,292.2,3.8,D
47.26597,8.17292,344.4,0.5,0.4,2017-09-27,1154,N,VIIRS,n,1.0NRT,288.8,4.3,D
47.33721,8.20721,327.5,0.5,0.4,2017-09-27,1154,N,VIIRS,n,1.0NRT,289.3,9.4,D
47.06957,8.26562,298.1,0.5,0.4,2017-10-11,0106,N,VIIRS,n,1.0NRT,274.3,0.9,N
47.07109,8.2673,311,0.4,0.37,2017-10-20,0136,N,VIIRS,n,1.0NRT,276.5,0.8,N
47.20977,8.47671,322.7,0.52,0.5,2017-10-28,0048,N,VIIRS,n,1.0NRT,270.2,2.8,N
47.06992,8.2659,300.9,0.45,0.63,2017-11-14,0024,N,VIIRS,n,1.0NRT,272.6,1.1,N
47.06958,8.26464,331.3,0.5,0.4,2017-09-25,1230,N,VIIRS,n,1.0NRT,294.6,2.3,D
47.07003,8.26572,328,0.5,0.4,2017-09-27,1154,N,VIIRS,n,1.0NRT,290.7,2.6,D
47.17382,7.56418,329.7,0.4,0.4,2017-10-04,0136,N,VIIRS,n,1.0NRT,282.4,4.4,N
47.06831,8.26528,305.7,0.38,0.59,2017-10-18,0036,N,VIIRS,n,1.0NRT,280.9,1.1,N
47.07158,8.26815,307.2,0.39,0.36,2017-10-31,0130,N,VIIRS,n,1.0NRT,261.6,1.1,N
47.07009,8.26629,331.6,0.42,0.37,2017-11-03,1200,N,VIIRS,n,1.0NRT,290.2,3.1,D
