latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.32243,44.53702,327.4,0.39,0.36,2017-08-30,2256,N,VIIRS,n,1,293.5,2,
39.19662,37.51662,341.9,0.39,0.36,2017-04-03,1030,N,VIIRS,n,1,300.7,11.7,
39.17767,30.95667,302.3,0.41,0.45,2017-06-29,0017,N,VIIRS,n,1,288.9,0.6,
39.153,39.1198,350.2,0.59,0.53,2017-08-01,0940,N,VIIRS,n,1,311.6,12.9,
39.1548,39.11481,337.2,0.32,0.55,2017-08-02,1101,N,VIIRS,l,1,307.5,2.7,
39.21801,39.42958,304.6,0.36,0.57,2017-08-10,2230,N,VIIRS,n,1,292.5,1.8,
39.19238,39.66827,347.9,0.57,0.43,2017-08-11,0952,N,VIIRS,n,1,319.2,75.2,
39.21819,39.43294,340.1,0.39,0.44,2017-08-11,0952,N,VIIRS,n,1,314.8,7,
39.17941,38.10081,355.8,0.45,0.47,2017-08-11,0953,N,VIIRS,n,1,322,15.8,
39.18715,39.44708,318.6,0.48,0.4,2017-08-12,2333,N,VIIRS,n,1,292.6,2.2,
36.73121,36.21421,297.4,0.56,0.43,2017-01-23,2303,N,VIIRS,n,1,282,0.8,
36.71783,36.20313,312.1,0.54,0.51,2017-01-29,2250,N,VIIRS,n,1,271.7,1.5,
36.73448,36.20822,298.6,0.42,0.45,2017-01-31,2353,N,VIIRS,n,1,275,2.1,
37.01314,35.89805,330.7,0.52,0.42,2017-02-02,1055,N,VIIRS,n,1,295.1,5.1,
36.71745,36.20318,315,0.42,0.38,2017-02-02,2315,N,VIIRS,n,1,276,2.2,
36.73812,36.21008,307.5,0.39,0.36,2017-02-07,2322,N,VIIRS,n,1,287.8,1,
36.73545,36.20497,300.4,0.39,0.36,2017-02-07,2322,N,VIIRS,n,1,285.4,1,
36.73099,36.21031,297.9,0.61,0.53,2017-02-11,0006,N,VIIRS,n,1,283.6,2.4,
36.73104,36.21057,306.4,0.41,0.37,2017-02-17,2334,N,VIIRS,n,1,283,1.2,
37.01604,36.10806,298.9,0.46,0.47,2017-02-19,2256,N,VIIRS,n,1,277.9,1.3,
36.73582,36.2123,295,0.45,0.47,2017-02-19,2256,N,VIIRS,n,1,279.9,0.8,
37.05709,36.06696,329.9,0.53,0.5,2017-02-21,0958,N,VIIRS,n,1,300.1,3.8,
36.73359,36.21187,302.8,0.5,0.49,2017-02-21,2359,N,VIIRS,n,1,281.2,0.7,
36.7379,36.21117,298.1,0.45,0.39,2017-02-22,2340,N,VIIRS,n,1,284.5,1.2,
36.74989,36.22149,295.1,0.33,0.56,2017-02-25,2244,N,VIIRS,n,1,281.7,0.4,
36.86923,35.9181,304.5,0.4,0.44,2017-03-04,2353,N,VIIRS,n,1,281.2,1.6,
36.73835,36.21087,308.1,0.41,0.45,2017-03-04,2353,N,VIIRS,n,1,284.6,2,
36.73431,36.2095,324.7,0.41,0.45,2017-03-04,2353,N,VIIRS,n,1,283.7,2,
36.73665,36.20869,302.5,0.41,0.37,2017-03-05,2334,N,VIIRS,n,1,287,1.8,
36.73592,36.20901,303.5,0.42,0.38,2017-03-06,2315,N,VIIRS,n,1,288.3,1,
36.7164,36.20425,324.8,0.48,0.4,2017-03-17,2309,N,VIIRS,n,1,268.8,1.2,
36.71936,36.20344,300.5,0.4,0.37,2017-03-21,2334,N,VIIRS,n,1,284.3,0.8,
36.69017,36.20658,306.5,0.4,0.37,2017-03-21,2334,N,VIIRS,n,1,286.2,1.7,
36.73706,36.2104,301.8,0.45,0.47,2017-03-23,2256,N,VIIRS,n,1,287.1,1.3,
37.01358,36.10145,299.8,0.42,0.61,2017-03-24,2237,N,VIIRS,n,1,280.4,1.8,
36.73723,36.21007,298.5,0.45,0.39,2017-03-26,2340,N,VIIRS,n,1,287.9,1.5,
36.74092,36.20963,303.4,0.57,0.43,2017-03-28,2302,N,VIIRS,n,1,286.8,2,
36.75011,36.20739,310.9,0.53,0.67,2017-03-30,0024,N,VIIRS,n,1,283.1,1.6,
36.74709,36.20594,334.4,0.6,0.53,2017-03-31,0005,N,VIIRS,n,1,285,5.8,
37.01284,36.10182,320.9,0.52,0.67,2017-04-04,2231,N,VIIRS,n,1,283.6,3.3,
36.7323,36.21072,309,0.4,0.37,2017-04-06,2334,N,VIIRS,n,1,290.6,1.7,
37.02176,36.10859,295.1,0.42,0.61,2017-04-09,2237,N,VIIRS,n,1,281.8,1.9,
37.01629,36.10328,324.2,0.42,0.61,2017-04-09,2237,N,VIIRS,n,1,279.4,2.9,
37.01343,36.10573,331.7,0.53,0.5,2017-04-10,0958,N,VIIRS,l,1,301.9,5.1,
36.7304,36.21335,301.8,0.49,0.49,2017-04-10,2359,N,VIIRS,n,1,286.8,0.9,
36.73132,36.21096,300.5,0.39,0.36,2017-04-17,2328,N,VIIRS,n,1,289.8,0.6,
36.72802,36.21014,298.9,0.39,0.36,2017-04-17,2328,N,VIIRS,n,1,287.3,0.6,
36.73225,36.20678,302.3,0.48,0.4,2017-04-18,2309,N,VIIRS,n,1,288.1,0.9,
37.02315,36.11054,296.8,0.46,0.47,2017-04-24,2256,N,VIIRS,n,1,285.4,0.8,
36.69048,36.20781,304.9,0.45,0.47,2017-04-24,2256,N,VIIRS,n,1,287.8,1.7,
37.01294,36.10725,298.2,0.42,0.61,2017-04-25,2237,N,VIIRS,n,1,284.7,2,
37.01163,36.10586,326.6,0.42,0.61,2017-04-25,2237,N,VIIRS,n,1,285.7,2.9,
37.01189,36.10118,308.5,0.42,0.61,2017-04-25,2237,N,VIIRS,n,1,283.3,3.2,
36.75034,36.22058,297.2,0.41,0.61,2017-04-25,2237,N,VIIRS,n,1,286.8,0.8,
36.72857,36.21043,305,0.5,0.49,2017-04-26,2359,N,VIIRS,n,1,289.6,1,
36.93105,35.99897,302.1,0.39,0.36,2017-04-28,2321,N,VIIRS,n,1,286.9,0.9,
36.71637,36.20251,320.6,0.56,0.43,2017-04-29,2302,N,VIIRS,n,1,288.6,2.1,
36.73306,36.20977,343.5,0.39,0.36,2017-05-05,1029,N,VIIRS,n,1,298.3,5.2,
36.73513,36.21107,312.3,0.41,0.45,2017-05-07,2353,N,VIIRS,n,1,289.3,1.6,
36.72304,36.20692,312.1,0.41,0.45,2017-05-07,2353,N,VIIRS,n,1,286.6,1.8,
36.69281,36.20658,301.4,0.41,0.45,2017-05-07,2353,N,VIIRS,n,1,288.5,0.7,
36.72935,36.21075,310.1,0.4,0.37,2017-05-08,2334,N,VIIRS,n,1,291.4,1,
36.7445,36.20391,332.9,0.47,0.4,2017-05-11,1017,N,VIIRS,l,1,306.7,3.9,
37.01495,36.1035,335.8,0.53,0.5,2017-05-12,0958,N,VIIRS,l,1,310,4.5,
36.73375,36.2071,302.8,0.5,0.49,2017-05-12,2359,N,VIIRS,n,1,291.1,1.9,
36.74715,36.20427,325.2,0.45,0.39,2017-05-13,2340,N,VIIRS,n,1,291.4,1.7,
36.74529,36.20255,305.4,0.39,0.36,2017-05-14,2321,N,VIIRS,n,1,290.9,0.7,
36.74464,36.20691,302.1,0.39,0.36,2017-05-14,2321,N,VIIRS,n,1,291.2,0.6,
36.7194,36.20347,308.4,0.39,0.36,2017-05-14,2321,N,VIIRS,n,1,291.7,0.9,
36.71608,36.20272,329.1,0.39,0.36,2017-05-14,2321,N,VIIRS,n,1,291.2,3.3,
37.01287,36.10204,298.4,0.46,0.47,2017-05-26,2256,N,VIIRS,n,1,286.7,1.5,
37.01569,36.105,321.5,0.42,0.61,2017-05-27,2237,N,VIIRS,n,1,288.7,1.2,
37.02038,36.10992,299.2,0.42,0.61,2017-05-27,2237,N,VIIRS,n,1,287.8,0.7,
37.01542,36.09542,298.7,0.42,0.61,2017-05-27,2237,N,VIIRS,n,1,287.5,0.9,
36.7429,36.20577,306.1,0.42,0.61,2017-05-27,2237,N,VIIRS,n,1,289.1,2.3,
36.72434,36.20765,301.5,0.44,0.62,2017-05-28,0018,N,VIIRS,n,1,287.1,1.6,
36.93234,36.00274,300.3,0.39,0.36,2017-05-30,2321,N,VIIRS,n,1,289.4,0.7,
36.73365,36.21025,308.1,0.39,0.36,2017-05-30,2321,N,VIIRS,n,1,290.6,0.8,
36.72969,36.21386,303.7,0.39,0.36,2017-05-30,2321,N,VIIRS,n,1,292.1,0.8,
37.02304,36.11123,300.5,0.38,0.43,2017-05-31,2302,N,VIIRS,n,1,288.8,0.9,
37.02144,36.12847,297.2,0.52,0.66,2017-06-02,0024,N,VIIRS,n,1,286.9,0.6,
36.72681,36.20974,303.2,0.52,0.41,2017-06-03,2346,N,VIIRS,n,1,290,1.5,
36.73357,36.2069,339,0.39,0.36,2017-06-06,1029,N,VIIRS,l,1,307.7,12.7,
37.01073,36.10614,308.2,0.52,0.67,2017-06-07,2231,N,VIIRS,n,1,290.2,1.8,
36.72879,36.21307,333.2,0.39,0.36,2017-06-11,1036,N,VIIRS,l,1,306.4,6.3,
37.01494,36.10551,301.9,0.46,0.47,2017-06-11,2256,N,VIIRS,n,1,290.8,0.8,
37.02292,36.11268,303.3,0.48,0.48,2017-06-13,2359,N,VIIRS,n,1,291.2,1.2,
36.73704,36.20557,305.5,0.57,0.43,2017-06-16,2302,N,VIIRS,n,1,294.4,2.1,
37.02231,36.10914,301.7,0.35,0.56,2017-06-17,2243,N,VIIRS,n,1,287.8,0.9,
36.72931,36.21073,304.3,0.56,0.51,2017-06-22,2250,N,VIIRS,n,1,292.9,1.5,
36.93134,36.00006,309.4,0.4,0.37,2017-06-25,2334,N,VIIRS,n,1,294.8,1.4,
36.73978,36.21146,315.2,0.4,0.37,2017-06-25,2334,N,VIIRS,n,1,299.6,2.7,
36.73102,36.21099,313.2,0.45,0.39,2017-06-30,2340,N,VIIRS,n,1,299.9,3,
36.73501,36.20686,312.3,0.39,0.36,2017-07-01,2321,N,VIIRS,n,1,300.7,2.8,
36.73437,36.21123,312.7,0.39,0.36,2017-07-01,2321,N,VIIRS,n,1,301.1,2.1,
