latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
38.1778,39.57108,340.2,0.51,0.41,2017-10-19,0954,N,VIIRS,n,1.0NRT,309.5,5.4,D
36.84739,39.50379,343.8,0.55,0.68,2017-11-22,0918,N,VIIRS,n,1.0NRT,289.9,6.4,D
37.0442,39.70111,330.8,0.39,0.36,2017-12-26,1018,N,VIIRS,n,1.0NRT,295.2,4.5,D
37.79086,38.58855,305.1,0.5,0.4,2017-09-18,2336,N,VIIRS,n,1.0NRT,292.9,0.9,N
37.81979,38.60461,337.3,0.4,0.4,2017-10-07,1024,N,VIIRS,n,1.0NRT,311.1,2.6,D
37.81282,38.53278,302.6,0.5,0.7,2017-10-08,2224,N,VIIRS,n,1.0NRT,283.3,0.9,N
37.78508,38.53497,336.2,0.4,0.4,2017-10-13,1006,N,VIIRS,l,1.0NRT,309.7,4.9,D
38.45431,38.72971,306.1,0.5,0.4,2017-09-13,2330,N,VIIRS,n,1.0NRT,293.4,0.5,N
37.82506,38.84697,353.6,0.7,0.8,2017-09-14,0912,N,VIIRS,n,1.0NRT,315.2,9.2,D
38.45343,38.72863,311.1,0.4,0.4,2017-09-19,2318,N,VIIRS,n,1.0NRT,294.5,1.2,N
37.87991,38.86125,336.3,0.5,0.5,2017-09-23,0942,N,VIIRS,l,1.0NRT,307.8,4.3,D
38.4547,38.72695,310.4,0.4,0.4,2017-09-24,2324,N,VIIRS,n,1.0NRT,292.9,0.8,N
37.71495,38.75165,335.6,0.4,0.4,2017-10-12,1030,N,VIIRS,n,1.0NRT,307.9,0.7,D
37.43499,38.46703,308,0.5,0.4,2017-09-02,2336,N,VIIRS,n,1.0NRT,294,1.3,N
37.57279,37.81288,318.1,0.4,0.4,2017-09-03,2318,N,VIIRS,n,1.0NRT,293.2,1.4,N
37.5507,38.44127,346.5,0.5,0.4,2017-09-04,1042,N,VIIRS,l,1.0NRT,320.7,19.8,D
37.07037,37.43154,300,0.3,0.6,2017-09-07,0006,N,VIIRS,n,1.0NRT,288.6,0.4,N
37.57838,37.81241,345.5,0.6,0.7,2017-09-07,1124,N,VIIRS,n,1.0NRT,309.6,8.5,D
37.66045,38.3763,367,0.4,0.6,2017-09-13,0930,N,VIIRS,n,1.0NRT,320.6,8.5,D
37.75632,38.19619,344.2,0.4,0.4,2017-09-16,1018,N,VIIRS,l,1.0NRT,315.8,8.4,D
37.78909,38.16161,367,0.4,0.5,2017-09-17,0954,N,VIIRS,n,1.0NRT,339.4,50.2,D
37.62777,38.10909,354.5,0.4,0.6,2017-09-18,0936,N,VIIRS,n,1.0NRT,313.4,5.7,D
37.5186,38.40252,367,0.5,0.4,2017-09-20,1042,N,VIIRS,l,1.0NRT,329.8,55.4,D
37.36074,38.53592,303.3,0.4,0.6,2017-09-23,0006,N,VIIRS,n,1.0NRT,287.7,0.4,N
37.8232,38.69341,340.4,0.5,0.5,2017-09-23,0942,N,VIIRS,l,1.0NRT,314.6,19.8,D
37.7547,38.10447,295.3,0.4,0.4,2017-09-25,2306,N,VIIRS,n,1.0NRT,274.5,0.7,N
37.40643,37.62402,349,0.5,0.4,2017-09-27,1006,N,VIIRS,n,1.0NRT,311.4,9.9,D
37.57307,38.46079,367,0.8,0.8,2017-09-28,1130,N,VIIRS,n,1.0NRT,304,21.7,D
37.78836,38.70098,332.4,0.7,0.8,2017-09-30,0912,N,VIIRS,n,1.0NRT,295.6,2.3,D
37.69939,38.43787,333,0.4,0.4,2017-10-02,1018,N,VIIRS,l,1.0NRT,308,2.9,D
37.55511,38.84483,347.8,0.3,0.6,2017-10-04,0936,N,VIIRS,n,1.0NRT,311.8,2.8,D
37.81212,38.75077,339.9,0.3,0.6,2017-10-04,0936,N,VIIRS,n,1.0NRT,304.8,3.4,D
37.1682,37.36205,336.3,0.5,0.6,2017-10-04,1118,N,VIIRS,n,1.0NRT,306.3,3.1,D
37.53727,37.34258,351.1,0.5,0.7,2017-10-04,1118,N,VIIRS,n,1.0NRT,307.5,5.7,D
37.73043,38.54056,348.5,0.6,0.7,2017-10-05,0918,N,VIIRS,n,1.0NRT,306.1,6.4,D
37.73808,38.54243,345.8,0.6,0.7,2017-10-05,0918,N,VIIRS,n,1.0NRT,308.2,11,D
37.68487,38.56626,302.4,0.5,0.4,2017-10-06,2300,N,VIIRS,n,1.0NRT,280.8,1,N
37.80353,38.51684,320.6,0.7,0.8,2017-10-08,0024,N,VIIRS,n,1.0NRT,280.7,8.2,N
37.68387,38.24547,341.5,0.6,0.5,2017-10-09,0942,N,VIIRS,n,1.0NRT,302.1,11.7,D
37.56876,37.29865,341.8,0.3,0.6,2017-10-09,0942,N,VIIRS,n,1.0NRT,302.5,3.7,D
37.65897,38.37241,349.9,0.4,0.6,2017-10-15,1112,N,VIIRS,n,1.0NRT,307.9,15.9,D
37.79569,38.16634,339.9,0.4,0.37,2017-10-18,1018,N,VIIRS,n,1.0NRT,308.5,2.4,D
37.69592,38.08743,295.1,0.53,0.67,2017-10-19,0018,N,VIIRS,n,1.0NRT,283.3,0.8,N
37.75475,38.44767,332.4,0.58,0.52,2017-10-21,1100,N,VIIRS,l,1.0NRT,303.3,2.9,D
