latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
48.85676,39.20049,367,0.4,0.6,2017-09-09,0912,N,VIIRS,n,1.0NRT,300.4,7.4,D
48.15423,39.16185,330.8,0.6,0.7,2017-09-18,1124,N,VIIRS,n,1.0NRT,303,2.7,D
49.16861,37.85213,329.9,0.6,0.4,2017-10-04,0942,N,VIIRS,n,1.0NRT,287.8,3.6,D
47.09505,37.60856,335.9,0.4,0.4,2017-09-17,1000,N,VIIRS,l,1.0NRT,309,5.9,D
48.05819,37.95155,296.1,0.5,0.4,2017-09-14,2312,N,VIIRS,n,1.0NRT,286,0.9,N
48.09794,38.51587,328.2,0.5,0.4,2017-09-23,0948,N,VIIRS,n,1.0NRT,296.2,3.3,D
49.39405,38.97942,330.8,0.4,0.5,2017-09-29,0936,N,VIIRS,n,1.0NRT,291.6,2.2,D
47.99928,38.32257,342.7,0.4,0.4,2017-09-22,1006,N,VIIRS,n,1.0NRT,304.6,39.4,D
47.90587,39.76416,342,0.5,0.5,2017-09-04,1042,N,VIIRS,n,1.0NRT,300.2,7.3,D
47.90542,39.75755,355,0.5,0.5,2017-09-04,1042,N,VIIRS,n,1.0NRT,302.8,12.3,D
48.46064,39.623,334.2,0.5,0.5,2017-09-04,1042,N,VIIRS,n,1.0NRT,302.2,4.4,D
48.47765,39.7214,367,0.5,0.7,2017-09-10,0848,N,VIIRS,n,1.0NRT,297.3,18.5,D
48.41948,39.61391,332.4,0.5,0.4,2017-09-10,1030,N,VIIRS,n,1.0NRT,300.4,21.3,D
48.47337,39.44096,367,0.7,0.8,2017-09-16,0836,N,VIIRS,n,1.0NRT,300,77.8,D
48.08728,39.47408,367,0.4,0.6,2017-09-19,1100,N,VIIRS,n,1.0NRT,299.7,5.8,D
48.21513,39.71121,337,0.4,0.6,2017-09-20,0900,N,VIIRS,n,1.0NRT,302.2,3.4,D
47.83114,39.49665,338.6,0.5,0.5,2017-09-20,1042,N,VIIRS,n,1.0NRT,308.4,4.5,D
48.395,39.42275,367,0.5,0.5,2017-09-20,1042,N,VIIRS,n,1.0NRT,309.6,19.9,D
49.05951,39.70288,340.5,0.4,0.4,2017-09-11,1012,N,VIIRS,n,1.0NRT,305.1,6.4,D
49.21848,39.52642,347.5,0.5,0.4,2017-09-18,0942,N,VIIRS,n,1.0NRT,310.1,7.1,D
48.85504,39.3931,335.3,0.4,0.6,2017-09-20,0906,N,VIIRS,n,1.0NRT,299.8,3.4,D
48.87677,39.53334,340.7,0.5,0.5,2017-09-20,1042,N,VIIRS,n,1.0NRT,305,11.4,D
45.19502,35.75026,353.5,0.4,0.6,2017-10-04,1118,N,VIIRS,n,1.0NRT,302.4,9.3,D
