latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.56948,-0.29821,327.1,0.57,0.43,2017-01-24,1210,N,VIIRS,n,1,279.5,5.5,
51.93839,0.1027,296.8,0.45,0.47,2017-03-21,0130,N,VIIRS,n,1,274.9,0.8,
51.88723,-0.0013,326.1,0.38,0.36,2017-04-07,1240,N,VIIRS,n,1,293.3,1.8,
51.54547,-0.41904,345.1,0.46,0.39,2017-04-08,1221,N,VIIRS,n,1,295,5.2,
51.52491,0.27184,333.1,0.39,0.37,2017-04-12,1247,N,VIIRS,n,1,290.2,2.8,
51.2919,1.20615,329,0.38,0.36,2017-04-18,1234,N,VIIRS,n,1,287.3,1.3,
51.701,0.14398,326.4,0.39,0.36,2017-04-18,1234,N,VIIRS,n,1,287.5,1.3,
51.51191,-0.21508,345.3,0.42,0.61,2017-06-14,0317,N,VIIRS,n,1,285.5,3.7,
51.54385,-0.41644,332,0.39,0.44,2017-06-17,1209,N,VIIRS,n,1,296.9,1.7,
51.78327,0.04146,331.5,0.39,0.44,2017-06-19,1312,N,VIIRS,n,1,300.5,2.5,
52.11645,-0.3276,338.4,0.57,0.43,2017-06-19,1312,N,VIIRS,n,1,300.6,7.6,
51.52462,0.27052,329.2,0.49,0.4,2017-06-22,1215,N,VIIRS,n,1,299.5,2,
51.5093,0.44498,297.6,0.44,0.39,2017-06-24,0149,N,VIIRS,n,1,285.6,0.8,
51.50578,0.44388,308.9,0.44,0.39,2017-06-24,0149,N,VIIRS,n,1,285.9,0.8,
51.50503,0.45025,301.3,0.44,0.39,2017-06-24,0149,N,VIIRS,n,1,286.1,0.8,
51.52491,0.26896,329.5,0.38,0.36,2017-06-26,1240,N,VIIRS,n,1,301,2.2,
51.51485,0.18028,337.8,0.38,0.36,2017-06-26,1240,N,VIIRS,n,1,299.7,6.7,
51.26585,-1.24075,367,0.46,0.47,2017-08-16,1325,N,VIIRS,h,1,290.6,10.5,
51.07964,-1.15295,342,0.39,0.36,2017-04-07,1240,N,VIIRS,n,1,295.1,3.2,
51.0829,-1.15432,347.1,0.39,0.36,2017-04-07,1240,N,VIIRS,n,1,297,7.6,
51.08696,-0.87645,335.5,0.55,0.51,2017-05-06,1157,N,VIIRS,n,1,288,16.6,
51.07802,0.62376,330.9,0.48,0.48,2017-05-22,1156,N,VIIRS,n,1,295.9,3.2,
51.11494,-0.1013,296.5,0.5,0.49,2017-06-26,0252,N,VIIRS,n,1,281.6,7.7,
51.14096,-0.26453,331.6,0.4,0.37,2017-06-21,1234,N,VIIRS,n,1,298.3,1,
53.56796,-0.59074,325.5,0.43,0.38,2017-01-02,1223,N,VIIRS,n,1,275.8,1.7,
53.56872,-0.59007,306.4,0.38,0.36,2017-01-03,0215,N,VIIRS,n,1,269.5,1.2,
53.56739,-0.58932,313.7,0.56,0.43,2017-01-10,0143,N,VIIRS,n,1,275.3,1.7,
53.566,-0.59024,304.8,0.35,0.57,2017-01-21,0317,N,VIIRS,n,1,273.2,1.4,
53.56647,-0.59114,338.6,0.39,0.44,2017-03-15,1312,N,VIIRS,n,1,290.4,4.4,
53.56861,-0.59009,330.7,0.5,0.49,2017-03-21,0130,N,VIIRS,n,1,277,2.9,
53.56519,-0.58863,308.3,0.58,0.52,2017-04-01,0123,N,VIIRS,n,1,269,1.9,
53.56595,-0.58979,308.3,0.45,0.39,2017-04-10,0155,N,VIIRS,n,1,277.5,1.4,
53.56718,-0.58762,301.1,0.71,0.75,2017-04-19,0046,N,VIIRS,n,1,271.5,2.5,
53.56731,-0.58967,304.9,0.41,0.37,2017-05-05,0227,N,VIIRS,n,1,277.1,0.9,
53.56998,-0.59104,298,0.61,0.53,2017-05-24,0310,N,VIIRS,n,1,279.3,0.7,
53.56631,-0.58888,316,0.61,0.71,2017-05-26,0052,N,VIIRS,n,1,285.2,3.2,
53.56622,-0.58984,298.1,0.44,0.38,2017-05-26,0233,N,VIIRS,n,1,284.6,0.7,
53.5658,-0.5869,299.7,0.58,0.52,2017-06-04,0124,N,VIIRS,n,1,279.5,1.4,
53.5695,-0.59132,331.4,0.43,0.38,2017-06-11,1222,N,VIIRS,n,1,293.1,2.8,
53.5679,-0.59014,306.9,0.38,0.36,2017-06-12,0214,N,VIIRS,n,1,279.5,1.1,
53.5685,-0.59256,329.5,0.44,0.39,2017-01-02,0234,N,VIIRS,n,1,276,2.4,
53.5684,-0.60429,310.2,0.45,0.39,2017-01-04,0156,N,VIIRS,n,1,277.2,1.7,
53.56762,-0.59755,299.2,0.45,0.39,2017-01-04,0156,N,VIIRS,n,1,279,1.8,
53.56817,-0.59796,305,0.56,0.43,2017-01-10,0143,N,VIIRS,n,1,276.9,1.7,
53.56894,-0.59335,327.5,0.7,0.75,2017-01-13,0046,N,VIIRS,n,1,272.2,5.6,
53.57096,-0.59727,306.4,0.41,0.37,2017-01-13,0227,N,VIIRS,n,1,271.8,0.8,
53.56988,-0.59585,298.6,0.39,0.36,2017-01-14,0208,N,VIIRS,n,1,272.4,0.8,
53.5678,-0.60063,326.8,0.45,0.47,2017-01-14,1158,N,VIIRS,n,1,277.8,3.9,
53.56663,-0.59575,321.5,0.33,0.55,2017-01-22,0118,N,VIIRS,n,1,274.3,2.2,
53.56825,-0.5939,304.1,0.47,0.48,2017-01-22,0258,N,VIIRS,n,1,273.3,1.5,
53.56863,-0.60405,311.4,0.41,0.37,2017-01-29,0227,N,VIIRS,n,1,274.3,1.4,
53.56751,-0.59806,305.2,0.41,0.37,2017-01-29,0227,N,VIIRS,n,1,275.8,1.4,
53.56744,-0.59603,321.2,0.73,0.76,2017-02-04,0354,N,VIIRS,n,1,275.1,6.2,
53.57088,-0.59796,307.1,0.73,0.76,2017-02-04,0354,N,VIIRS,n,1,273.9,2.5,
53.57003,-0.59362,295.2,0.45,0.39,2017-02-05,0156,N,VIIRS,n,1,268.3,0.7,
53.57037,-0.59893,297.5,0.41,0.37,2017-02-14,0227,N,VIIRS,n,1,274.2,0.9,
53.56707,-0.60067,339.8,0.41,0.37,2017-02-14,0227,N,VIIRS,n,1,278.5,5.2,
53.56813,-0.59841,306.2,0.58,0.52,2017-02-28,0124,N,VIIRS,n,1,269.4,3.5,
53.56573,-0.5986,325.8,0.54,0.42,2017-03-01,0246,N,VIIRS,n,1,274.1,3.2,
53.56689,-0.59527,297.7,0.51,0.66,2017-03-09,0335,N,VIIRS,n,1,276.4,1.3,
53.56765,-0.6014,301.9,0.39,0.36,2017-03-13,0220,N,VIIRS,n,1,279.2,2.2,
53.56636,-0.59907,327.1,0.41,0.37,2017-03-14,0201,N,VIIRS,n,1,269.3,1.9,
53.56702,-0.60346,312.5,0.58,0.52,2017-03-16,0124,N,VIIRS,n,1,274,2.7,
53.56747,-0.5935,331.5,0.39,0.36,2017-03-19,0208,N,VIIRS,n,1,277,3.9,
53.56692,-0.60439,327.4,0.46,0.39,2017-03-21,1300,N,VIIRS,n,1,286.9,3.3,
53.56682,-0.59479,329,0.38,0.36,2017-03-24,0214,N,VIIRS,n,1,278.5,2.1,
53.56973,-0.59421,314.2,0.45,0.39,2017-03-25,0155,N,VIIRS,n,1,272,1.7,
53.56618,-0.59537,305.7,0.45,0.39,2017-03-25,0155,N,VIIRS,n,1,269.9,1.3,
53.56898,-0.59375,302.1,0.51,0.66,2017-03-25,0335,N,VIIRS,n,1,272.5,1.1,
53.56618,-0.59321,338.7,0.46,0.63,2017-04-02,0104,N,VIIRS,n,1,279.2,4.3,
53.56944,-0.5973,296.3,0.39,0.36,2017-04-04,0208,N,VIIRS,n,1,268.5,0.9,
53.56985,-0.59606,316.2,0.6,0.53,2017-04-06,0310,N,VIIRS,n,1,276.7,3.6,
53.56774,-0.59652,327,0.6,0.53,2017-04-06,0310,N,VIIRS,n,1,278.6,3,
53.56898,-0.5943,333.9,0.46,0.39,2017-04-06,1300,N,VIIRS,n,1,289,3.5,
53.56673,-0.59859,304.6,0.39,0.59,2017-04-07,0111,N,VIIRS,n,1,277.4,2.9,
53.56799,-0.59211,329.4,0.44,0.38,2017-04-08,0233,N,VIIRS,n,1,279.7,3,
53.56586,-0.60406,307.9,0.72,0.76,2017-04-09,0354,N,VIIRS,n,1,278.1,1.8,
53.56894,-0.59313,324.9,0.54,0.42,2017-04-18,0245,N,VIIRS,n,1,275.7,2.5,
53.56646,-0.59914,318.2,0.5,0.41,2017-04-21,0149,N,VIIRS,n,1,281.3,3.6,
53.56762,-0.59916,337.7,0.38,0.36,2017-04-23,1241,N,VIIRS,n,1,298.6,5.9,
53.56899,-0.59191,302.5,0.38,0.36,2017-04-25,0214,N,VIIRS,n,1,273.4,1.3,
53.56774,-0.60208,308.9,0.45,0.39,2017-04-26,0155,N,VIIRS,n,1,274.7,2.1,
53.57059,-0.6034,325.6,0.51,0.5,2017-04-26,1325,N,VIIRS,n,1,286,2.9,
53.56974,-0.59667,314.6,0.34,0.56,2017-04-28,0117,N,VIIRS,n,1,278.9,2.6,
53.56826,-0.59312,332.5,0.46,0.47,2017-04-28,0258,N,VIIRS,n,1,277.3,4.1,
53.56995,-0.59958,311,0.46,0.47,2017-04-28,0258,N,VIIRS,n,1,277.1,2.5,
53.56681,-0.5925,329.5,0.47,0.4,2017-05-05,1216,N,VIIRS,n,1,295.1,3.7,
53.56932,-0.59621,326.2,0.39,0.36,2017-05-06,0208,N,VIIRS,n,1,279.7,2.5,
53.56668,-0.59626,306.6,0.45,0.39,2017-05-12,0155,N,VIIRS,n,1,280.8,1.8,
53.56904,-0.5925,314.6,0.35,0.56,2017-05-13,0317,N,VIIRS,n,1,280.3,1.3,
53.56723,-0.59257,334.9,0.4,0.37,2017-05-14,1247,N,VIIRS,n,1,298.3,4,
53.56946,-0.5943,300.8,0.48,0.4,2017-05-15,0239,N,VIIRS,n,1,277.4,1.6,
53.57093,-0.60005,313.8,0.39,0.6,2017-05-18,0323,N,VIIRS,n,1,280,1.5,
53.5669,-0.59881,326.4,0.41,0.37,2017-05-21,0227,N,VIIRS,n,1,282.5,2.4,
53.5679,-0.59662,326,0.39,0.36,2017-05-22,0208,N,VIIRS,n,1,283.5,2.6,
53.57077,-0.59901,296.9,0.5,0.41,2017-05-23,0149,N,VIIRS,n,1,283,0.8,
53.56703,-0.6001,315.8,0.5,0.41,2017-05-23,0149,N,VIIRS,n,1,285,3.3,
53.56616,-0.59871,326.6,0.39,0.59,2017-05-25,0111,N,VIIRS,n,1,286.6,1.8,
53.56916,-0.59204,329.1,0.38,0.36,2017-05-27,0214,N,VIIRS,n,1,287.9,1.7,
53.56681,-0.59918,330,0.38,0.36,2017-05-27,0214,N,VIIRS,n,1,290.7,2.6,
53.56591,-0.59348,316.3,0.38,0.36,2017-05-27,0214,N,VIIRS,n,1,287.1,2.6,
53.56522,-0.59755,325.4,0.59,0.53,2017-05-28,1145,N,VIIRS,n,1,289.7,4.1,
53.56649,-0.5938,339.7,0.48,0.4,2017-05-31,0239,N,VIIRS,n,1,284.4,3.4,
53.56863,-0.59938,334.7,0.73,0.76,2017-05-31,1409,N,VIIRS,n,1,297.4,8,
53.57004,-0.60255,307.1,0.41,0.37,2017-06-02,0201,N,VIIRS,n,1,272.4,1.3,
53.56624,-0.59622,325.8,0.58,0.52,2017-06-04,0124,N,VIIRS,n,1,283.3,4.9,
53.56927,-0.59716,323.8,0.53,0.5,2017-06-04,0304,N,VIIRS,n,1,282.2,3.2,
53.56602,-0.60315,295.2,0.54,0.42,2017-06-05,0245,N,VIIRS,n,1,274.8,2.4,
53.56912,-0.59252,336.1,0.45,0.47,2017-06-07,1157,N,VIIRS,n,1,289.8,3.8,
53.56699,-0.59823,318.6,0.5,0.49,2017-06-09,0130,N,VIIRS,n,1,284.1,3.4,
53.56804,-0.59878,314.8,0.43,0.46,2017-06-14,0136,N,VIIRS,n,1,284.9,1.9,
53.57047,-0.59486,305.2,0.34,0.56,2017-06-14,0316,N,VIIRS,n,1,272.7,1.4,
53.56767,-0.59837,328,0.47,0.64,2017-06-17,1350,N,VIIRS,n,1,287.9,5,
53.569,-0.60198,324.2,0.57,0.43,2017-06-19,0143,N,VIIRS,n,1,290.7,2.5,
53.56778,-0.59765,327.1,0.39,0.6,2017-06-19,0323,N,VIIRS,n,1,288.4,2.3,
53.56949,-0.60293,309.5,0.39,0.6,2017-06-19,0323,N,VIIRS,n,1,287.7,2.3,
53.5685,-0.59671,321.4,0.45,0.63,2017-06-24,0329,N,VIIRS,n,1,283.4,3,
53.57055,-0.60262,311.5,0.45,0.63,2017-06-24,0329,N,VIIRS,n,1,281.5,2.9,
53.58519,-0.619,295.3,0.44,0.39,2017-01-02,0234,N,VIIRS,n,1,273.9,1.1,
53.58648,-0.61832,300.9,0.39,0.36,2017-01-08,0221,N,VIIRS,n,1,278.2,1.1,
53.79403,-0.73559,303.4,0.43,0.46,2017-01-21,0137,N,VIIRS,n,1,272,0.7,
53.62721,-1.00587,302.6,0.47,0.4,2017-02-24,0239,N,VIIRS,n,1,270.4,1.2,
53.57988,-0.61974,313.2,0.39,0.36,2017-03-13,0220,N,VIIRS,n,1,280.1,2.2,
53.58102,-0.61897,326.4,0.38,0.36,2017-03-24,0214,N,VIIRS,n,1,279,2.5,
53.58081,-0.62091,328.5,0.4,0.37,2017-03-28,1228,N,VIIRS,n,1,290.8,2.7,
53.57925,-0.61815,328.8,0.54,0.42,2017-04-02,0245,N,VIIRS,n,1,279.8,3.7,
53.58266,-0.61673,304.2,0.39,0.36,2017-04-04,0208,N,VIIRS,n,1,270.4,1.3,
53.57936,-0.61806,313.9,0.39,0.36,2017-04-04,0208,N,VIIRS,n,1,273.9,1.9,
53.59002,-0.60806,300.3,0.44,0.38,2017-04-08,0233,N,VIIRS,n,1,276.3,0.8,
53.76936,-0.6293,330.9,0.43,0.38,2017-04-08,1222,N,VIIRS,n,1,297.1,2.4,
53.58762,-0.618,300.3,0.45,0.39,2017-04-10,0155,N,VIIRS,n,1,279.4,1.3,
53.57891,-0.62045,307.6,0.34,0.56,2017-04-11,0316,N,VIIRS,n,1,275.2,1.8,
53.58006,-0.61793,330.8,0.41,0.37,2017-04-19,0227,N,VIIRS,n,1,277.2,4.3,
53.57917,-0.6163,329.8,0.46,0.47,2017-04-28,0258,N,VIIRS,n,1,278,4,
53.57999,-0.62132,332.8,0.39,0.36,2017-05-04,1235,N,VIIRS,n,1,296,3,
53.57941,-0.61606,318.7,0.41,0.37,2017-05-05,0227,N,VIIRS,n,1,280.2,1.5,
53.58667,-0.62014,297.1,0.39,0.36,2017-05-06,0208,N,VIIRS,n,1,280,0.6,
53.58214,-0.62103,295.7,0.44,0.38,2017-05-10,0233,N,VIIRS,n,1,277.9,1,
53.5886,-0.61536,297.5,0.38,0.36,2017-05-11,0214,N,VIIRS,n,1,279.5,1.1,
