latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
56.09996,-3.30352,312.6,0.43,0.62,2017-10-29,0348,N,VIIRS,n,1.0NRT,275.2,2.7,N
55.50468,-2.20012,332.5,0.41,0.37,2017-11-27,1254,N,VIIRS,n,1.0NRT,273.5,3.2,D
53.39824,-1.39028,307.4,0.4,0.6,2017-09-03,0118,N,VIIRS,n,1.0NRT,274.4,1.5,N
52.46301,0.47489,306.5,0.4,0.4,2017-09-05,0218,N,VIIRS,n,1.0NRT,284.8,0.6,N
51.96101,0.50833,304.8,0.3,0.6,2017-09-14,0112,N,VIIRS,n,1.0NRT,273.4,1.5,N
54.57952,-1.10603,295,0.4,0.5,2017-09-19,0254,N,VIIRS,n,1.0NRT,279.9,0.8,N
53.644,-0.25692,295.7,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,283.9,0.7,N
53.5699,-0.60089,305.7,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,280.2,1.1,N
54.57791,-1.10827,295.6,0.5,0.7,2017-09-22,0342,N,VIIRS,n,1.0NRT,277.7,0.4,N
54.5813,-1.11382,296,0.7,0.8,2017-09-26,0042,N,VIIRS,n,1.0NRT,280.8,1.1,N
52.6349,0.24163,297.6,0.4,0.4,2017-10-08,0200,N,VIIRS,n,1.0NRT,279.9,0.4,N
53.5695,-0.59027,330.2,0.5,0.5,2017-10-15,0130,N,VIIRS,n,1.0NRT,285,3,N
51.67402,-0.65908,330.9,0.4,0.4,2017-10-15,1300,N,VIIRS,n,1.0NRT,289.5,4,D
52.46151,0.47388,307.3,0.54,0.68,2017-10-17,0048,N,VIIRS,n,1.0NRT,281.2,1.4,N
52.46151,0.47819,313.1,0.4,0.6,2017-10-27,0106,N,VIIRS,n,1.0NRT,278.5,1,N
52.36998,-0.19707,302.6,0.43,0.62,2017-10-27,0106,N,VIIRS,n,1.0NRT,277.7,0.7,N
52.64016,-0.54574,296.2,0.33,0.55,2017-11-06,0118,N,VIIRS,n,1.0NRT,272.9,0.7,N
