date,country,occurrences
2017-08-29,Albania,35
2017-03-29,Albania,12
2017-06-30,Albania,11
2017-07-23,Albania,68
2017-08-02,Albania,89
2017-08-07,Albania,182
2017-07-08,Albania,17
2017-08-18,Albania,102
2017-08-28,Albania,260
2017-07-19,Albania,37
2017-08-10,Albania,243
2017-08-11,Albania,376
2017-08-12,Albania,137
2017-03-31,Albania,23
2017-07-15,Albania,69
2017-07-18,Albania,44
2017-07-22,Albania,34
2017-08-22,Albania,133
2017-08-26,Albania,253
2017-08-27,Albania,435
2017-08-30,Albania,96
2017-08-31,Albania,157
2017-07-31,Albania,63
2017-08-09,Albania,246
2017-05-18,Albania,1
2017-07-13,Albania,116
2017-07-25,Albania,45
2017-08-04,Albania,167
2017-08-05,Albania,142
2017-08-06,Albania,202
2017-08-08,Albania,214
2017-08-20,Albania,117
2017-08-25,Albania,191
2017-07-12,Albania,61
2017-02-13,Albania,2
2017-02-14,Albania,9
2017-03-21,Albania,8
2017-08-19,Albania,106
2017-03-30,Albania,25
2017-01-31,Albania,1
2017-08-01,Albania,53
2017-02-23,Albania,4
2017-04-02,Albania,15
2017-02-16,Albania,26
2017-08-21,Albania,28
2017-08-23,Albania,88
2017-03-25,Albania,22
2017-06-11,Albania,8
2017-08-13,Albania,19
2017-08-03,Albania,87
2017-04-03,Albania,1
2017-05-29,Albania,6
2017-07-14,Albania,109
2017-04-01,Albania,11
2017-07-26,Albania,3
2017-08-15,Albania,22
2017-08-16,Albania,37
2017-07-21,Albania,22
2017-04-18,Albania,3
2017-04-28,Albania,5
2017-06-18,Albania,9
2017-06-28,Albania,8
2017-07-02,Albania,5
2017-07-11,Albania,17
2017-08-14,Albania,44
2017-04-26,Albania,7
2017-07-04,Albania,9
2017-07-29,Albania,18
2017-08-17,Albania,43
2017-08-24,Albania,112
2017-07-20,Albania,23
2017-03-16,Albania,10
2017-04-09,Albania,4
2017-06-22,Albania,6
2017-03-10,Albania,2
2017-07-27,Albania,2
2017-07-17,Albania,17
2017-01-26,Albania,4
2017-02-15,Albania,10
2017-06-26,Albania,3
2017-03-04,Albania,18
2017-03-15,Albania,9
2017-02-11,Albania,7
2017-03-27,Albania,1
2017-06-21,Albania,5
2017-07-01,Albania,8
2017-07-09,Albania,5
2017-05-06,Albania,3
2017-03-03,Albania,1
2017-03-14,Albania,2
2017-03-13,Albania,4
2017-07-24,Albania,27
2017-06-04,Albania,3
2017-02-18,Albania,3
2017-02-22,Albania,3
2017-03-18,Albania,3
2017-07-03,Albania,5
2017-01-11,Albania,1
2017-03-11,Albania,3
2017-04-12,Albania,3
2017-04-22,Albania,1
2017-05-10,Albania,1
2017-05-28,Albania,3
2017-06-08,Albania,1
2017-06-23,Albania,3
2017-07-05,Albania,18
2017-03-17,Albania,10
2017-03-24,Albania,12
2017-07-30,Albania,30
2017-07-07,Albania,18
2017-06-29,Albania,5
2017-04-10,Albania,4
2017-07-06,Albania,5
2017-02-17,Albania,1
2017-03-22,Albania,8
2017-03-05,Albania,1
2017-07-16,Albania,7
2017-03-20,Albania,4
2017-01-01,Albania,3
2017-02-10,Albania,2
2017-04-27,Albania,4
2017-03-28,Albania,5
2017-06-05,Albania,2
2017-06-06,Albania,2
2017-06-10,Albania,2
2017-06-17,Albania,1
2017-06-25,Albania,4
2017-06-27,Albania,3
2017-02-24,Albania,3
2017-07-10,Albania,8
2017-04-14,Albania,3
2017-01-09,Albania,3
2017-03-23,Albania,1
2017-04-16,Albania,2
2017-04-23,Albania,1
2017-05-04,Albania,1
2017-05-31,Albania,2
2017-06-01,Albania,2
2017-06-12,Albania,2
2017-02-28,Albania,2
2017-07-28,Albania,2
2017-01-07,Albania,1
2017-01-21,Albania,2
2017-02-21,Albania,3
2017-03-12,Albania,3
2017-06-20,Albania,4
2017-04-24,Albania,1
2017-01-20,Albania,2
2017-02-02,Albania,1
2017-04-15,Albania,4
2017-04-25,Albania,2
2017-05-05,Albania,2
2017-05-19,Albania,1
2017-05-20,Albania,2
2017-05-23,Albania,1
2017-05-27,Albania,1
2017-06-02,Albania,1
2017-06-13,Albania,1
2017-01-25,Albania,1
2017-01-28,Albania,1
2017-05-13,Albania,1
2017-01-10,Albania,1
2017-01-27,Albania,1
2017-02-27,Albania,1
2017-03-19,Albania,1
2017-05-14,Albania,1
2017-06-09,Albania,1
2017-06-19,Albania,1
2017-02-12,Albania,1
2017-05-30,Albania,1
2017-06-14,Albania,1
2017-01-08,Albania,1
2017-04-11,Albania,1
2017-10-05,Albania,15
2017-09-01,Albania,204
2017-10-04,Albania,9
2017-12-10,Albania,1
2017-09-02,Albania,123
2017-09-17,Albania,11
2017-09-18,Albania,5
2017-10-02,Albania,5
2017-09-15,Albania,8
2017-10-20,Albania,9
2017-11-28,Albania,1
