country,occurrences,bright_ti4_low,bright_ti4_avg,bright_ti4_high,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
Albania,6516,208.0,328.63,367.0,40.24442,19.78345,367,0.32,0.55,2017-08-11,2353,N,VIIRS,h,1,301.7,14.2,
Armenia,1801,295.0,333.40,367.0,39.714,45.44786,367,0.7,0.75,2017-07-17,1101,N,VIIRS,h,1,307.6,32,
Austria,2904,295.0,319.30,367.0,48.27357,14.33836,367,0.47,0.64,2017-03-31,0003,N,VIIRS,h,1,282.7,5.8,
Azerbaijan,7034,268.8,332.71,367.0,39.54158,48.98507,367,0.33,0.55,2017-06-11,0856,N,VIIRS,h,1,302.9,6,
Belarus,4144,295.0,325.85,367.0,52.56763,30.85747,367,0.37,0.58,2017-05-03,0931,N,VIIRS,h,1,297.6,18.2,
Belgium,4285,295.0,317.31,367.0,51.16897,3.8127,367,0.38,0.59,2017-03-25,1324,N,VIIRS,h,1,290,6.7,
Bosnia and Herzegovina,8182,208.0,329.34,367.0,44.88169,16.60588,367,0.35,0.56,2017-04-02,1232,N,VIIRS,h,1,296.5,10.1,
Bulgaria,9228,208.0,332.09,367.0,43.64573,23.33188,367,0.38,0.58,2017-07-19,1026,N,VIIRS,h,1,297,5.3,
Croatia,5018,208.0,331.70,367.0,46.09574,17.02649,367,0.52,0.67,2017-03-27,1245,N,VIIRS,h,1,292.6,7.5,
Cyprus,296,295.0,313.64,367.0,34.83305,33.47229,367,0.4,0.6,2017-09-12,1130,N,VIIRS,n,1.0NRT,311.3,4.5,D
Czech Republic,1403,295.0,314.27,367.0,49.81537,18.31589,367,0.51,0.66,2017-01-10,2344,N,VIIRS,h,1,261.9,11.9,
Denmark,771,295.1,318.66,367.0,54.67468,11.81485,367,0.53,0.67,2017-04-11,1306,N,VIIRS,h,1,290.3,19.2,
Estonia,220,295.1,307.19,354.6,59.3933,24.83692,354.6,0.33,0.55,2017-03-30,1151,N,VIIRS,n,1,278.8,4.7,
Finland,960,277.5,315.93,367.0,60.59941,23.50299,367,0.34,0.56,2017-05-06,1158,N,VIIRS,h,1,298,7.5,
France,16119,208.0,320.31,367.0,51.03376,2.2873,367,0.32,0.55,2017-04-10,1324,N,VIIRS,h,1,301.1,7.1,
